FullName,Position,TeamName,RatingTier,StatCheck,value
Joseph Charleston,FS,SEA,tier_6,DLSacksAndTFLPerGame,0.0
Julian Love,SS,DET,tier_3,DLSacksAndTFLPerGame,0.06666666666666667
Kristian Welch,MLB,DET,tier_6,DLSacksAndTFLPerGame,0.0
Kyle Hamilton,FS,DET,tier_2,DLSacksAndTFLPerGame,0.0
Kyle Dugger,SS,NE,tier_3,DLSacksAndTFLPerGame,0.1
Fletcher Cox,DT,PHI,tier_2,DLSacksAndTFLPerGame,0.3333333333333333
Bubba Bolden,SS,DET,tier_5,DLSacksAndTFLPerGame,0.13333333333333333
Romeo Okwara,LOLB,DET,tier_4,DLSacksAndTFLPerGame,0.5833333333333334
Stephon Gilmore,CB,SF,tier_2,DLSacksAndTFLPerGame,0.0
Khalil Davis,DT,IND,tier_6,DLSacksAndTFLPerGame,0.7692307692307693
Blake Cashman,ROLB,LV,tier_5,DLSacksAndTFLPerGame,0.13333333333333333
Shaun Wade,CB,NE,tier_5,DLSacksAndTFLPerGame,0.0
DeAndre Baker,CB,SEA,tier_4,DLSacksAndTFLPerGame,0.0
Eric Banks,LE,DET,tier_6,DLSacksAndTFLPerGame,0.2
Da'Shawn Hand,RE,DET,tier_4,DLSacksAndTFLPerGame,1.1333333333333333
Nick Jackson,MLB,JAX,tier_5,DLSacksAndTFLPerGame,0.0
Jaden Crumedy,DT,SEA,tier_6,DLSacksAndTFLPerGame,0.42857142857142855
Blessuan Austin,CB,SEA,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Kyzir White,MLB,SEA,tier_5,DLSacksAndTFLPerGame,0.06666666666666667
Khari Willis,SS,JAX,tier_4,DLSacksAndTFLPerGame,0.2
Kayvon Thibodeaux,LE,DET,tier_3,DLSacksAndTFLPerGame,1.0909090909090908
Mike Jones Jr,ROLB,DET,tier_3,DLSacksAndTFLPerGame,0.5333333333333333
Malik Hooker,FS,DET,tier_4,DLSacksAndTFLPerGame,0.0
Derrick Barnes,MLB,DET,tier_6,DLSacksAndTFLPerGame,0.2
Dawuane Smoot,LE,SEA,tier_5,DLSacksAndTFLPerGame,0.9333333333333333
Jeff Okudah,CB,DET,tier_3,DLSacksAndTFLPerGame,0.0
Ben Banogu,LE,JAX,tier_5,DLSacksAndTFLPerGame,0.7142857142857143
Praise Amaewhule,ROLB,BUF,tier_6,DLSacksAndTFLPerGame,0.0
Jalyn Armour-Davis,CB,SEA,tier_5,DLSacksAndTFLPerGame,0.06666666666666667
Ashtyn Davis,FS,JAX,tier_5,DLSacksAndTFLPerGame,0.0
Trevon Diggs,CB,DAL,tier_3,DLSacksAndTFLPerGame,0.0
Kelvin Joseph,CB,DAL,tier_5,DLSacksAndTFLPerGame,0.13333333333333333
Gareon Conley,CB,ATL,tier_4,DLSacksAndTFLPerGame,0.0
Amik Robertson,CB,NYG,tier_5,DLSacksAndTFLPerGame,0.0
Za'Darius Smith,LOLB,LV,tier_3,DLSacksAndTFLPerGame,0.9285714285714286
Chase Winovich,RE,NE,tier_3,DLSacksAndTFLPerGame,1.6666666666666667
Jahlani Tavai,MLB,NE,tier_5,DLSacksAndTFLPerGame,0.0
Isheem Young,FS,LV,tier_6,DLSacksAndTFLPerGame,0.0
Ralen Goforth,MLB,DEN,tier_6,DLSacksAndTFLPerGame,0.16666666666666666
De'Jahn Warren,CB,DEN,tier_6,DLSacksAndTFLPerGame,0.0
Christian Barmore,DT,NE,tier_3,DLSacksAndTFLPerGame,1.4
Ronnie Perkins,LOLB,NE,tier_6,DLSacksAndTFLPerGame,0.26666666666666666
Krys Barnes,MLB,NYJ,tier_3,DLSacksAndTFLPerGame,0.1
Derek Stingley Jr.,CB,NE,tier_3,DLSacksAndTFLPerGame,0.0
Arden Key,LE,NE,tier_5,DLSacksAndTFLPerGame,1.0
Bobby Wagner,MLB,NE,tier_3,DLSacksAndTFLPerGame,0.13333333333333333
Marquise Blair,FS,NE,tier_5,DLSacksAndTFLPerGame,0.0
Myles Murphy,LE,NE,tier_4,DLSacksAndTFLPerGame,0.5333333333333333
Asa Turner,SS,NE,tier_6,DLSacksAndTFLPerGame,0.0
Adisa Isaac,ROLB,NE,tier_6,DLSacksAndTFLPerGame,0.0
DeMarcus Lawrence,LE,DAL,tier_4,DLSacksAndTFLPerGame,1.0
Jourdan Lewis,CB,DAL,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Matthew Judon,LOLB,NE,tier_5,DLSacksAndTFLPerGame,1.6
Damon Arnette Jr,CB,LV,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Nate Hobbs,CB,LV,tier_4,DLSacksAndTFLPerGame,0.0
Divine Deablo,ROLB,LV,tier_5,DLSacksAndTFLPerGame,0.0
Tyree Gillespie,SS,LV,tier_5,DLSacksAndTFLPerGame,0.0
Carlton Davis III,CB,LV,tier_2,DLSacksAndTFLPerGame,0.0
Joe Bachie Jr,MLB,LV,tier_5,DLSacksAndTFLPerGame,0.06666666666666667
Bobby Okereke,MLB,LV,tier_3,DLSacksAndTFLPerGame,0.13333333333333333
Anthony Nelson,LOLB,LV,tier_5,DLSacksAndTFLPerGame,0.7333333333333333
Matthew Ioannidis,DT,LV,tier_3,DLSacksAndTFLPerGame,1.3333333333333333
Trevon Moehrig,FS,LV,tier_3,DLSacksAndTFLPerGame,0.0
Ronald Darby,CB,DEN,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Jaylon Jones,CB,PHI,tier_4,DLSacksAndTFLPerGame,0.14285714285714285
Mike Edwards,FS,BUF,tier_4,DLSacksAndTFLPerGame,0.0
Bradley Chubb,ROLB,DEN,tier_1,DLSacksAndTFLPerGame,1.4666666666666666
Alexander Johnson,MLB,DEN,tier_4,DLSacksAndTFLPerGame,0.0
Justin Simmons,FS,DEN,tier_2,DLSacksAndTFLPerGame,0.0
Dre'Mont Jones,LE,DEN,tier_3,DLSacksAndTFLPerGame,1.0666666666666667
Baron Browning,MLB,DEN,tier_6,DLSacksAndTFLPerGame,0.2
Jamar Johnson,SS,DEN,tier_6,DLSacksAndTFLPerGame,0.07692307692307693
DeMarvin Leal,DT,DEN,tier_4,DLSacksAndTFLPerGame,0.8
Xavier Thomas,LE,DEN,tier_4,DLSacksAndTFLPerGame,1.6666666666666667
Brandon Smith,LOLB,DEN,tier_6,DLSacksAndTFLPerGame,0.07692307692307693
Jalen Carter,DT,DEN,tier_4,DLSacksAndTFLPerGame,1.5714285714285714
Marcus Hooker,FS,DEN,tier_6,DLSacksAndTFLPerGame,0.0
Greedy Williams,CB,PHI,tier_3,DLSacksAndTFLPerGame,0.0
Brandon Joseph,FS,NYJ,tier_3,DLSacksAndTFLPerGame,0.0
Leighton Vander Esch,LOLB,DAL,tier_3,DLSacksAndTFLPerGame,0.14285714285714285
Neville Gallimore,DT,DAL,tier_4,DLSacksAndTFLPerGame,1.5
Ja'Whaun Bentley,MLB,JAX,tier_4,DLSacksAndTFLPerGame,0.26666666666666666
Mike Rose,ROLB,JAX,tier_6,DLSacksAndTFLPerGame,0.0
Kingsley Enagbare,RE,JAX,tier_4,DLSacksAndTFLPerGame,1.2857142857142858
Mike Hughes,CB,JAX,tier_3,DLSacksAndTFLPerGame,0.06666666666666667
Tyson Campbell,CB,JAX,tier_5,DLSacksAndTFLPerGame,0.0
Jordan Smith,LOLB,JAX,tier_6,DLSacksAndTFLPerGame,0.06666666666666667
Andre Cisco,SS,JAX,tier_5,DLSacksAndTFLPerGame,0.13333333333333333
DaVon Hamilton,DT,JAX,tier_3,DLSacksAndTFLPerGame,1.0
K'Lavon Chaisson,LOLB,JAX,tier_4,DLSacksAndTFLPerGame,1.0666666666666667
Josh Allen,ROLB,JAX,tier_0,DLSacksAndTFLPerGame,1.2
Myles Jack,MLB,JAX,tier_2,DLSacksAndTFLPerGame,0.3
Shaquill Griffin,CB,JAX,tier_3,DLSacksAndTFLPerGame,0.0
Mase Funa,ROLB,CIN,tier_6,DLSacksAndTFLPerGame,0.0
Cole Holcomb,LOLB,CIN,tier_4,DLSacksAndTFLPerGame,0.23076923076923078
Amani Oruwariye,CB,CIN,tier_4,DLSacksAndTFLPerGame,0.14285714285714285
Nick McCloud,CB,CIN,tier_6,DLSacksAndTFLPerGame,0.0
Tre Sterling,FS,CIN,tier_6,DLSacksAndTFLPerGame,0.0
LaBryan Ray,RE,CIN,tier_5,DLSacksAndTFLPerGame,1.2142857142857142
Trent McDuffie,CB,CIN,tier_4,DLSacksAndTFLPerGame,0.0
Shaquem Griffin,LOLB,CIN,tier_5,DLSacksAndTFLPerGame,0.13333333333333333
Markus Bailey,MLB,CIN,tier_5,DLSacksAndTFLPerGame,0.07692307692307693
Logan Wilson,ROLB,CIN,tier_2,DLSacksAndTFLPerGame,0.3333333333333333
Vonn Bell,SS,CIN,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Jessie Bates III,FS,CIN,tier_0,DLSacksAndTFLPerGame,0.0
Sam Hubbard,LE,CIN,tier_4,DLSacksAndTFLPerGame,1.0666666666666667
Trey Hendrickson,RE,CIN,tier_3,DLSacksAndTFLPerGame,1.0769230769230769
Nik Bonitto,MLB,PHI,tier_4,DLSacksAndTFLPerGame,1.2142857142857142
Deion Jones,MLB,LAR,tier_2,DLSacksAndTFLPerGame,0.2
Chandon Sullivan,CB,LAR,tier_5,DLSacksAndTFLPerGame,0.0
Tereadja Mitchell,MLB,LAR,tier_6,DLSacksAndTFLPerGame,0.0
A'Shawn Robinson,LE,LAR,tier_5,DLSacksAndTFLPerGame,0.9333333333333333
Chris Garrett,LOLB,LAR,tier_6,DLSacksAndTFLPerGame,0.2857142857142857
Tre'Vius Hodges,CB,MIN,tier_4,DLSacksAndTFLPerGame,0.06666666666666667
Matt Henningsen,LE,LAR,tier_6,DLSacksAndTFLPerGame,0.3333333333333333
Derion Kendrick,CB,LAR,tier_3,DLSacksAndTFLPerGame,0.0
Jaquan Brisker,SS,LAR,tier_4,DLSacksAndTFLPerGame,0.0
Nate Hall,ROLB,LAR,tier_6,DLSacksAndTFLPerGame,0.0
Morgan Fox,RE,MIN,tier_4,DLSacksAndTFLPerGame,0.3333333333333333
Teez Tabor,SS,MIN,tier_6,DLSacksAndTFLPerGame,0.0
Robert Rochell,CB,LAR,tier_6,DLSacksAndTFLPerGame,0.0
Jordan Fuller,SS,LAR,tier_4,DLSacksAndTFLPerGame,0.07142857142857142
Terrell Burgess,FS,LAR,tier_3,DLSacksAndTFLPerGame,0.08333333333333333
Justin Hollins,ROLB,LAR,tier_5,DLSacksAndTFLPerGame,1.2857142857142858
Jalen Ramsey,CB,LAR,tier_0,DLSacksAndTFLPerGame,0.0
Sebastian Joseph-Day,DT,LAR,tier_2,DLSacksAndTFLPerGame,1.2857142857142858
Aaron Donald,RE,LAR,tier_0,DLSacksAndTFLPerGame,0.9090909090909091
Tim Settle,DT,SEA,tier_5,DLSacksAndTFLPerGame,1.8666666666666667
Derek Barnett,RE,SEA,tier_4,DLSacksAndTFLPerGame,1.2
Tanner Muse,LOLB,SEA,tier_5,DLSacksAndTFLPerGame,0.0
D.J. Reed Jr,CB,SEA,tier_3,DLSacksAndTFLPerGame,0.0
Lamont Wade,SS,SEA,tier_6,DLSacksAndTFLPerGame,0.0
Jordyn Brooks,ROLB,SEA,tier_1,DLSacksAndTFLPerGame,0.15384615384615385
Darrell Taylor,LOLB,SEA,tier_5,DLSacksAndTFLPerGame,0.06666666666666667
Jamal Adams,SS,SEA,tier_1,DLSacksAndTFLPerGame,0.0
To'o To'o Henry,LOLB,PHI,tier_4,DLSacksAndTFLPerGame,0.9166666666666666
Tershawn Wharton,DT,NYG,tier_5,DLSacksAndTFLPerGame,0.6
Kenny Willekes,RE,NYG,tier_6,DLSacksAndTFLPerGame,1.2666666666666666
Cam Brown,LOLB,NYG,tier_6,DLSacksAndTFLPerGame,0.0
J.J. Watt,LE,PHI,tier_4,DLSacksAndTFLPerGame,0.3076923076923077
Trey Dean III,FS,NYG,tier_6,DLSacksAndTFLPerGame,0.06666666666666667
Isaac Slade-Matautia,MLB,BUF,tier_6,DLSacksAndTFLPerGame,0.0
Dane Jackson,CB,BUF,tier_5,DLSacksAndTFLPerGame,0.0
Perrion Winfrey,DT,BUF,tier_5,DLSacksAndTFLPerGame,1.6
Jordan Battle,SS,BUF,tier_4,DLSacksAndTFLPerGame,0.0
Madre Harper,CB,BUF,tier_6,DLSacksAndTFLPerGame,0.0
Noah Dawkins,LOLB,BUF,tier_6,DLSacksAndTFLPerGame,0.0
Leon Jacobs,LOLB,BUF,tier_6,DLSacksAndTFLPerGame,0.0
