FullName,Position,TeamName,SkillPointOL
A.J. Cann,RG,HOU,-2
Aaron Banks,LG,SF,-2
Aaron Brewer,LG,TEN,4
Alex Cappa,RG,CIN,9
Alex Leatherwood,RT,LV,-4
Andrew Norwell,LG,WAS,1
Andrew Thomas,LT,NYG,-4
Austin Blythe,C,SEA,0
Austin Corbett,RG,CAR,4
Aviante Collins,LT,DAL,12
Ben Bartch,LG,JAX,-5
Ben Jones,C,TEN,-1
Ben Powers,LG,BAL,-1
Billy Turner,RT,DEN,10
Braden Smith,RT,IND,-9
Bradley Bozeman,C,CAR,-1
Brandon Scherff,RG,JAX,-5
Brian Allen,C,LAR,-6
Brian O'Neill,RT,MIN,-3
Bryan Bulaga,RT,LAC,0
Cam Robinson,LT,JAX,-2
Cesar Ruiz,RG,NO,-6
Charles Cross,LT,SEA,0
Charles Leno Jr,LT,WAS,-4
Chase Roullier,C,WAS,-2
Chasen Hines,RG,NE,0
Chris Lindstrom,RG,ATL,-4
Christian Darrisaw,LT,MIN,-4
Chukwuma Okorafor,RT,PIT,4
Cody Ford,RG,BUF,-1
Cody Whitehair,LG,CHI,-1
Connor McGovern,C,NYJ,-2
Connor Williams,LG,MIA,-1
Corey Linsley,C,LAC,-1
Creed Humphrey,C,KC,6
D.J. Humphries,LT,ARI,1
Dalton Risner,LG,DEN,-7
Damien Lewis,LG,SEA,-3
Dan Moore Jr,LT,PIT,-5
Daniel Brunskill,RG,SF,4
David Andrews,C,NE,-4
David Edwards,LG,LAR,-2
Dennis Kelly,RT,IND,-2
Denzelle Good,RG,LV,-1
Dion Dawkins,LT,BUF,8
Donovan Smith,LT,TB,-2
Dylan Parham,RG,LV,-1
Ed Ingram,RG,MIN,1
Elgton Jenkins,RT,GB,6
Erik McCoy,C,NO,-1
Ethan Pocic,C,CLE,-1
Evan Neal,RT,NYG,-2
Ezra Cleveland,LG,MIN,-3
Frank Ragnow,C,DET,-1
Gabe Jackson,RG,SEA,4
Garett Bolles,LT,DEN,0
Garrett Bradbury,C,MIN,-2
George Fant,LT,NYJ,-2
Germain Ifedi,RT,ATL,-6
Geron Christian Sr,LT,KC,10
Graham Glasgow,RG,DEN,-2
Halapoulivaati Vaitai,RG,DET,-3
Ikem Ekwonu,LT,CAR,-4
Isaac Seumalo,RG,PHI,-1
Isaiah Wynn,LT,NE,-2
JC Tretter,C,SF,-1
Ja'Wuan James,RT,BAL,9
Jack Conklin,RT,CLE,0
Jake Matthews,LT,ATL,-3
Jalen Mayfield,LG,ATL,-2
James Daniels,RG,PIT,1
James Hurst,LT,NO,-2
Jason Kelce,C,PHI,-2
Jawaan Taylor,RT,JAX,-2
Jedrick Wills Jr,LT,CLE,-3
Joe Thuney,LG,KC,6
Joel Bitonio,LG,CLE,-1
Jon Feliciano,C,NYG,4
Jon Runyan,LG,GB,-1
Jonah Jackson,LG,DET,-1
Jonah Williams,LT,CIN,-2
Jordan Mailata,LT,PHI,4
Joseph Noteboom,LT,LAR,12
Josh Myers,C,GB,1
Justin Britt,C,HOU,-1
Justin Pugh,LG,ARI,9
Kelvin Beachum Jr,RT,ARI,-2
Kendrick Green,C,PIT,4
Kenyon Green,LG,HOU,-1
Kevin Dotson,LG,PIT,1
Kevin Zeitler,RG,BAL,-1
Kolton Miller,LT,LV,-3
La'el Collins,RT,CIN,3
Laken Tomlinson,LG,NYJ,4
Landon Dickerson,LG,PHI,-2
Lane Johnson,RT,PHI,0
Laremy Tunsil,LT,HOU,0
Larnel Coleman,RT,MIA,-3
Larry Borom,LT,CHI,-3
Lecitus Smith,RG,ARI,0
Lloyd Cushenberry III,C,DEN,1
Logan Bruss,RG,LAR,4
Lucas Patrick,C,CHI,-5
Luke Fortner,C,JAX,1
Luke Goedeke,LG,TB,1
Mark Glowinski,RG,NYG,-2
Matt Feiler,LG,LAC,0
Matt Hennessy,C,ATL,-3
Matt Nelson,LT,DET,-5
Matt Pryor,LG,IND,4
Mekhi Becton,RT,NYJ,1
Michael Deiter,C,MIA,-5
Michael Jordan,LG,CAR,0
Mike McGlinchey,RT,SF,1
Mike Onwenu,LG,NE,1
Mitch Morse,C,BUF,0
Nate Davis,RG,TEN,-3
Nicholas Petit-Frere,RT,TEN,0
Orlando Brown,LT,KC,4
Penei Sewell,RT,DET,1
Quenton Nelson,LG,IND,-1
Rashawn Slater,LT,LAC,1
Rob Havenstein,RT,LAR,-3
Robert Hunt,RG,MIA,9
Rodger Saffold III,LG,BUF,1
Rodney Hudson,C,ARI,3
Ronnie Stanley,LT,BAL,2
Royce Newman,RG,GB,12
Ryan Jensen,C,TB,2
Ryan Kelly,C,IND,8
Ryan Ramczyk,RT,NO,0
Sam Cosmi,RT,WAS,0
Sam Mustipher,RG,CHI,1
Shaq Mason,RG,TB,-1
Spencer Brown,RT,BUF,-3
Taylor Lewan,LT,TEN,1
Taylor Moton,RT,CAR,4
Terence Steele,RT,DAL,0
Terron Armstead,LT,MIA,4
Teven Jenkins,RT,CHI,-6
Trai Turner,RG,WAS,-3
Trent Brown,RT,NE,1
Trent Williams,LT,SF,1
Trey Smith,RG,KC,-3
Tristan Wirfs,RT,TB,1
Tyler Biadasz,C,DAL,12
Tyler Linderbaum,C,BAL,9
Tyler Smith,LG,DAL,-1
Tytus Howard,RT,HOU,4
Wyatt Teller,RG,CLE,2
Zack Martin,RG,DAL,-1
Zion Johnson,RG,LAC,1
