FullName,Position,TeamName,SkillPointDef
A.J. Epenesa,LE,BUF,2
A.J. Terrell Jr,CB,ATL,-5
Aaron Donald,RE,LAR,0
Adoree' Jackson,CB,NYG,5
Adrian Amos,SS,GB,1
Adrian Phillips,SS,NE,3
Ahmad Gardner,CB,NYJ,-2
Aidan Hutchinson,RE,DET,2
Akayleb Evans,CB,MIN,0
Akeem Davis-Gaither,LOLB,CIN,-2
Akiem Hicks,DT,LAR,1
Al Woods,DT,SEA,-6
Alex Highsmith,ROLB,PIT,-2
Alex Wright,LE,CLE,-2
Ali Fayad,LOLB,NYJ,3
Alim McNeill,DT,DET,3
Alohi Gilman,SS,LAC,0
Alontae Taylor,CB,NO,2
Alton Robinson,LE,SEA,4
Amani Hooker,SS,TEN,-1
Amani Oruwariye,CB,DET,3
Amare Barno,LOLB,CAR,-1
Amari Gainer,LOLB,SF,-1
Ambry Thomas,CB,SF,3
Andre Cisco,SS,JAX,-3
Andrew Booth Jr,CB,MIN,-1
Anthony Harris,SS,PHI,4
Anthony Walker Jr,MLB,NYJ,10
Antoine Winfield Jr,FS,TB,5
Arik Armstead,DT,SF,1
Arnold Ebiketie,LE,ATL,3
Asante Samuel Jr,CB,LAC,1
Ashtyn Davis,FS,NYJ,-1
Asmar Bilal,LOLB,IND,-2
Austin Johnson,LE,LAC,0
Avery Young,FS,GB,-5
Avonte Maddox,CB,PHI,6
Azeez Al-Shaair,LOLB,CHI,0
Azeez Ojulari,ROLB,NYG,1
B.J. Hill,DT,CIN,4
B.J. Ojulari,LOLB,HOU,3
BeeJay Williamson,FS,BUF,3
Benjamin St-Juste,CB,WAS,0
Bilal Nichols,RE,LV,-3
Blake Martinez,MLB,NYG,5
Bobby McCain,FS,WAS,2
Bobby Okereke,MLB,IND,0
Bobby Wagner,MLB,LAR,5
Bradley Chubb,ROLB,DEN,-1
Braiden McGregor,LE,NYG,1
Brandon Graham,LE,JAX,6
Brandon Jones,SS,MIA,-7
Brandon Joseph,FS,NYJ,5
Brandon Smith,LOLB,CAR,6
Brandon Stephens,FS,BAL,7
Brian Asamoah II,MLB,MIN,5
Brian Burns,LE,CIN,-3
Bryan Bresee,DT,NYJ,12
Bryan Cook,SS,KC,4
Bryce Hall,CB,NYJ,0
Bud Dupree,LOLB,TEN,4
Budda Baker,FS,ARI,-7
Bumper Pool,ROLB,NO,-2
Byron Jones,CB,MIA,4
C.J. Gardner-Johnson,SS,LV,1
C.J. Henderson,CB,CAR,-2
Caden Sterns,FS,DEN,-2
Calais Campbell,RE,BAL,-3
Calijah Kancey,DT,CAR,5
Cam Smith,CB,ARI,1
Cam Taylor-Britt,CB,CIN,-4
Cameron Dantzler,CB,MIN,-1
Cameron Goode,LOLB,MIA,2
Cameron Heyward,RE,PIT,0
Cameron Jordan,LE,NO,3
Cameron Sutton,CB,PIT,1
Cameron Thomas,LOLB,ARI,1
Carl Lawson,RE,NYJ,-3
Carlton Davis III,CB,TB,5
Carlton Martial,LOLB,CLE,-2
Casey Hayward Jr,CB,ATL,0
Casey Toohill,LE,WAS,-2
Chad Muma,MLB,JAX,1
Chance Campbell,MLB,TEN,4
Chantz Williams,RE,KC,-2
Charvarius Ward,CB,SF,-4
Chase Winovich,LE,CAR,1
Chauncey Golston,RE,DAL,8
Chidobe Awuzie,CB,CIN,-2
Chris Rumph II,LOLB,LAC,-4
Chris Wormley,RE,JAX,4
Christian Barmore,DT,NE,1
Christian Harris,MLB,HOU,-3
Christian Matthew,CB,ARI,6
Christian Morgan,SS,NYG,-4
Christian Wilkins,RE,MIA,-1
Christopher Smith,FS,NYG,2
Chuck Clark,SS,BAL,2
Clark Phillips III,CB,PHI,1
Clelin Ferrell,LOLB,HOU,1
Coby Bryant,CB,SEA,3
Cody Barton,MLB,SEA,1
Cody Simon,MLB,SEA,-1
Cole Holcomb,ROLB,ATL,6
Cordale Flott,CB,NYG,-1
Cory Littleton,LOLB,CLE,8
D'Marco Jackson,LOLB,NO,-2
D.J. Jones,DT,DEN,-3
D.J. Reader,DT,CIN,0
D.J. Reed Jr,CB,NYJ,2
D.J. Wonnum,LOLB,MIN,0
Da'Ron Payne,DT,MIN,-1
Da'Shawn Hand,LE,TEN,-2
DaRon Bland,CB,DAL,0
Daelin Hayes,LOLB,BAL,1
Damone Clark,ROLB,DAL,2
Dane Belton,SS,NYG,0
Danielle Hunter,ROLB,NE,-4
Darious Williams,CB,JAX,-2
Darius Hodge,ROLB,MIA,-2
Darius Slay Jr,CB,PHI,4
Darnay Holmes,CB,NYG,0
Darnell Savage,FS,GB,1
Darrell Luter Jr.,CB,SF,6
Darrell Taylor,LE,SEA,-2
David Anenih,ROLB,TEN,1
David Long Jr,MLB,TEN,-1
David Onyemata,DT,PIT,0
Davion Taylor,ROLB,PHI,-2
Dawuane Smoot,RE,MIN,5
Daxton Hill,FS,CIN,-1
De'Shaan Dixon,LOLB,JAX,1
DeAngelo Malone,RE,ATL,-5
DeForest Buckner,DT,IND,-1
DeMarcco Hellams,SS,DET,0
DeMarcus Lawrence,LE,DAL,-5
DeMarvion Overshown,LOLB,CHI,-1
Deatrich Wise Jr,LE,NE,-2
Decobie Durant,CB,LAR,-1
Deion Jones,MLB,ATL,-1
Demani Richardson,SS,HOU,0
Demario Davis,MLB,NO,-4
Denzel Ward,CB,CLE,0
Derek Barnett,RE,PHI,-4
Derek Stingley Jr.,CB,HOU,-4
Derion Kendrick,CB,LAR,-3
Derrick Barnes,LOLB,DET,3
Derrick Brown,DT,CAR,-9
Derrick Hall,LOLB,MIN,-5
Derrick Nnadi,DT,KC,4
Derwin James Jr,SS,MIA,-4
Desmond Evans,LOLB,LAR,-1
Desmond King II,CB,HOU,3
Devante Bond,ROLB,DAL,-1
Devin Bush,MLB,PIT,-1
Devin Harper,LOLB,DAL,-1
Devin Lloyd,MLB,JAX,0
Devin McCourty,FS,NE,0
Devonte Wyatt,RE,GB,-2
Dexter Lawrence II,LE,LAR,-3
Divaad Wilson,SS,PIT,-5
Donovan Wilson,FS,JAX,-3
Donte Jackson,CB,CAR,4
Dorian Williams,ROLB,CHI,0
Doug Costin,DT,CHI,-4
Drake Jackson,ROLB,SF,-5
Dre Greenlaw,LOLB,SF,-2
Dre'Mont Jones,LE,DEN,0
Dylan Mabin,CB,NO,-3
Ed Oliver,DT,BUF,0
Eddie Jackson,FS,CHI,0
Edeufan Ulofoshio,MLB,DET,3
Eli Apple,CB,HOU,0
Eli Ricks,CB,WAS,-3
Elijah Molden,CB,TEN,2
Emmanuel Forbes,CB,PIT,-1
Emmanuel Moseley,CB,TB,-1
Emmanuel Ogbah,LE,MIA,-3
Eric Kendricks,MLB,MIN,-2
Eric Murray,SS,HOU,4
Eric Stokes,CB,GB,-4
Eric Wilson,MLB,DAL,-7
Ernest Jones,MLB,LAR,0
Eyabi Anoma,LOLB,IND,8
Fletcher Cox,DT,ATL,2
Folorunso Fatukasi,DT,JAX,2
Forrest Rhyne,MLB,IND,-5
Foyesade Oluokun,MLB,JAX,-3
Frank Clark,RE,LAC,-2
Fred Warner,MLB,SF,-1
Garrett Williams,CB,ATL,2
George Karlaftis,LE,KC,6
George Odum,SS,SF,2
Grant Delpit,SS,CLE,1
Greedy Williams,CB,PIT,0
Greg Benton Jr,LOLB,TEN,1
Greg Rousseau,LE,BUF,-4
Grover Stewart,DT,IND,1
Haason Reddick,LOLB,PHI,-2
Hamsah Nasirildeen,LOLB,NYJ,-1
Harold Landry III,ROLB,TEN,0
Harrison Phillips,LE,MIN,0
Harrison Smith,SS,MIN,0
Henry To'o To'o,MLB,CLE,3
Ifeatu Melifonwu,CB,DET,-1
Isaiah Foskey,LE,BUF,-2
Isaiah Graham-Mobley,MLB,CAR,-3
Isaiah Rodgers,CB,IND,7
Isaiah Simmons,MLB,ARI,-1
Isaiah Thomas,RE,CLE,14
J.J. Watt,LE,GB,4
JC Jackson,CB,LAC,0
JL Skinner,SS,LAC,7
JT Woods,FS,LAC,4
Ja'Sir Taylor,CB,LAC,-1
Ja'Whaun Bentley,MLB,NE,-3
Jabrill Peppers,FS,NE,-5
Jack Campbell,MLB,DEN,-1
Jack Sanborn,MLB,CHI,-2
Jacob Phillips,MLB,CLE,-3
Jadeveon Clowney,LE,ATL,5
Jaelan Phillips,ROLB,MIA,-2
Jaire Alexander,CB,GB,-2
Jalan Catalon,SS,DAL,4
Jalen Carter,DT,LV,-4
Jalen Mills,CB,NE,2
Jalen Ramsey,CB,LAR,-1
Jalen Redmond,DT,TEN,4
Jalen Thompson,SS,ARI,-2
Jamel Dean,CB,TB,1
James Smith-Williams,RE,WAS,3
Jamin Davis,MLB,WAS,3
