Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
0,HB,Myles,Montgomery,Myles Montgomery,BAL,267,0,2,117,51,14,346,57,True,0,56,0,0,11,0,2,10,62,0,3,0,0,0,0,0,15,1,0,24,5,Myles,Montgomery,2319.0,2317.0,5.0,24.0,Signed,73.0,0.0,0.0,BAL,tier_5,919.0751445086705,1305.1343283582091,0.3333333333333333,14.45086705202312,BAL,2.0
3,WR,Hykeem,Williams,Hykeem Williams,MIA,17,0,0,0,895,27,957,330,True,0,12,0,0,71,0,0,10,4,0,0,0,0,0,0,6,15,15,0,11,0,Hykeem,Williams,292.0,290.0,4.0,11.0,Signed,79.0,0.0,0.0,MIA,tier_4,952.9780564263323,1614.2168674698794,0.4,6.269592476489028,MIA,-1.0
52,WR,Caleb,Burton,Caleb Burton,ARI,0,0,1,0,945,30,881,352,True,0,0,0,0,73,0,0,10,0,0,0,0,0,0,0,5,14,14,0,6,0,Caleb,Burton,1088.0,1086.0,6.0,6.0,Signed,87.0,0.0,0.0,ARI,tier_2,1072.644721906924,1864.109589041096,0.35714285714285715,5.675368898978434,ARI,0.0
55,QB,Caleb,Williams,Caleb Williams,LAC,275,3422,0,37,0,0,1003,0,True,319,79,493,7,0,0,1,10,40,29,1,0,0,31,26,0,15,15,6,7,1,Caleb,Williams,328.0,326.0,7.0,7.0,Signed,88.0,0.0,0.0,LAC,tier_2,274.1774675972084,1044.3037974683543,0.06666666666666667,0.9970089730807576,,
60,HB,Samuel,Singleton,Samuel Singleton,DEN,697,0,1,221,309,22,522,271,True,0,156,0,0,35,0,4,10,69,0,10,0,0,0,0,2,10,10,0,3,5,Samuel,Singleton,1647.0,1645.0,4.0,3.0,Signed,87.0,0.0,0.0,DEN,tier_2,1927.2030651340997,1327.7277486910996,0.7,13.409961685823756,DEN,2.0
84,QB,Justin,Herbert,Justin Herbert,ARI,247,3841,0,88,0,0,933,0,True,326,45,501,12,0,0,3,10,56,61,3,0,0,36,33,0,15,15,5,6,2,Justin,Herbert,1144.0,1142.0,11.0,6.0,Signed,83.0,0.0,0.0,ARI,tier_3,264.73740621650586,1646.6666666666667,0.13333333333333333,2.1436227224008575,,
159,WR,Nick,Meerce,Nick Meerce,BUF,0,0,1,0,866,28,953,339,True,0,0,0,0,67,0,0,10,0,0,0,0,0,0,0,4,15,15,1,2,0,Nick,Meerce,1924.0,1922.0,2.0,2.0,Signed,78.0,0.0,0.0,BUF,tier_4,908.7093389296957,1861.2537313432836,0.26666666666666666,4.197271773347325,BUF,-1.0
160,WR,Ayden,Williams,Ayden Williams,NO,23,0,2,0,945,27,634,404,True,0,8,0,0,71,0,0,10,4,0,0,0,0,0,0,5,13,13,0,26,0,Ayden,Williams,1383.0,1381.0,5.0,26.0,Signed,79.0,0.0,0.0,NO,tier_4,1526.813880126183,1809.8734177215188,0.38461538461538464,7.886435331230284,NO,7.0
199,WR,Talyn,Shettron,Talyn Shettron,SEA,0,0,0,0,486,27,474,179,True,0,0,0,0,35,0,0,10,0,0,0,0,0,0,0,3,13,11,0,27,0,Talyn,Shettron,1425.0,1423.0,6.0,27.0,Signed,72.0,0.0,0.0,SEA,tier_5,1025.3164556962024,1999.5428571428572,0.23076923076923078,6.329113924050633,SEA,0.0
211,WR,Shawn,Peters,Shawn Peters,CIN,14,0,0,0,773,26,699,272,True,0,6,0,0,59,0,0,10,4,0,0,0,0,0,0,7,13,13,0,1,0,Shawn,Peters,279.0,277.0,0.0,1.0,Signed,73.0,0.0,0.0,CIN,tier_5,1125.8941344778254,1777.107692307692,0.5384615384615384,10.014306151645208,CIN,6.0
