FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LAC,2
Adam Williams,P,SF,2
Alan Brackett,P,CLE,-4
Alec McPherson,K,DEN,-5
Alex McPherson,K,CAR,-5
Artie Markham,K,CHI,-4
Austin Seibert,K,DAL,3
Bernard Donaldson,K,HOU,4
Blake Gillikin,P,TB,1
Braden Mann,P,IND,1
Brett Wittman,P,NO,5
Bryce McFerson,P,MIN,-2
Cade York,K,WAS,-2
Chase Cook,K,ARI,2
Chris Edwards,P,BUF,5
Chris Ross,K,NO,6
Colin Hartman,K,LAR,-5
Colt Lawson,K,DET,-8
Corey Bojorquez,P,GB,0
Damon Wilcox,P,DET,1
Daniel Lee,P,CAR,1
David Foster,P,NYG,1
Dennis Abraham,K,CIN,7
Devin Tanley,K,GB,3
Donnie Goodman,P,MIA,-2
Ethan Moczulski,K,TB,-1
Evan McPherson,K,NYJ,2
Gabe Brkic,K,BUF,2
Gabriel Levine,K,IND,-5
Gary Paulson,P,DEN,-1
Grant Wade,K,NE,0
Harrison Butker,K,KC,-2
Isaiah Hamilton,K,SEA,5
Jack Fox,P,SEA,2
Jack Podlesny,K,ATL,5
Jake Bailey,P,TEN,2
Jake Camarda,P,NYJ,-5
James Williams,K,TEN,-7
Jamie Gillan,P,ARI,-1
Joe Fraser,K,JAX,-8
Joey Slye,K,MIN,3
Johnny Webster,K,BAL,0
Joshua Conwell,P,PHI,-3
Justin Rohrwasser,K,MIA,3
Kai Keawe,P,ATL,-1
Kai Kroeger,P,CIN,-1
Matt Walker,K,LV,0
Matthew Wright,K,CLE,-7
Michael Dickson,P,BAL,3
Michael Turk,P,CHI,0
Nathan Dibert,K,PIT,2
Nathan Porter,K,NYG,-4
Paul Robbins,P,PIT,-1
Peter Williams,P,LV,3
Rigoberto Sanchez,P,JAX,3
Riley Rogers,K,PHI,-1
Shane Barker,K,LAC,-4
Ted McCoy,K,SF,0
Tom Hutton,P,NE,0
Tommy Townsend,P,KC,5
Tory Taylor,P,LAR,-2
Trevor Hardy,P,DAL,0
Tucker Day,P,WAS,-3
Tyler Perkins,P,HOU,1
