Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
25,RT,Will,Campbell,Will Campbell,BUF,15,0,12,1018,False,15,2,0,11,Will,Campbell,709.0,707.0,6.0,2.0,Signed,81.0,0.0,0.0,BUF,tier_3,11.787819253438114,BUF,-3
35,LG,Landon,Dickerson,Landon Dickerson,CHI,14,0,7,908,False,14,0,0,11,Landon,Dickerson,653.0,651.0,11.0,0.0,Signed,70.0,0.0,0.0,CHI,tier_5,7.709251101321586,CHI,-1
47,C,Tyler,Linderbaum,Tyler Linderbaum,LAR,15,0,4,1052,False,15,23,0,11,Tyler,Linderbaum,3314.0,3312.0,10.0,23.0,Signed,84.0,0.0,0.0,LAR,tier_3,3.802281368821293,LAR,-1
49,RT,Craig,McQueen,Craig McQueen,JAX,15,0,9,1102,False,15,16,0,11,Craig,McQueen,3543.0,3541.0,1.0,16.0,Signed,69.0,0.0,0.0,JAX,tier_6,8.166969147005444,JAX,0
54,RG,Logan,Parr,Logan Parr,HOU,14,0,1,1062,False,14,31,0,11,Logan,Parr,561.0,559.0,7.0,31.0,Signed,76.0,0.0,0.0,HOU,tier_4,0.9416195856873822,HOU,9
77,RG,Cesar,Ruiz,Cesar Ruiz,ATL,14,0,4,973,False,14,13,0,11,Cesar,Ruiz,2284.0,2282.0,12.0,13.0,Signed,67.0,0.0,0.0,ATL,tier_6,4.110996916752312,ATL,0
82,C,James,Brockermeyer,James Brockermeyer,TEN,15,0,1,1110,False,15,29,0,11,James,Brockermeyer,3737.0,3735.0,6.0,29.0,Signed,91.0,0.0,0.0,TEN,tier_1,0.9009009009009009,TEN,2
108,RG,Devon,Campbell,Devon Campbell,CAR,15,0,3,1018,False,15,20,0,11,Devon,Campbell,1358.0,1356.0,6.0,20.0,Signed,73.0,0.0,0.0,CAR,tier_5,2.9469548133595285,CAR,1
128,LT,Jonah,Williams,Jonah Williams,LAC,14,0,8,1029,False,14,7,0,11,Jonah,Williams,2847.0,2845.0,13.0,7.0,Signed,71.0,0.0,0.0,LAC,tier_5,7.774538386783284,LAC,4
132,LG,Larry,Gaines,Larry Gaines,MIA,15,0,3,1001,False,15,11,0,11,Larry,Gaines,1403.0,1401.0,1.0,11.0,Signed,68.0,0.0,0.0,MIA,tier_6,2.997002997002997,MIA,4
145,LG,Dion,McBride,Dion McBride,WAS,15,0,5,1041,False,15,25,0,11,Dion,McBride,2964.0,2962.0,0.0,25.0,Signed,66.0,0.0,0.0,WAS,tier_6,4.803073967339097,WAS,1
151,LG,Jonah,Miller,Jonah Miller,NO,14,0,3,934,False,14,26,0,11,Jonah,Miller,1291.0,1289.0,6.0,26.0,Signed,72.0,0.0,0.0,NO,tier_5,3.2119914346895073,NO,4
167,LT,Mateo,Camarillo,Mateo Camarillo,PHI,12,0,4,668,False,12,12,0,11,Mateo,Camarillo,2869.0,2867.0,0.0,12.0,Signed,75.0,0.0,0.0,PHI,tier_4,5.9880239520958085,PHI,9
191,LG,Charlie,Duggan,Charlie Duggan,IND,11,0,4,724,False,11,9,0,11,Charlie,Duggan,1922.0,1920.0,2.0,9.0,Signed,65.0,0.0,0.0,IND,tier_6,5.524861878453039,IND,1
