FullName,Position,TeamName,SkillPointDef
A.J. Bradford,CB,NYG,1
A.J. Yates,DT,SEA,1
AJ Harris,CB,SF,-5
Ahmad Gardner,CB,GB,2
Akeem Harris,LE,CHI,3
Alani Burke,CB,JAX,3
Alex Jones,SS,IND,-3
Alex Stanton,RE,NYJ,-2
Alfonso Hunter,MLB,IND,3
Alfred Collins,DT,BUF,4
Alonzo Barnes,DT,PIT,-2
Alton Hawkins,LOLB,CHI,5
Andre Stewart,CB,WAS,7
Andrew Bassey,LE,NO,7
Andrew Heyward,CB,MIA,-2
Andrew Mukuba,SS,SEA,1
Andrew Swain Jr,ROLB,WAS,-4
Anthony Barnett,LOLB,SEA,4
Anthony Clarke,CB,DEN,6
Anthony Hill,MLB,WAS,-2
Anthony Roberts,MLB,LAC,-3
Antoine Flowers,CB,CHI,-1
Asa Turner,SS,NO,9
Ashton Farrell,ROLB,CHI,3
Barrett Carter,LOLB,LAC,-1
Bax Anaele,LE,PHI,-4
Benji Hawkins,CB,BAL,-2
Billy Bowman,CB,PIT,-2
Blake Jones,MLB,CLE,5
Blayne Toll,LE,DET,3
Bo Porter,LOLB,NO,0
Bojan Billups,LE,LAR,7
Branden Jennings,LOLB,CIN,0
Brandon Bradshaw,LOLB,SF,-2
Brandon Gholston,RE,TEN,5
Brandon Joseph,FS,DET,-1
Braxton Manning,CB,BUF,-2
Braylon Johnson,FS,CHI,-1
Brenan Vernon,ROLB,CAR,3
Brendan Humphrey,SS,MIN,-4
Brian Asamoah,MLB,CAR,-1
Brian Thompson,DT,DEN,-1
Bryan Bresee,DT,PHI,-1
Bryan Caldwell,CB,IND,5
Bryan Moore,ROLB,NYJ,-4
Bryce Widmer,CB,NO,-1
C.J. Beckham,SS,BUF,-4
C.J. Gardner-Johnson,SS,CHI,5
C.J. Hicks,LOLB,KC,-3
C.J. Washington,MLB,NYG,2
Cade Denhoff,LE,JAX,0
Cadron Charles,CB,MIA,1
Caesar Ramos,SS,LAC,-1
Caleb Downs,SS,MIN,-2
Caleb Presley,CB,WAS,2
Calen Bullcok,FS,WAS,7
Cam Hancock,MLB,ARI,3
Cam Holmes,MLB,ATL,0
Cam Samuel,LOLB,CIN,-6
Cam'Ron Kelly,FS,TB,-1
Cameron Jenkins,FS,IND,-3
Carl Thornton,CB,LAR,2
Carlos Lacy,ROLB,BAL,0
Carlos Sears,FS,SEA,-2
Ceyair Wright,CB,LAR,1
Chance Biddle,SS,JAX,0
Charles Bates,MLB,GB,-1
Charles Vick,CB,NYG,0
Chauncey Fitzpatrick,MLB,MIA,3
Chauncey Ford,RE,NE,-8
Chauncey Sims,LOLB,KC,-1
Chester Pinkins,CB,NE,0
Chris Dawkins,CB,IND,0
Chris Henderson,CB,ATL,0
Chris Lindsay,MLB,MIN,4
Chris Sheppard,RE,CAR,-2
Clyde Kellum,DT,NYJ,11
Clyde Wall,DT,MIN,3
Cody Simon,MLB,CAR,-2
Cole Hayes,MLB,LAR,5
Cole Jackson,RE,SEA,6
Cole Martin,CB,LAR,-3
Cole Otten,LOLB,JAX,0
Colt Woods,ROLB,BUF,-2
Connor Kent,RE,NE,-1
Cormani McClain,CB,MIA,-1
Cortez Tarpley,MLB,TEN,-1
Cortez Wilford,CB,WAS,-3
D'Andre Marsh,DT,NYG,-4
D.J. Spencer,MLB,JAX,-1
Daeh McCullough,SS,SEA,6
Dajon Cooks,CB,ARI,-2
Dalton Brooks,FS,HOU,4
Damarious Harmon,CB,DAL,-2
Damian Peterson,RE,LV,8
Damien Henderson,DT,CIN,-3
Damien Parris,SS,LAR,-1
Damon Clark,MLB,NYJ,3
Daniel Harris,ROLB,DAL,-5
Daniel Rollins,ROLB,CHI,-1
Darin Williams Jr,CB,CIN,0
Darnell Mayweather,CB,KC,7
Darren Ryan,LOLB,BAL,7
Darris Smith,LE,KC,0
Darrius Phillips,RE,NO,-2
Dasan McCullough,RE,TB,4
Dave Kennedy,LOLB,PIT,-4
David Bailey,LOLB,PHI,6
David Stone,RE,WAS,0
Davion Carter,DT,LV,-2
Davison Igbinosun,CB,TEN,4
Dayo Odeyingbo,RE,IND,-2
DeAngelo Johns,RE,DET,-2
DeSean Tarrant,SS,NE,-5
Deacon Marion,CB,CAR,0
Delonte Ward,CB,HOU,2
Demani Richardson,SS,GB,-4
Demeioun Robinson,LOLB,LV,-1
Dennis Friedman,DT,BAL,-4
Denver Harris,CB,CLE,-4
Denzel Burke,CB,HOU,2
Deontae Means,CB,LV,-1
Deontae Webster,CB,BUF,-1
Deonte Sharpton,ROLB,HOU,3
Derek Ashe,LOLB,PIT,-5
Derek Williams,SS,ATL,2
Derion Gullette,LOLB,DEN,4
Derion Kendrick,CB,MIN,2
Derrick Davis Jr,FS,JAX,3
Derrick Keenan,CB,PHI,10
Deshaun Griggs,CB,TEN,0
Desmond Ricks,CB,BUF,1
Devin Dawkins,CB,BAL,0
Devin James,SS,KC,2
Devin Lloyd,MLB,IND,3
Dillon Knox,ROLB,IND,-3
Dionte Callahan,SS,PIT,-5
Dishawn Misa,LOLB,ATL,1
Domani Jackson,CB,NO,-3
Donovan Hilliard,MLB,NYG,1
Donovan Northrup,FS,KC,-2
Donta Manning,ROLB,MIA,-4
Donte Knox,LOLB,DAL,-2
Dorian Knowles,ROLB,GB,5
Doug Curry,DT,NO,-1
Doug Mumphrey,CB,LAC,-4
Drake Jackson,LOLB,DAL,3
Drew Sanders,ROLB,HOU,2
Duane Hopkins,FS,MIN,0
Duane Peterson,ROLB,PIT,-2
Duke Jackson,LE,TEN,-5
Duke Maxwell,CB,PHI,4
Dwight Archibald,MLB,DET,-5
Dwight Jackson,FS,CIN,-6
Earl Little Jr,CB,ARI,2
Eddie Clay,SS,PHI,15
Eddie Phillips,MLB,KC,1
Edeufan Ulofoshio,MLB,LV,9
Edgerrin Terrell Jr,ROLB,CIN,-3
Edward Jones,SS,ATL,-5
Eli McPhee,ROLB,CHI,3
Elias Spillman,MLB,PHI,13
Elijah Rushing,ROLB,PIT,3
Elliot Donald,DT,WAS,12
Emmett Lasley,SS,DET,1
Enai White,ROLB,LV,-1
Enrique McBride,RE,TEN,-2
Eric Atkinson,SS,ARI,2
Eric Cobbs,CB,TB,-3
Eric Gregory,LE,IND,1
Ethan Calvert,MLB,SF,1
Evan Tattersall,MLB,NYJ,-7
Ezekiel Dobson,ROLB,IND,3
Freeman Perkins,CB,SEA,2
Ga'Quincy McKinstry,CB,NE,0
