Position,RatingTier,StatCheck,StatValue,StatTier,SkillPoint,StatHigh,StatLow
HB,tier_0,RBScrimmageYardsPer300Touches,1500-7500,tier_0,1,7501,1500
HB,tier_0,RBScrimmageYardsPer300Touches,1400-1499,tier_1,0,1500,1400
HB,tier_0,RBScrimmageYardsPer300Touches,1250-1399,tier_2,-1,1400,1250
HB,tier_0,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-5,1250,1100
HB,tier_0,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-10,1100,1000
HB,tier_0,RBScrimmageYardsPer300Touches,0-999,tier_5,-15,1000,0
HB,tier_0,RBScrimmageTDsPerGame,0.80-5.00,tier_0,1,5.01,0.80
HB,tier_0,RBScrimmageTDsPerGame,0.60-0.79,tier_1,0,0.8,0.60
HB,tier_0,RBScrimmageTDsPerGame,0.50-0.59,tier_2,-1,0.6,0.50
HB,tier_0,RBScrimmageTDsPerGame,0.30-0.49,tier_3,-2,0.5,0.30
HB,tier_0,RBScrimmageTDsPerGame,0.10-0.29,tier_4,-4,0.3,0.10
HB,tier_0,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-8,0.1,0.00
HB,tier_0,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_0,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_0,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_0,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_0,RUSHFUMBLES,4,tier_4,-3,4,4
HB,tier_0,RUSHFUMBLES,5-25,tier_5,-4,26,5
HB,tier_1,RBScrimmageYardsPer300Touches,1500-7500,tier_0,2,7501,1500
HB,tier_1,RBScrimmageYardsPer300Touches,1400-1499,tier_1,1,1500,1400
HB,tier_1,RBScrimmageYardsPer300Touches,1250-1399,tier_2,0,1400,1250
HB,tier_1,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-4,1250,1100
HB,tier_1,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-8,1100,1000
HB,tier_1,RBScrimmageYardsPer300Touches,0-999,tier_5,-10,1000,0
HB,tier_1,RBScrimmageTDsPerGame,0.80-5.00,tier_0,2,5.01,0.80
HB,tier_1,RBScrimmageTDsPerGame,0.60-0.79,tier_1,1,0.8,0.60
HB,tier_1,RBScrimmageTDsPerGame,0.50-0.59,tier_2,0,0.6,0.50
HB,tier_1,RBScrimmageTDsPerGame,0.30-0.49,tier_3,-1,0.5,0.30
HB,tier_1,RBScrimmageTDsPerGame,0.10-0.29,tier_4,-3,0.3,0.10
HB,tier_1,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-6,0.1,0.00
HB,tier_1,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_1,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_1,RUSHFUMBLES,2,tier_2,-1,2,2
HB,tier_1,RUSHFUMBLES,3,tier_3,-2,3,3
HB,tier_1,RUSHFUMBLES,4,tier_4,-3,4,4
HB,tier_1,RUSHFUMBLES,5-25,tier_5,-4,26,5
HB,tier_2,RBScrimmageYardsPer300Touches,1500-7500,tier_0,4,7501,1500
HB,tier_2,RBScrimmageYardsPer300Touches,1400-1499,tier_1,2,1500,1400
HB,tier_2,RBScrimmageYardsPer300Touches,1250-1399,tier_2,0,1400,1250
HB,tier_2,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-3,1250,1100
HB,tier_2,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-5,1100,1000
HB,tier_2,RBScrimmageYardsPer300Touches,0-999,tier_5,-8,1000,0
HB,tier_2,RBScrimmageTDsPerGame,0.80-5.00,tier_0,4,5.01,0.80
HB,tier_2,RBScrimmageTDsPerGame,0.60-0.79,tier_1,2,0.8,0.60
HB,tier_2,RBScrimmageTDsPerGame,0.50-0.59,tier_2,1,0.6,0.50
HB,tier_2,RBScrimmageTDsPerGame,0.30-0.49,tier_3,0,0.5,0.30
HB,tier_2,RBScrimmageTDsPerGame,0.10-0.29,tier_4,-2,0.3,0.10
HB,tier_2,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-4,0.1,0.00
HB,tier_2,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_2,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_2,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_2,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_2,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_2,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_3,RBScrimmageYardsPer300Touches,1500-7500,tier_0,5,7501,1500
HB,tier_3,RBScrimmageYardsPer300Touches,1400-1499,tier_1,3,1500,1400
HB,tier_3,RBScrimmageYardsPer300Touches,1250-1399,tier_2,0,1400,1250
HB,tier_3,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-2,1250,1100
HB,tier_3,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-4,1100,1000
HB,tier_3,RBScrimmageYardsPer300Touches,0-999,tier_5,-6,1000,0
HB,tier_3,RBScrimmageTDsPerGame,0.80-5.00,tier_0,5,5.01,0.80
HB,tier_3,RBScrimmageTDsPerGame,0.60-0.79,tier_1,3,0.8,0.60
HB,tier_3,RBScrimmageTDsPerGame,0.50-0.59,tier_2,2,0.6,0.50
HB,tier_3,RBScrimmageTDsPerGame,0.30-0.49,tier_3,0,0.5,0.30
HB,tier_3,RBScrimmageTDsPerGame,0.10-0.29,tier_4,-1,0.3,0.10
HB,tier_3,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-3,0.1,0.00
HB,tier_3,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_3,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_3,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_3,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_3,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_3,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_4,RBScrimmageYardsPer300Touches,1500-7500,tier_0,7,7501,1500
HB,tier_4,RBScrimmageYardsPer300Touches,1400-1499,tier_1,4,1500,1400
HB,tier_4,RBScrimmageYardsPer300Touches,1250-1399,tier_2,1,1400,1250
HB,tier_4,RBScrimmageYardsPer300Touches,1100-1249,tier_3,-1,1250,1100
HB,tier_4,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-3,1100,1000
HB,tier_4,RBScrimmageYardsPer300Touches,0-999,tier_5,-5,1000,0
HB,tier_4,RBScrimmageTDsPerGame,0.80-5.00,tier_0,7,5.01,0.80
HB,tier_4,RBScrimmageTDsPerGame,0.60-0.79,tier_1,4,0.8,0.60
HB,tier_4,RBScrimmageTDsPerGame,0.50-0.59,tier_2,3,0.6,0.50
HB,tier_4,RBScrimmageTDsPerGame,0.30-0.49,tier_3,1,0.5,0.30
HB,tier_4,RBScrimmageTDsPerGame,0.10-0.29,tier_4,0,0.3,0.10
HB,tier_4,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-2,0.1,0.00
HB,tier_4,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_4,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_4,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_4,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_4,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_4,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_5,RBScrimmageYardsPer300Touches,1500-7500,tier_0,8,7501,1500
HB,tier_5,RBScrimmageYardsPer300Touches,1400-1499,tier_1,5,1500,1400
HB,tier_5,RBScrimmageYardsPer300Touches,1250-1399,tier_2,2,1400,1250
HB,tier_5,RBScrimmageYardsPer300Touches,1100-1249,tier_3,0,1250,1100
HB,tier_5,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-2,1100,1000
HB,tier_5,RBScrimmageYardsPer300Touches,0-999,tier_5,-4,1000,0
HB,tier_5,RBScrimmageTDsPerGame,0.80-5.00,tier_0,8,5.01,0.80
HB,tier_5,RBScrimmageTDsPerGame,0.60-0.79,tier_1,5,0.8,0.60
HB,tier_5,RBScrimmageTDsPerGame,0.50-0.59,tier_2,3,0.6,0.50
HB,tier_5,RBScrimmageTDsPerGame,0.30-0.49,tier_3,1,0.5,0.30
HB,tier_5,RBScrimmageTDsPerGame,0.10-0.29,tier_4,0,0.3,0.10
HB,tier_5,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-1,0.1,0.00
HB,tier_5,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_5,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_5,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_5,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_5,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_5,RUSHFUMBLES,5-25,tier_5,-3,26,5
HB,tier_6,RBScrimmageYardsPer300Touches,1500-7500,tier_0,10,7501,1500
HB,tier_6,RBScrimmageYardsPer300Touches,1400-1499,tier_1,6,1500,1400
HB,tier_6,RBScrimmageYardsPer300Touches,1250-1399,tier_2,4,1400,1250
HB,tier_6,RBScrimmageYardsPer300Touches,1100-1249,tier_3,1,1250,1100
HB,tier_6,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-1,1100,1000
HB,tier_6,RBScrimmageYardsPer300Touches,0-999,tier_5,-3,1000,0
HB,tier_6,RBScrimmageTDsPerGame,0.80-5.00,tier_0,10,5.01,0.80
HB,tier_6,RBScrimmageTDsPerGame,0.60-0.79,tier_1,7,0.8,0.60
HB,tier_6,RBScrimmageTDsPerGame,0.50-0.59,tier_2,4,0.6,0.50
HB,tier_6,RBScrimmageTDsPerGame,0.30-0.49,tier_3,2,0.5,0.30
HB,tier_6,RBScrimmageTDsPerGame,0.10-0.29,tier_4,0,0.3,0.10
HB,tier_6,RBScrimmageTDsPerGame,0.00-0.09,tier_5,-1,0.1,0.00
HB,tier_6,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_6,RUSHFUMBLES,1,tier_1,0,1,1
HB,tier_6,RUSHFUMBLES,2,tier_2,0,2,2
HB,tier_6,RUSHFUMBLES,3,tier_3,-1,3,3
HB,tier_6,RUSHFUMBLES,4,tier_4,-2,4,4
HB,tier_6,RUSHFUMBLES,5-25,tier_5,-3,26,5
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,1350-5000,tier_0,1,5001,1350
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,1200-1349,tier_1,0,1350,1200
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,1000-1199,tier_2,-2,1200,1000
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,875-999,tier_3,-5,1000,875
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,750-874,tier_4,-7,875,750
WR,tier_0,ScrimmageYardsPer1000DownsPlayed,0-749,tier_5,-12,750,0
WR,tier_0,TDsPer1000DownsPlayed,12.00-50.00,tier_0,2,50.01,12.00
WR,tier_0,TDsPer1000DownsPlayed,10.00-11.99,tier_1,0,12.0,10.00
WR,tier_0,TDsPer1000DownsPlayed,6.00-9.99,tier_2,-1,10.0,6.00
WR,tier_0,TDsPer1000DownsPlayed,4.00-5.99,tier_3,-2,6.0,4.00
WR,tier_0,TDsPer1000DownsPlayed,2.00-3.99,tier_4,-4,4.0,2.00
WR,tier_0,TDsPer1000DownsPlayed,0.00-1.99,tier_5,-6,2.0,0.00
WR,tier_1,ScrimmageYardsPer1000DownsPlayed,1350-5000,tier_0,2,5001,1350
WR,tier_1,ScrimmageYardsPer1000DownsPlayed,1200-1349,tier_1,1,1350,1200
WR,tier_1,ScrimmageYardsPer1000DownsPlayed,1000-1199,tier_2,-1,1200,1000
