Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,MLBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
7,MLB,Jason,Easley,Jason Easley,NE,True,26,0,815,1,23,41,61,0,20,46,0,0,0,0,0,1,0,21,0,1,0,0,12,0,Jason,Easley,72.0,70.0,5.0,21.0,Signed,73.0,0.0,0.0,NE,tier_5,0.0,0.0,2.4539877300613497,1.2269938650306749,1.2269938650306749,103.06748466257669,1.2269938650306749,5.644171779141105,3.75,NE,-2
15,LOLB,Gio,Kennedy,Gio Kennedy,NE,True,0,0,375,0,0,5,7,0,20,4,0,0,0,0,0,0,0,21,0,0,0,0,16,0,Gio,Kennedy,974.0,972.0,1.0,21.0,Signed,65.0,0.0,0.0,NE,tier_6,0.0,0.0,0.0,0.0,0.0,18.666666666666668,0.0,1.0666666666666667,0.25,NE,-5
42,SS,Ezekiel,Murray,Ezekiel Murray,NO,True,0,44,1007,0,31,32,48,0,20,23,28,0,2,0,0,7,0,26,0,0,1,0,15,15,Ezekiel,Murray,2282.0,2280.0,5.0,26.0,Signed,76.0,0.0,0.0,NO,tier_4,1.737835153922542,2.234359483614697,1.9860973187686195,8.440913604766633,7.944389275074478,78.45084409136048,6.951340615690168,2.284011916583913,1.0666666666666667,NO,-1
54,MLB,Mike,McDaniels,Mike McDaniels,LAC,True,28,0,827,1,38,38,62,0,20,40,0,0,0,0,0,3,0,7,1,2,1,1,13,5,Mike,McDaniels,1727.0,1725.0,2.0,7.0,Signed,71.0,0.0,0.0,LAC,tier_5,3.325272067714631,3.9298669891172913,4.836759371221281,6.650544135429262,6.045949214026602,120.91898428053204,3.6275695284159615,4.836759371221282,2.8461538461538463,LAC,5
65,CB,Khamari,Ellington,Khamari Ellington,NO,True,0,31,767,0,15,19,31,0,20,21,17,0,2,0,0,4,0,26,0,0,0,0,12,8,Khamari,Ellington,3726.0,3724.0,3.0,26.0,Signed,78.0,0.0,0.0,NO,tier_4,0.0,0.0,2.607561929595828,5.215123859191656,5.215123859191656,59.97392438070404,5.215123859191656,2.737940026075619,1.4166666666666667,NO,-2
71,MLB,James,Alexander,James Alexander,DAL,True,0,0,885,0,44,46,72,0,20,53,0,0,0,0,0,2,1,10,0,2,1,0,12,4,James,Alexander,1030.0,1028.0,1.0,10.0,Signed,78.0,0.0,0.0,DAL,tier_4,1.9774011299435028,2.542372881355932,3.389830508474576,3.9548022598870056,3.389830508474576,131.07344632768363,2.2598870056497176,5.988700564971752,4.25,DAL,5
93,DT,Kordell,Hatchett,Kordell Hatchett,SEA,True,0,0,410,0,12,19,23,0,20,0,0,0,0,0,0,0,0,27,8,1,2,0,16,2,Kordell,Hatchett,1076.0,1074.0,0.0,27.0,Signed,75.0,0.0,0.0,SEA,tier_4,28.04878048780488,30.48780487804878,2.4390243902439024,26.829268292682926,24.390243902439025,85.3658536585366,0.0,0.0,0.0,SEA,0
94,CB,Jermaine,McFadden,Jermaine McFadden,IND,True,0,48,1024,0,24,49,63,0,20,48,26,0,3,1,0,11,0,9,0,1,1,0,16,16,Jermaine,McFadden,2849.0,2847.0,4.0,9.0,Signed,80.0,0.0,0.0,IND,tier_3,1.708984375,2.197265625,4.8828125,12.20703125,11.71875,84.9609375,10.7421875,4.6875,2.3125,IND,-2
101,ROLB,Damion,Mason,Damion Mason,DAL,True,0,0,612,0,14,15,24,0,20,3,0,0,0,0,0,0,0,10,6,1,2,0,15,7,Damion,Mason,2204.0,2202.0,0.0,10.0,Signed,69.0,0.0,0.0,DAL,tier_6,15.522875816993464,17.156862745098042,1.6339869281045751,14.705882352941176,13.071895424836601,62.091503267973856,0.0,0.49019607843137253,0.2,DAL,3
132,LOLB,Deontae,Stump,Deontae Stump,GB,True,26,0,411,1,1,5,10,0,20,0,0,0,0,0,0,0,1,19,0,1,0,1,16,0,Deontae,Stump,810.0,808.0,0.0,19.0,Signed,69.0,0.0,0.0,GB,tier_6,0.0,0.0,9.732360097323602,0.0,0.0,26.7639902676399,0.0,0.0,0.0,GB,5
148,LOLB,Dominick,Ewing,Dominick Ewing,TEN,True,28,0,445,1,4,6,8,0,20,1,0,0,0,0,0,0,0,29,1,1,0,1,16,0,Dominick,Ewing,1540.0,1538.0,3.0,29.0,Signed,57.0,0.0,0.0,TEN,tier_6,2.247191011235955,2.247191011235955,6.741573033707866,2.247191011235955,2.247191011235955,26.966292134831463,0.0,0.22471910112359553,0.0625,TEN,5
152,CB,Xavier,Beal-Jackson,Xavier Beal-Jackson,BUF,True,0,31,1014,0,24,34,38,0,20,33,20,0,2,0,0,6,0,2,0,0,0,0,16,16,Xavier,Beal-Jackson,2324.0,2322.0,1.0,2.0,Signed,87.0,0.0,0.0,BUF,tier_2,0.0,0.0,1.9723865877712032,5.9171597633136095,5.9171597633136095,61.1439842209073,5.9171597633136095,3.2544378698224854,1.6875,BUF,-2
160,LE,Joseph,Harris,Joseph Harris,CLE,True,0,0,513,0,8,16,18,0,20,0,0,0,0,0,0,0,0,4,8,0,2,0,16,9,Joseph,Harris,280.0,278.0,0.0,4.0,Signed,69.0,0.0,0.0,CLE,tier_6,22.417153996101362,24.366471734892787,0.0,21.44249512670565,19.49317738791423,50.682261208576996,0.0,0.0,0.0,CLE,-2
