FullName,Position,TeamName,SkillPointOff
Alani Hurst-Dixon,TE,HOU,-5
Alec Hoffmann,WR,TB,1
Alejandro Aguayo,WR,NYG,0
Alex Nance,WR,TEN,-2
Andrew Gray,WR,KC,3
Andy Peterson,WR,SF,0
Armani Boykin,TE,GB,1
Armani Verrett,HB,HOU,4
Atu Joseph,HB,CAR,2
Benji Beachum,TE,LAR,6
Bradley Mann,HB,KC,-1
Bradley Ramsay,HB,NE,1
Brayden Llyod Jr,WR,LAR,8
Brayden Stewart,HB,BAL,-5
Brian Pettis,HB,TB,-8
Britton Forbes,WR,WAS,-1
Bryan Sellers,HB,MIN,3
Bryce Cohen,HB,DEN,-4
Bryce O'Neal,WR,JAX,-1
Bryce Saunders,HB,TEN,5
Caleb Simpson,WR,TB,-1
Camari Edwards,WR,LV,-2
Cedric Wheeler,WR,NYJ,-1
Cedrick Haskins Jr,WR,NO,-1
Chuck Jones,WR,DEN,0
Clark Falk,TE,LAC,-2
Clark McMillian,HB,LV,2
Coby Dawkins,HB,CHI,2
Connor Weston,TE,PIT,-3
Cory Schilling,TE,LV,-4
D'Andre Massey,WR,ARI,-2
D'Marcus Crawford,WR,CAR,-1
DaShaun Burgess Jr,TE,PHI,1
Daevon Canty,WR,PIT,-1
Damarius Greenlaw Jr,HB,PHI,3
Damarius Strickland,WR,MIN,2
Damion Turner,WR,ATL,2
Daniel Childress,WR,PIT,1
Darius Harrison,WR,LV,-2
Darrell Adams,WR,GB,2
Darrell Jackson,HB,BAL,-2
Darrius Levingston,WR,LAC,-1
David Waynes,WR,MIN,0
David Woodley,WR,MIN,1
DeAndre Jennings,WR,DAL,2
DeAngelo Colbert,WR,BUF,4
Deante Hills,WR,NYG,-6
Delonte Bowe-Malone,WR,SEA,0
Deron Ebiketie,WR,KC,9
Deshaun Boothe,WR,LAC,2
Deshaun Westbrook,WR,SF,-1
Desmond McLaughlin,WR,LAR,-2
Devin Leach,WR,TB,4
Devin Morrison,TE,NYG,-4
Devine Palmer,WR,DET,2
Devon Barrett,WR,ATL,0
Devonta Sherels,WR,NYG,0
Dexter Rich,TE,NYG,6
Dimitri Mullins-Luzar,HB,HOU,1
Dionte Hobson,WR,DET,4
Donovan Meriweather,TE,CAR,-3
Donte Keyton III,HB,TEN,-1
Dudley Tolbert,WR,ARI,0
Earl Branson,WR,TEN,3
Emanuel Barrett,HB,TB,-3
Emmett Melton,HB,MIN,4
Essang Nkemdiche,WR,LAC,-1
Ethan Kacyvenski,TE,NE,5
Evan Cooks,WR,JAX,0
Forrest Walden,TE,BAL,-1
Greg Burke,WR,IND,0
Isaiah Bishop,HB,MIA,1
Isaiah Bryson,TE,IND,0
Isaiah DeVoe Jr,WR,DAL,-4
Izzy McAllister,HB,NO,-4
JJ Moss,WR,DEN,1
JaMarcus Shelby,TE,DAL,8
JaMichael Brackett,TE,MIA,-1
JaMichael Mullins,HB,ARI,-2
Jaleel Perriman,HB,CIN,3
Jaleel Redmon,WR,CIN,-1
Jamaal Jones,WR,PHI,-7
Jamar Carroll,WR,CHI,1
Jamie Kidd,WR,KC,-2
Jaquard Woods,WR,CHI,1
Javonti Felix,WR,BAL,2
Jelani Brooks,HB,LAC,1
Jerod Felder Jr,WR,HOU,-2
Jerry McCormick,TE,CHI,7
Joe Andrews,WR,IND,-4
Joel Moses,HB,DET,2
Joesph Doaks,WR,PHI,-3
Johnny Hobbs,TE,CIN,15
Jonathan Hawkins,WR,NO,-2
Jonathan Trejo,TE,ARI,-1
Josh Nolan,WR,BAL,-1
Julian Wallace,TE,JAX,-1
Junior Dawkins,WR,CLE,-2
K.J. Ivey,HB,CIN,-3
Kahlil Beekman,HB,IND,2
