Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
1,K,Matthew,Wright,Matthew Wright,KC,0,0,0,1,0,0,60,39,0,4,0,False,0,0,26,36,0,11,8,4,3,0,4,3,21,54,14,8,0,6,8,0,15,Matthew,Wright,2949.0,2947.0,8.0,Signed,75.0,0.0,0.0,KC,tier_4,0.8076923076923077,0.9230769230769231,0.7368421052631579,,,,KC,0
3,K,Ethan,Moczulski,Ethan Moczulski,TEN,0,0,0,0,0,0,63,37,0,4,0,False,0,0,26,34,0,11,5,8,2,0,8,2,21,55,14,29,0,6,5,0,14,Ethan,Moczulski,795.0,793.0,29.0,Signed,74.0,0.0,0.0,TEN,tier_5,0.8076923076923077,0.918918918918919,0.6875,,,,TEN,0
8,K,James,Williams,James Williams,CIN,0,0,0,2,0,0,149,38,0,4,81,False,0,0,28,35,0,7,11,6,4,0,6,4,24,54,14,1,60,3,11,0,14,James,Williams,2204.0,2202.0,1.0,Signed,77.0,0.0,0.0,CIN,tier_4,0.8571428571428571,0.9210526315789473,0.7777777777777778,,,,CIN,2
15,P,Hunter,Niswander,Hunter Niswander,MIA,0,3113,3223,0,71,34,72,0,46,4,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,1,14,Hunter,Niswander,1948.0,1946.0,11.0,Signed,78.0,0.0,0.0,MIA,tier_4,,,,0.11764705882352941,45.394366197183096,0.9658703071672355,MIA,2
40,K,Eddy,Pineiro,Eddy Pineiro,BUF,1,0,0,0,0,0,50,28,0,4,0,False,0,0,22,26,0,6,8,5,3,0,5,3,16,49,14,2,0,0,8,0,14,Eddy,Pineiro,2106.0,2104.0,2.0,Signed,65.0,0.0,0.0,BUF,tier_6,0.7272727272727273,0.9285714285714286,0.5714285714285714,,,,BUF,-1
55,K,Parker,Lewis,Parker Lewis,HOU,0,0,0,1,0,0,52,38,0,4,0,False,0,0,14,36,0,5,2,5,2,0,5,2,11,51,14,31,0,2,2,0,14,Parker,Lewis,2149.0,2147.0,31.0,Signed,73.0,0.0,0.0,HOU,tier_5,0.7857142857142857,0.9473684210526315,0.5714285714285714,,,,HOU,-1
85,P,Sterling,Hofrichter,Sterling Hofrichter,DET,0,3094,3278,0,76,24,148,0,44,4,69,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,41,0,0,0,15,Sterling,Hofrichter,1192.0,1190.0,18.0,Signed,71.0,0.0,0.0,DET,tier_5,,,,0.0,43.13157894736842,0.9438682123245882,DET,2
99,K,Jason,Sanders,Jason Sanders,MIA,0,0,0,1,0,0,112,27,0,4,61,False,0,0,23,27,0,7,7,7,2,0,7,2,19,53,15,11,47,3,7,0,15,Jason,Sanders,2308.0,2306.0,11.0,Signed,79.0,0.0,0.0,MIA,tier_4,0.8260869565217391,1.0,0.7142857142857143,,,,MIA,2
100,K,Harrison,Butker,Harrison Butker,SF,0,0,0,2,0,0,54,29,0,4,0,False,0,0,24,29,0,8,3,7,6,0,7,6,21,55,14,14,0,5,3,0,14,Harrison,Butker,365.0,363.0,14.0,Signed,88.0,0.0,0.0,SF,tier_2,0.875,1.0,0.7272727272727273,,,,SF,1
150,P,Michael,Turk,Michael Turk,PIT,0,3050,3275,0,75,27,151,0,45,4,76,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,28,50,0,0,0,15,Michael,Turk,3552.0,3550.0,28.0,Signed,73.0,0.0,0.0,PIT,tier_5,,,,0.18518518518518517,43.666666666666664,0.9312977099236641,PIT,-2
