Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPerGame,TotalTurnoversPerGame,LBSacksTFLPassDeflPerGame,TacklesPerGame,CBPassDeflPerGame,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
16,DT,Alim,McNeill,Alim McNeill,CHI,True,0,0,411,0,7,13,15,0,5,0,0,0,0,0,0,0,0,0,4,0,1,0,14,5,Alim,McNeill,1773.0,1771.0,0.0,Signed,77.0,0.0,0.0,CHI,tier_4,0.35714285714285715,0.0,0.35714285714285715,1.5714285714285714,0.0,0.0,0.0,CHI,-7
19,RE,James,Sylvester,James Sylvester,HOU,True,0,0,350,0,6,9,13,0,5,0,0,0,0,0,0,0,0,31,7,0,1,0,12,10,James,Sylvester,2757.0,2755.0,31.0,Signed,71.0,0.0,0.0,HOU,tier_5,0.6666666666666666,0.0,0.6666666666666666,1.5833333333333333,0.0,0.0,0.0,HOU,-2
21,CB,Sean,Murphy-Bunting,Sean Murphy-Bunting,TB,True,0,122,967,0,17,32,41,0,5,21,39,0,5,2,0,13,0,5,0,0,0,0,15,15,Sean,Murphy-Bunting,1898.0,1896.0,5.0,Signed,82.0,0.0,0.0,TB,tier_3,0.0,0.4666666666666667,0.8666666666666667,3.8666666666666667,0.8666666666666667,2.1716649431230612,0.5333333333333333,TB,4
64,DT,Savion,Collins,Savion Collins,ATL,True,0,0,438,0,9,11,14,1,5,0,0,0,0,0,0,0,0,13,4,0,1,0,12,4,Savion,Collins,153.0,151.0,13.0,Signed,69.0,0.0,0.0,ATL,tier_6,0.4166666666666667,0.0,0.4166666666666667,1.9166666666666667,0.0,0.0,0.0,ATL,-2
66,MLB,Nakobe,Dean,Nakobe Dean,GB,True,0,0,675,0,17,56,65,1,5,24,0,0,0,0,0,6,0,19,0,0,1,0,10,10,Nakobe,Dean,3326.0,3324.0,19.0,Signed,90.0,0.0,0.0,GB,tier_1,0.1,0.0,0.7,8.2,0.6,3.5555555555555554,1.8,GB,-2
93,CB,DaRon,Bland,DaRon Bland,LAR,True,0,0,274,0,5,9,12,0,5,1,0,0,0,0,0,3,0,23,0,1,0,0,15,2,DaRon,Bland,3513.0,3511.0,23.0,Signed,74.0,0.0,0.0,LAR,tier_5,0.0,0.06666666666666667,0.2,1.1333333333333333,0.2,0.36496350364963503,-0.13333333333333333,LAR,2
113,RE,Zion,Tupuola-Fetui,Zion Tupuola-Fetui,TB,True,0,0,275,0,3,13,16,0,5,0,0,0,0,0,0,0,0,5,3,0,1,0,11,9,Zion,Tupuola-Fetui,3348.0,3346.0,5.0,Signed,78.0,0.0,0.0,TB,tier_4,0.36363636363636365,0.0,0.36363636363636365,1.7272727272727273,0.0,0.0,0.0,TB,-5
125,SS,DeMarcco,Hellams,DeMarcco Hellams,IND,True,0,2,649,0,17,29,41,0,5,18,2,0,1,0,0,2,0,9,0,0,0,0,10,10,DeMarcco,Hellams,3234.0,3232.0,9.0,Signed,78.0,0.0,0.0,IND,tier_4,0.0,0.1,0.2,5.8,0.2,2.773497688751926,1.6,IND,-1
135,CB,Tyrique,Stevenson,Tyrique Stevenson,ATL,True,0,0,694,0,15,35,49,0,5,19,0,0,0,0,0,6,0,13,0,1,0,0,15,2,Tyrique,Stevenson,3186.0,3184.0,13.0,Signed,72.0,0.0,0.0,ATL,tier_5,0.0,0.06666666666666667,0.4,4.266666666666667,0.4,2.7377521613832854,0.8666666666666667,ATL,-1
140,ROLB,Raylen,Wilson,Raylen Wilson,ATL,True,20,0,1100,1,28,47,56,0,5,7,0,0,0,0,0,2,0,13,6,1,9,0,15,15,Raylen,Wilson,23.0,21.0,13.0,Signed,74.0,0.0,0.0,ATL,tier_5,1.0,0.13333333333333333,1.1333333333333333,5.6,0.13333333333333333,0.6363636363636364,0.3333333333333333,ATL,5
149,CB,Isaiah,Oliver,Isaiah Oliver,IND,True,0,46,698,0,18,21,30,0,5,16,23,0,3,0,0,7,0,9,0,0,0,0,11,11,Isaiah,Oliver,1996.0,1994.0,9.0,Signed,87.0,0.0,0.0,IND,tier_2,0.0,0.2727272727272727,0.6363636363636364,4.363636363636363,0.6363636363636364,2.292263610315186,0.8181818181818182,IND,0
152,RE,Jerry,Tillery,Jerry Tillery,NYG,True,24,0,536,1,12,20,23,1,5,0,0,0,0,0,0,1,0,15,6,1,2,0,14,14,Jerry,Tillery,2634.0,2632.0,15.0,Signed,73.0,0.0,0.0,NYG,tier_5,0.5714285714285714,0.14285714285714285,0.6428571428571429,2.5,0.07142857142857142,0.0,-0.07142857142857142,NYG,-1
166,LOLB,Adetokunbo,Ogundeji,Adetokunbo Ogundeji,ATL,True,0,0,434,0,12,15,21,0,5,11,0,0,0,0,0,0,0,13,1,0,0,0,14,2,Adetokunbo,Ogundeji,1981.0,1979.0,13.0,Signed,68.0,0.0,0.0,ATL,tier_6,0.07142857142857142,0.0,0.07142857142857142,2.357142857142857,0.0,2.5345622119815667,0.7857142857142857,ATL,0
168,LE,Clayton,Smith,Clayton Smith,PHI,True,0,0,366,0,9,1,8,1,5,0,0,1,0,0,0,0,0,12,5,2,5,0,14,13,Clayton,Smith,1621.0,1619.0,12.0,Signed,70.0,0.0,0.0,PHI,tier_5,0.7142857142857143,0.21428571428571427,0.7142857142857143,1.2142857142857142,0.0,0.0,0.0,PHI,0
169,ROLB,Jihaad,Campbell,Jihaad Campbell,JAX,True,0,0,765,0,16,18,31,1,5,8,0,1,0,0,0,1,0,16,3,0,4,0,15,14,Jihaad,Campbell,1134.0,1132.0,16.0,Signed,66.0,0.0,0.0,JAX,tier_6,0.4666666666666667,0.06666666666666667,0.5333333333333333,3.1333333333333333,0.06666666666666667,1.045751633986928,0.4666666666666667,JAX,3
180,DT,Neville,Gallimore,Neville Gallimore,DAL,True,0,0,868,0,31,34,39,0,5,1,0,0,0,0,0,0,0,10,15,0,7,0,14,14,Neville,Gallimore,898.0,896.0,10.0,Signed,88.0,0.0,0.0,DAL,tier_2,1.5714285714285714,0.0,1.5714285714285714,5.0,0.0,0.1152073732718894,0.07142857142857142,DAL,2
188,MLB,Jayon,Brown,Jayon Brown,LAR,True,0,0,572,0,14,18,35,0,5,22,0,0,0,0,0,4,0,23,0,0,0,0,15,4,Jayon,Brown,317.0,315.0,23.0,Signed,68.0,0.0,0.0,LAR,tier_6,0.0,0.0,0.26666666666666666,3.2666666666666666,0.26666666666666666,3.8461538461538463,1.2,LAR,1
