Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
0,C,Ezra,Dotson-Oyetade,Ezra Dotson-Oyetade,MIA,15,0,4,1101,False,15,11,0,5,Ezra,Dotson-Oyetade,2165.0,2163.0,11.0,Signed,86.0,0.0,0.0,MIA,tier_2,3.6330608537693005,MIA,-5
10,RG,James,Daniels,James Daniels,LAR,15,0,4,1093,False,15,23,0,5,James,Daniels,578.0,576.0,23.0,Signed,84.0,0.0,0.0,LAR,tier_3,3.6596523330283626,LAR,-4
49,RG,Aaron,Banks,Aaron Banks,GB,14,0,3,986,False,14,19,0,5,Aaron,Banks,126.0,124.0,19.0,Signed,71.0,0.0,0.0,GB,tier_5,3.0425963488843815,GB,-1
50,C,David,Andrews,David Andrews,NE,15,0,2,986,False,15,21,0,5,David,Andrews,73.0,71.0,21.0,Signed,70.0,0.0,0.0,NE,tier_5,2.028397565922921,NE,1
58,C,Jarrett,Patterson,Jarrett Patterson,LV,11,0,0,723,False,11,22,0,5,Jarrett,Patterson,3365.0,3363.0,22.0,Signed,72.0,0.0,0.0,LV,tier_5,0.0,LV,10
70,LT,Francis,Mauigoa,Francis Mauigoa,NE,13,0,5,827,False,13,21,0,5,Francis,Mauigoa,532.0,530.0,21.0,Signed,76.0,0.0,0.0,NE,tier_4,6.045949214026602,NE,4
71,RT,Tristan,Wirfs,Tristan Wirfs,TB,15,0,10,1031,False,15,5,0,5,Tristan,Wirfs,2911.0,2909.0,5.0,Signed,99.0,0.0,0.0,TB,tier_0,9.699321047526674,TB,-3
73,RG,Robert,Hunt,Robert Hunt,JAX,11,0,2,786,False,11,16,0,5,Robert,Hunt,1256.0,1254.0,16.0,Signed,75.0,0.0,0.0,JAX,tier_4,2.544529262086514,JAX,-2
130,C,Bryce,Foster,Bryce Foster,NYG,10,0,2,665,False,10,15,0,5,Bryce,Foster,1466.0,1464.0,15.0,Signed,81.0,0.0,0.0,NYG,tier_3,3.0075187969924815,NYG,-1
133,LT,Walker,Little,Walker Little,PHI,13,0,14,743,False,13,12,0,5,Walker,Little,1615.0,1613.0,12.0,Signed,86.0,0.0,0.0,PHI,tier_2,18.842530282637956,PHI,-4
137,LT,Teven,Jenkins,Teven Jenkins,CHI,14,0,23,948,False,14,0,0,5,Teven,Jenkins,1350.0,1348.0,0.0,Signed,81.0,0.0,0.0,CHI,tier_3,24.261603375527425,CHI,-8
149,RG,Trai,Turner,Trai Turner,WAS,15,0,2,1012,False,15,25,0,5,Trai,Turner,2681.0,2679.0,25.0,Signed,79.0,0.0,0.0,WAS,tier_4,1.976284584980237,WAS,0
175,LT,Logan,Brown,Logan Brown,BAL,15,0,6,1036,False,15,24,0,5,Logan,Brown,3266.0,3264.0,24.0,Signed,84.0,0.0,0.0,BAL,tier_3,5.7915057915057915,BAL,8
184,RT,Mike,McGlinchey,Mike McGlinchey,MIA,15,0,17,1025,False,15,11,0,5,Mike,McGlinchey,1744.0,1742.0,11.0,Signed,75.0,0.0,0.0,MIA,tier_4,16.585365853658537,MIA,-7
191,RG,Ben,Bredeson,Ben Bredeson,MIA,15,0,4,1025,False,15,11,0,5,Ben,Bredeson,275.0,273.0,11.0,Signed,81.0,0.0,0.0,MIA,tier_3,3.902439024390244,MIA,-4
211,C,Denaris,DeRosa,Denaris DeRosa,WAS,13,0,2,703,False,13,25,0,5,Denaris,DeRosa,2979.0,2977.0,25.0,Signed,72.0,0.0,0.0,WAS,tier_5,2.8449502133712663,WAS,-1
218,RT,Andrew,Kristofic,Andrew Kristofic,GB,15,0,11,1056,False,15,19,0,5,Andrew,Kristofic,2728.0,2726.0,19.0,Signed,73.0,0.0,0.0,GB,tier_5,10.416666666666666,GB,-1
224,LT,Josh,Conerly Jr.,Josh Conerly Jr.,CAR,11,0,9,670,False,11,20,0,5,Josh,Conerly Jr.,2394.0,2392.0,20.0,Signed,74.0,0.0,0.0,CAR,tier_5,13.432835820895523,CAR,-2
225,C,Ben,Brown,Ben Brown,SEA,15,0,5,929,False,15,27,0,5,Ben,Brown,3452.0,3450.0,27.0,Signed,80.0,0.0,0.0,SEA,tier_3,5.382131324004306,SEA,-4
229,RT,Nicholas,Petit-Frere,Nicholas Petit-Frere,HOU,11,0,10,767,False,11,31,0,5,Nicholas,Petit-Frere,544.0,542.0,31.0,Signed,71.0,0.0,0.0,HOU,tier_5,13.03780964797914,HOU,-3
253,LG,Curtis,Dunlap Jr.,Curtis Dunlap Jr.,HOU,15,0,3,1068,False,15,31,0,5,Curtis,Dunlap Jr.,3271.0,3269.0,31.0,Signed,82.0,0.0,0.0,HOU,tier_3,2.8089887640449436,HOU,4
256,LG,Aaryn,Parks,Aaryn Parks,ATL,13,0,6,898,False,13,13,0,5,Aaryn,Parks,253.0,251.0,13.0,Signed,83.0,0.0,0.0,ATL,tier_3,6.6815144766147,ATL,-1
284,RT,Steven,Jones,Steven Jones,MIA,10,0,4,639,False,10,11,0,5,Steven,Jones,3109.0,3107.0,11.0,Signed,71.0,0.0,0.0,MIA,tier_5,6.259780907668231,MIA,4
299,RG,Emil,Ekiyor Jr.,Emil Ekiyor Jr.,SF,15,0,3,1139,False,15,14,0,5,Emil,Ekiyor Jr.,3411.0,3409.0,14.0,Signed,93.0,0.0,0.0,SF,tier_1,2.633889376646181,SF,-2
336,LT,Turner,Corcoran,Turner Corcoran,TB,15,0,17,1033,False,15,5,0,5,Turner,Corcoran,1332.0,1330.0,5.0,Signed,80.0,0.0,0.0,TB,tier_3,16.456921587608907,TB,-3
342,LT,Charles,Cross,Charles Cross,LV,12,0,15,860,False,12,22,0,5,Charles,Cross,3354.0,3352.0,22.0,Signed,79.0,0.0,0.0,LV,tier_4,17.441860465116278,LV,-4
390,RG,Shaq,Mason,Shaq Mason,SEA,15,0,3,1059,False,15,27,0,5,Shaq,Mason,1704.0,1702.0,27.0,Signed,81.0,0.0,0.0,SEA,tier_3,2.8328611898017,SEA,-1
415,LT,Cam,Robinson,Cam Robinson,SEA,15,0,14,995,False,15,27,0,5,Cam,Robinson,2245.0,2243.0,27.0,Signed,73.0,0.0,0.0,SEA,tier_5,14.07035175879397,SEA,-2
416,LG,Drew,Kendall,Drew Kendall,GB,15,0,9,1034,False,15,19,0,5,Drew,Kendall,1671.0,1669.0,19.0,Signed,72.0,0.0,0.0,GB,tier_5,8.704061895551257,GB,-3
463,LT,Laremy,Tunsil,Laremy Tunsil,HOU,15,0,8,1098,False,15,31,0,5,Laremy,Tunsil,2673.0,2671.0,31.0,Signed,88.0,0.0,0.0,HOU,tier_2,7.285974499089253,HOU,3
513,C,Jager,Burton,Jager Burton,SF,14,0,4,895,False,14,14,0,5,Jager,Burton,1300.0,1298.0,14.0,Signed,68.0,0.0,0.0,SF,tier_6,4.4692737430167595,SF,-2
533,RT,Kadyn,Proctor,Kadyn Proctor,WAS,13,0,8,803,False,13,25,0,5,Kadyn,Proctor,453.0,451.0,25.0,Signed,77.0,0.0,0.0,WAS,tier_4,9.962640099626402,WAS,-2
539,LG,Jamaree,Salyer,Jamaree Salyer,SF,10,0,1,691,False,10,14,0,5,Jamaree,Salyer,3382.0,3380.0,14.0,Signed,76.0,0.0,0.0,SF,tier_4,1.447178002894356,SF,9
544,LG,Mike,Onwenu,Mike Onwenu,NE,11,0,7,797,False,11,21,0,5,Mike,Onwenu,2007.0,2005.0,21.0,Signed,82.0,0.0,0.0,NE,tier_3,8.782936010037641,NE,-4
560,LG,Lucas,Taylor,Lucas Taylor,NYG,14,0,4,928,False,14,15,0,5,Lucas,Taylor,2958.0,2956.0,15.0,Signed,68.0,0.0,0.0,NYG,tier_6,4.310344827586206,NYG,1
575,RT,Austin,Deculus,Austin Deculus,PHI,13,0,7,606,False,14,12,0,5,Austin,Deculus,3479.0,3477.0,12.0,Signed,66.0,0.0,0.0,PHI,tier_6,11.55115511551155,PHI,0
626,LT,J.B.,Nelson,J.B. Nelson,NE,4,0,2,476,False,11,21,0,5,J.B.,Nelson,1001.0,999.0,21.0,Signed,67.0,0.0,0.0,NE,tier_6,4.201680672268908,NE,12
633,RT,Kelvin,Banks,Kelvin Banks,SEA,15,0,11,988,False,15,27,0,5,Kelvin,Banks,376.0,374.0,27.0,Signed,78.0,0.0,0.0,SEA,tier_4,11.133603238866396,SEA,-2
637,C,Rafiti,Ghirmai,Rafiti Ghirmai,HOU,15,0,4,1016,False,15,31,0,5,Rafiti,Ghirmai,3218.0,3216.0,31.0,Signed,76.0,0.0,0.0,HOU,tier_4,3.937007874015748,HOU,-3
695,LG,Zion,Johnson,Zion Johnson,TB,15,0,6,1115,False,15,5,0,5,Zion,Johnson,3433.0,3431.0,5.0,Signed,78.0,0.0,0.0,TB,tier_4,5.381165919282512,TB,-2
709,LG,Josh,Braun,Josh Braun,LAR,13,0,8,881,False,13,23,0,5,Josh,Braun,3280.0,3278.0,23.0,Signed,80.0,0.0,0.0,LAR,tier_3,9.080590238365494,LAR,-4
775,LG,Austin,Jackson,Austin Jackson,HOU,14,0,6,994,False,14,31,0,5,Austin,Jackson,1297.0,1295.0,31.0,Signed,87.0,0.0,0.0,HOU,tier_2,6.036217303822937,HOU,-1
806,LT,Zion,Nelson,Zion Nelson,NE,5,0,5,412,False,15,21,0,5,Zion,Nelson,3356.0,3354.0,21.0,Signed,73.0,0.0,0.0,NE,tier_5,12.135922330097086,NE,-2
810,LT,Kinglsey,Suamataia,Kinglsey Suamataia,LAR,15,0,10,1077,False,15,23,0,5,Kinglsey,Suamataia,1077.0,1075.0,23.0,Signed,73.0,0.0,0.0,LAR,tier_5,9.285051067780872,LAR,0
822,RT,Alec,Jackson,Alec Jackson,SF,12,0,12,871,False,12,14,0,5,Alec,Jackson,3487.0,3485.0,14.0,Signed,69.0,0.0,0.0,SF,tier_6,13.777267508610791,SF,-2
881,C,Dohnovan,West,Dohnovan West,GB,15,0,5,1115,False,15,19,0,5,Dohnovan,West,3289.0,3287.0,19.0,Signed,71.0,0.0,0.0,GB,tier_5,4.484304932735426,GB,-3
923,RT,Bryce,Benhart,Bryce Benhart,ATL,13,0,16,898,False,13,13,0,5,Bryce,Benhart,3660.0,3658.0,13.0,Signed,72.0,0.0,0.0,ATL,tier_5,17.817371937639198,ATL,-6
953,RT,Warren,McClendon,Warren McClendon,SF,12,0,16,874,False,12,14,0,5,Warren,McClendon,3302.0,3300.0,14.0,Signed,82.0,0.0,0.0,SF,tier_3,18.30663615560641,SF,-8
1085,LT,Andrew,Thomas,Andrew Thomas,WAS,15,0,15,951,False,15,25,0,5,Andrew,Thomas,2599.0,2597.0,25.0,Signed,80.0,0.0,0.0,WAS,tier_3,15.772870662460567,WAS,-3
1120,C,Michael,Jurgens,Michael Jurgens,TB,12,0,1,826,False,13,5,0,5,Michael,Jurgens,3123.0,3121.0,5.0,Signed,65.0,0.0,0.0,TB,tier_6,1.2106537530266344,TB,4
1239,RT,Jawaan,Taylor,Jawaan Taylor,JAX,15,0,10,1049,False,15,16,0,5,Jawaan,Taylor,2571.0,2569.0,16.0,Signed,83.0,0.0,0.0,JAX,tier_3,9.532888465204957,JAX,-1
1248,LG,Tyre,Phillips,Tyre Phillips,BAL,15,0,2,1054,False,15,24,0,5,Tyre,Phillips,2097.0,2095.0,24.0,Signed,81.0,0.0,0.0,BAL,tier_3,1.8975332068311195,BAL,4
1283,RG,Donovan,Jackson,Donovan Jackson,NE,15,0,3,1038,False,15,21,0,5,Donovan,Jackson,2372.0,2370.0,21.0,Signed,78.0,0.0,0.0,NE,tier_4,2.890173410404624,NE,-2
1415,LG,Ed,Ingram,Ed Ingram,ARI,14,0,11,1071,False,14,6,0,5,Ed,Ingram,3500.0,3498.0,6.0,Signed,76.0,0.0,0.0,ARI,tier_4,10.27077497665733,ARI,-7
1418,RG,Alex,Leatherwood,Alex Leatherwood,ARI,15,0,4,1067,False,15,6,0,5,Alex,Leatherwood,1569.0,1567.0,6.0,Signed,77.0,0.0,0.0,ARI,tier_4,3.7488284910965324,ARI,-3
1419,LT,Dan,Moore Jr,Dan Moore Jr,ARI,12,0,8,848,False,12,6,0,5,Dan,Moore Jr,1849.0,1847.0,6.0,Signed,68.0,0.0,0.0,ARI,tier_6,9.433962264150942,ARI,0
