Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPerGame,ScrimmageTDsPerGame,TeamName_y,SkillPointOff
18,HB,Chris,Smith,Chris Smith,DAL,595,0,2,94,37,10,445,31,True,0,181,0,0,9,0,2,5,45,0,4,0,0,0,0,1,12,8,4,10,5,Chris,Smith,3065.0,3063.0,10.0,Signed,64.0,0.0,0.0,DAL,tier_6,52.666666666666664,0.5,DAL,5.0
493,HB,Gavin,Sawchuk,Gavin Sawchuk,ATL,96,0,1,4,139,21,277,116,True,0,32,0,0,21,0,0,5,7,0,3,0,0,0,0,1,14,5,0,13,0,Gavin,Sawchuk,3553.0,3551.0,13.0,Signed,69.0,0.0,0.0,ATL,tier_6,16.785714285714285,0.07142857142857142,ATL,0.0
1500,HB,Tavorus,Jones,Tavorus Jones,MIN,45,0,0,0,59,16,178,44,True,0,15,0,0,8,0,0,5,4,0,0,0,0,0,0,0,13,3,0,30,0,Tavorus,Jones,1309.0,1307.0,30.0,Signed,64.0,0.0,0.0,MIN,tier_6,8.0,0.0,MIN,0.0
1764,WR,Kadarius,Toney,Kadarius Toney,NYG,0,-16384,0,-4096,813,-128,791,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,6,15,0,0,15,0,Kadarius,Toney,2645.0,2643.0,15.0,Signed,83.0,0.0,0.0,NYG,tier_3,54.2,0.4,NYG,-1.0
1768,WR,Deion,Smith,Deion Smith,NYG,0,-16384,0,-4096,664,-128,674,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,5,11,0,0,15,0,Deion,Smith,683.0,681.0,15.0,Signed,90.0,0.0,0.0,NYG,tier_1,60.36363636363637,0.45454545454545453,NYG,-1.0
1769,WR,Andre,Greene Jr,Andre Greene Jr,IND,0,-16384,0,-4096,880,-128,948,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,8,15,0,0,9,0,Andre,Greene Jr,55.0,53.0,9.0,Signed,83.0,0.0,0.0,IND,tier_3,58.666666666666664,0.5333333333333333,IND,3.0
1770,HB,Irvin,Mulligan,Irvin Mulligan,SEA,55,-16384,0,-4096,14,-128,131,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,0,13,0,1,27,1,Irvin,Mulligan,3690.0,3688.0,27.0,Signed,63.0,0.0,0.0,SEA,tier_6,5.3076923076923075,0.07692307692307693,SEA,0.0
1771,WR,Lavel,Davis Jr.,Lavel Davis Jr.,PHI,0,-16384,0,-4096,484,-128,676,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,5,13,0,0,12,0,Lavel,Davis Jr.,1507.0,1505.0,12.0,Signed,72.0,0.0,0.0,PHI,tier_5,37.23076923076923,0.38461538461538464,PHI,4.0
1773,WR,Xavier,Worthy,Xavier Worthy,CAR,5,-16384,0,-4096,630,-128,646,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,6,12,0,0,20,0,Xavier,Worthy,1652.0,1650.0,20.0,Signed,78.0,0.0,0.0,CAR,tier_4,52.916666666666664,0.5,CAR,3.0
1774,WR,Marcus,Cooper,Marcus Cooper,SF,0,-16384,0,-4096,0,-128,168,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,0,15,0,0,14,0,Marcus,Cooper,1492.0,1490.0,14.0,Signed,61.0,0.0,0.0,SF,tier_6,0.0,0.0,SF,0.0
1775,HB,Mohamed,Ibrahim,Mohamed Ibrahim,CAR,876,-16384,0,-4096,90,-128,347,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,2,14,0,0,20,3,Mohamed,Ibrahim,3464.0,3462.0,20.0,Signed,89.0,0.0,0.0,CAR,tier_2,69.0,0.35714285714285715,CAR,-2.0
1777,WR,Joseph,Ngata,Joseph Ngata,MIA,0,-16384,0,-4096,775,-128,748,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,1,14,0,0,11,0,Joseph,Ngata,3230.0,3228.0,11.0,Signed,75.0,0.0,0.0,MIA,tier_4,55.357142857142854,0.07142857142857142,MIA,-2.0
1778,WR,Troy,Omerie,Troy Omerie,JAX,-1,-16384,0,-4096,556,-128,661,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,3,15,0,0,16,0,Troy,Omerie,2832.0,2830.0,16.0,Signed,65.0,0.0,0.0,JAX,tier_6,37.0,0.2,JAX,1.0
1779,WR,Hunter,Renfrow,Hunter Renfrow,ARI,3,-16384,0,-4096,524,-128,570,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,2,15,0,0,6,0,Hunter,Renfrow,2200.0,2198.0,6.0,Signed,83.0,0.0,0.0,ARI,tier_3,35.13333333333333,0.13333333333333333,ARI,-4.0
1780,WR,Mookie,Cooper,Mookie Cooper,IND,0,-16384,0,-4096,0,-128,152,-4096,False,0,0,0,0,0,0,0,5,-128,-128,0,0,0,0,0,0,15,0,0,9,0,Mookie,Cooper,1036.0,1034.0,9.0,Signed,73.0,0.0,0.0,IND,tier_5,0.0,0.0,IND,-2.0
