FullName,Position,TeamName,SkillPointOL
Aaron Banks,RG,GB,-1
Aaryn Parks,LG,ATL,-1
Alec Jackson,RT,SF,-2
Alex Leatherwood,RG,ARI,-3
Ali Marpet,LG,LV,-1
Alijah Vera-Tucker,LG,NYJ,-1
Amarius Mims,RT,PIT,-2
Andre James,C,DEN,0
Andrew Kristofic,RT,GB,-1
Andrew Thomas,LT,WAS,-3
Asim Richards,RG,LV,4
Austin Corbett,RG,PIT,0
Austin Deculus,RT,PHI,0
Austin Jackson,LG,HOU,-1
Beaux Limmer,LG,CAR,-1
Ben Bredeson,RG,MIA,-4
Ben Brown,C,SEA,-4
Ben Cleveland,RG,LAC,1
Ben Powers,LG,WAS,1
Braden Smith,RT,IND,6
Braeden Daniels,RG,CHI,3
Brian Allen,C,LAC,9
Brian O'Neill,RT,MIN,-2
Broderick Jones,LT,JAX,9
Bryce Benhart,RT,ATL,-6
Bryce Foster,C,NYG,-1
Cade Mays,RG,NYJ,-1
Caedan Wallace,RT,NYJ,-2
Cam Robinson,LT,SEA,-2
Cameron Jurgens,C,JAX,1
Cesar Ruiz,RG,NO,8
Charles Cross,LT,LV,-4
Chris Lindstrom,RG,ATL,3
Christian Darrisaw,LT,MIN,4
Cody Ince,LG,CIN,8
Colin Newell,C,BAL,-2
Connor Williams,LG,CIN,8
Courtland Ford,RT,NO,-5
Creed Humphrey,C,KC,-2
Curtis Dunlap Jr.,LG,HOU,4
Dalton Risner,LG,NO,-1
Damien Lewis,LG,SEA,-2
Dan Becker,LT,LAR,0
Dan Moore Jr,LT,ARI,0
Darian Kinnard,LG,LAC,-2
Darrian Dalcourt,C,CIN,0
David Andrews,C,NE,1
Denaris DeRosa,C,WAS,-1
Devon Campbell,RG,CAR,0
Dion Dawkins,LT,CLE,0
Dohnovan West,C,GB,-3
Donovan Jackson,RG,NE,-2
Drake Metcalf,C,NYJ,-2
Drew Kendall,LG,GB,-3
Dylan Parham,RG,TB,1
Ed Ingram,LG,ARI,-7
Elgton Jenkins,LG,PHI,-1
Emil Ekiyor Jr.,RG,SF,-2
Erik McCoy,C,NO,1
Ethan Pocic,C,BUF,1
Evan Neal,RT,NYG,-2
