Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
108,CB,Paulson,Adebo,Paulson Adebo,NO,True,0,0,348,0,2,13,17,0,6,5,0,0,0,0,0,8,0,26,0,0,0,0,14,4,Paulson,Adebo,17.0,15.0,26.0,Signed,73.0,1.0,0.0,NO,tier_5,0.0,0.0,22.988505747126435,54.59770114942529,22.988505747126435,1.4367816091954022,-0.21428571428571427,NO,3
111,CB,Kayin,Lee,Kayin Lee,JAX,True,0,87,997,0,27,43,57,0,6,29,32,0,5,0,0,7,0,16,0,0,0,0,15,15,Kayin,Lee,270.0,268.0,16.0,Signed,78.0,0.0,0.0,JAX,tier_4,0.0,5.015045135406218,7.021063189568706,84.25275827482449,7.021063189568706,2.908726178535607,1.4666666666666666,JAX,-1
120,ROLB,Mikai,Gbayor,Mikai Gbayor,JAX,True,0,0,423,0,4,5,8,0,6,0,0,0,0,0,0,0,0,16,1,1,0,0,15,3,Mikai,Gbayor,104.0,102.0,16.0,Signed,59.0,0.0,0.0,JAX,tier_6,2.3640661938534278,2.3640661938534278,2.3640661938534278,28.368794326241133,0.0,0.0,0.0,JAX,-1
155,DT,Kenny,Clark,Kenny Clark,JAX,True,18,0,729,1,15,25,30,1,6,0,0,1,0,0,0,3,0,16,7,1,5,0,12,12,Kenny,Clark,464.0,462.0,16.0,Signed,78.0,4.0,0.0,JAX,tier_4,16.46090534979424,4.11522633744856,20.5761316872428,61.72839506172839,4.11522633744856,0.0,-0.25,JAX,0
164,CB,Trayvon,Mullen Jr,Trayvon Mullen Jr,JAX,True,0,50,937,0,20,36,47,0,6,35,34,0,2,1,0,17,0,16,0,0,0,0,15,15,Trayvon,Mullen Jr,1888.0,1886.0,16.0,Signed,80.0,0.0,0.0,JAX,tier_3,0.0,3.2017075773746,18.14300960512273,71.50480256136606,18.14300960512273,3.7353255069370332,1.2,JAX,0
179,DT,Gabriel,Brownlow-Dindy,Gabriel Brownlow-Dindy,JAX,True,0,0,307,0,10,8,12,0,6,0,0,0,0,0,0,0,0,16,5,0,1,0,13,3,Gabriel,Brownlow-Dindy,1872.0,1870.0,16.0,Signed,71.0,0.0,4.0,JAX,tier_5,19.543973941368076,0.0,19.543973941368076,71.6612377850163,0.0,0.0,0.0,JAX,-1
194,SS,Chance,Biddle,Chance Biddle,JAX,True,0,0,1067,0,35,44,57,1,6,23,0,0,0,0,0,5,0,16,0,1,0,0,15,15,Chance,Biddle,1106.0,1104.0,16.0,Signed,84.0,1.0,0.0,JAX,tier_3,0.0,0.9372071227741331,4.686035613870665,86.22305529522025,4.686035613870665,2.1555763823805063,1.2,JAX,-2
196,LE,Cade,Denhoff,Cade Denhoff,JAX,True,21,0,909,1,13,35,38,0,6,1,0,0,0,0,0,0,0,16,10,1,2,0,15,15,Cade,Denhoff,171.0,169.0,16.0,Signed,84.0,0.0,3.0,JAX,tier_3,13.201320132013201,2.2002200220022,13.201320132013201,56.1056105610561,0.0,0.11001100110011,0.06666666666666667,JAX,-5
202,CB,Jaylin,Simpson,Jaylin Simpson,JAX,True,0,67,478,0,4,6,9,0,6,4,43,0,2,0,0,2,0,16,0,0,0,0,15,3,Jaylin,Simpson,745.0,743.0,16.0,Signed,74.0,1.0,0.0,JAX,tier_5,0.0,4.184100418410042,4.184100418410042,27.196652719665273,4.184100418410042,0.8368200836820083,0.13333333333333333,JAX,2
203,LE,Tuli,Tuipulotu,Tuli Tuipulotu,JAX,True,0,0,317,0,5,9,16,0,6,0,0,0,0,0,0,0,0,16,6,0,0,0,14,7,Tuli,Tuipulotu,2986.0,2984.0,16.0,Signed,70.0,0.0,4.0,JAX,tier_5,18.92744479495268,0.0,18.92744479495268,66.24605678233439,0.0,0.0,0.0,JAX,-1
