Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
14,HB,Chris,Rodriguez Jr,Chris Rodriguez Jr,NE,188,0,0,63,16,16,154,5,True,0,40,0,0,1,0,2,6,24,0,4,0,0,0,0,0,11,3,1,21,2,Chris,Rodriguez Jr,3256.0,3254.0,21.0,Signed,69.0,0.0,0.0,NE,tier_6,1324.6753246753246,0.18181818181818182,12.987012987012989,NE,2.0
22,TE,Kyle,Pitts,Kyle Pitts,ATL,0,0,0,0,946,47,1037,434,True,0,0,0,0,73,0,0,6,0,0,5,0,0,0,0,8,15,15,0,13,0,Kyle,Pitts,2113.0,2111.0,13.0,Signed,94.0,4.0,0.0,ATL,tier_1,912.2468659594986,0.5333333333333333,7.714561234329798,ATL,3.0
39,QB,Patrick,Mahomes,Patrick Mahomes,KC,190,3252,0,49,0,0,790,0,True,276,46,440,11,0,0,1,6,53,43,2,0,0,15,25,0,12,12,6,8,1,Patrick,Mahomes,1676.0,1674.0,8.0,Signed,95.0,0.0,1.0,KC,tier_0,240.50632911392407,0.08333333333333333,1.2658227848101267,,
41,WR,Jaylen,Waddle,Jaylen Waddle,MIA,0,0,0,0,1054,27,903,343,True,0,0,0,0,77,0,0,6,0,0,2,0,0,0,0,5,15,15,0,11,0,Jaylen,Waddle,2718.0,2716.0,11.0,Signed,90.0,1.0,0.0,MIA,tier_1,1167.220376522702,0.3333333333333333,5.537098560354375,MIA,-2.0
44,WR,Jahan,Dotson,Jahan Dotson,PHI,0,0,7,0,731,45,667,329,True,0,0,0,0,49,0,0,6,0,0,1,0,0,0,0,2,15,15,1,12,0,Jahan,Dotson,3426.0,3424.0,12.0,Signed,71.0,1.0,0.0,PHI,tier_5,1095.952023988006,0.13333333333333333,2.998500749625187,PHI,3.0
45,WR,Jacorey,Brooks,Jacorey Brooks,TEN,1,0,0,0,581,59,668,214,True,0,2,0,0,41,0,0,6,3,0,0,0,0,0,0,1,12,12,0,29,0,Jacorey,Brooks,2530.0,2528.0,29.0,Signed,77.0,0.0,4.0,TEN,tier_4,871.2574850299402,0.08333333333333333,1.4970059880239521,TEN,-4.0
50,HB,Roderick,Robinson II,Roderick Robinson II,TEN,371,5,0,193,37,13,471,45,True,1,70,1,0,8,0,4,6,68,5,6,0,0,0,0,0,15,4,0,29,5,Roderick,Robinson II,2597.0,2595.0,29.0,Signed,74.0,2.0,0.0,TEN,tier_5,866.2420382165606,0.3333333333333333,10.615711252653927,TEN,0.0
61,TE,Taylor,Thompson,Taylor Thompson,TEN,3,0,0,0,43,18,465,20,True,0,1,0,0,5,0,0,6,3,0,0,0,0,0,0,0,15,4,0,29,0,Taylor,Thompson,651.0,649.0,29.0,Signed,68.0,0.0,0.0,TEN,tier_6,98.9247311827957,0.0,0.0,TEN,-2.0
69,QB,Caleb,Williams,Caleb Williams,TEN,379,3151,0,167,0,0,892,0,True,256,62,424,13,0,0,3,6,62,70,7,0,0,19,17,0,14,14,2,29,2,Caleb,Williams,328.0,326.0,29.0,Signed,97.0,0.0,7.0,TEN,tier_0,424.88789237668163,0.14285714285714285,2.242152466367713,,
71,WR,Amarion,Brown,Amarion Brown,TEN,0,0,0,0,187,27,228,56,True,0,0,0,0,12,0,0,6,0,0,0,0,0,0,0,1,12,3,0,29,0,Amarion,Brown,2967.0,2965.0,29.0,Signed,71.0,0.0,2.0,TEN,tier_5,820.1754385964912,0.08333333333333333,4.385964912280701,TEN,2.0
72,WR,Treylon,Burks,Treylon Burks,TEN,4,0,0,0,1240,64,952,448,True,0,1,0,0,81,0,0,6,4,0,0,0,0,0,0,8,15,15,0,29,0,Treylon,Burks,3329.0,3327.0,29.0,Signed,94.0,2.0,0.0,TEN,tier_1,1306.7226890756303,0.5333333333333333,8.403361344537815,TEN,1.0
73,TE,Briley,Moore,Briley Moore,TEN,0,0,6,0,393,31,1032,209,True,0,0,0,0,34,0,0,6,0,0,2,0,0,0,0,3,15,15,0,29,0,Briley,Moore,1851.0,1849.0,29.0,Signed,70.0,1.0,0.0,TEN,tier_5,380.8139534883721,0.2,2.9069767441860463,TEN,0.0
81,QB,Dak,Prescott,Dak Prescott,IND,197,4031,0,60,0,0,957,0,True,339,47,558,16,0,0,1,6,61,30,2,0,0,27,22,0,15,15,7,9,2,Dak,Prescott,2130.0,2128.0,9.0,Signed,75.0,0.0,0.0,IND,tier_4,205.8516196447231,0.13333333333333333,2.0898641588296765,,
86,TE,AJ,Barner,AJ Barner,NE,0,0,1,0,836,31,1088,377,True,0,0,0,0,68,0,0,6,0,0,3,0,0,0,0,5,15,15,0,21,0,AJ,Barner,2554.0,2552.0,21.0,Signed,89.0,1.0,0.0,NE,tier_2,768.3823529411765,0.3333333333333333,4.595588235294118,NE,1.0
87,WR,Mecole,Hardman,Mecole Hardman,NE,19,0,2,0,761,70,900,281,True,0,6,0,0,54,0,0,6,4,0,0,0,0,0,0,6,15,15,1,21,0,Mecole,Hardman,1067.0,1065.0,21.0,Signed,82.0,0.0,1.0,NE,tier_3,866.6666666666667,0.4,6.666666666666667,NE,0.0
88,HB,Isaiah,Spiller,Isaiah Spiller,NE,772,0,0,311,296,21,658,246,True,0,189,0,0,40,0,8,6,66,0,13,0,0,0,0,1,12,12,0,21,4,Isaiah,Spiller,3349.0,3347.0,21.0,Signed,81.0,1.0,0.0,NE,tier_3,1623.1003039513678,0.4166666666666667,7.598784194528876,NE,1.0
98,HB,Marquese,Williams,Marquese Williams,CHI,251,0,0,76,81,17,203,62,True,0,59,0,0,11,0,2,6,41,0,3,0,0,0,0,2,11,3,0,0,3,Marquese,Williams,2331.0,2329.0,0.0,Signed,78.0,0.0,0.0,CHI,tier_4,1635.4679802955666,0.45454545454545453,24.630541871921185,CHI,2.0
101,WR,Chase,Lane,Chase Lane,CHI,0,0,0,0,720,30,702,273,True,0,0,0,0,55,0,0,6,0,0,0,0,0,0,0,2,12,12,0,0,0,Chase,Lane,978.0,976.0,0.0,Signed,80.0,0.0,2.0,CHI,tier_3,1025.6410256410256,0.16666666666666666,2.849002849002849,CHI,0.0
106,WR,Justyn,Ross,Justyn Ross,CHI,2,0,2,0,953,30,904,371,True,0,2,0,0,75,0,0,6,3,0,0,0,0,0,0,12,15,15,0,0,0,Justyn,Ross,3374.0,3372.0,0.0,Signed,76.0,7.0,0.0,CHI,tier_4,1056.4159292035397,0.8,13.274336283185841,CHI,5.0
