Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
4,MLB,Jaydon,Hood,Jaydon Hood,BUF,TRUE,6,58,1011,1,39,61,78,0,8,36,28,0,5,0,0,19,0,2,2,2,2,0,15,15,Jaydon,Hood,132,130,4,2,Signed,86,0,0,BUF,tier_2,3.956478734,7.912957468,22.74975272,115.727003,18.79327399,3.560830861,1.133333333,BUF,5
14,FS,Terrion,Arnold,Terrion Arnold,ARI,TRUE,0,0,551,0,12,13,21,0,8,10,0,0,0,0,0,1,0,6,0,0,0,0,15,5,Terrion,Arnold,2022,2020,4,6,Signed,67,0,0,ARI,tier_6,0,0,1.814882033,59.89110708,1.814882033,1.814882033,0.6,ARI,-4
44,SS,Andrew,Mukuba,Andrew Mukuba,SEA,TRUE,4,0,526,1,9,24,37,0,8,23,0,0,0,0,0,2,0,27,0,2,0,0,15,6,Andrew,Mukuba,547,545,4,27,Signed,70,0,0,SEA,tier_5,0,5.703422053,3.802281369,87.45247148,3.802281369,4.372623574,1.4,SEA,5
45,RE,Briceon,Hayes,Briceon Hayes,SF,TRUE,0,0,492,0,8,14,18,0,8,1,0,0,0,0,0,0,0,14,5,0,4,0,10,10,Briceon,Hayes,1650,1648,5,14,Signed,75,0,0,SF,tier_4,18.29268293,0,18.29268293,52.84552846,0,0.203252033,0.1,SF,-2
48,DT,Quindarius,Graham,Quindarius Graham,KC,TRUE,9,0,802,1,12,19,29,0,8,0,0,0,0,0,0,0,0,8,13,1,2,0,15,0,Quindarius,Graham,832,830,1,8,Signed,71,0,0,KC,tier_5,18.7032419,2.493765586,18.7032419,51.12219451,0,0,0,KC,0
76,DT,Travis,Shaw,Travis Shaw,CLE,TRUE,18,0,803,1,18,36,37,0,8,0,0,1,0,0,0,0,0,4,13,1,6,1,12,12,Travis,Shaw,1513,1511,4,4,Signed,89,0,0,CLE,tier_2,23.66127024,4.98132005,23.66127024,68.49315068,0,0,0,CLE,2
77,CB,Malik,Muhammad,Malik Muhammad,PIT,TRUE,0,0,1010,0,17,32,44,0,8,20,0,0,0,0,0,4,0,28,1,0,0,0,15,0,Malik,Muhammad,1442,1440,2,28,Signed,71,0,0,PIT,tier_5,0.99009901,0,4.95049505,60.3960396,3.96039604,1.98019802,1.066666667,PIT,-3
85,MLB,Mario,Sampson,Mario Sampson,WAS,TRUE,0,0,401,0,10,13,23,0,8,7,0,0,0,0,0,0,0,25,0,0,0,0,15,2,Mario,Sampson,1632,1630,0,25,Signed,66,0,0,WAS,tier_6,0,0,0,82.29426434,0,1.74563591,0.466666667,WAS,-2
90,DT,DeMarvin,Leal,DeMarvin Leal,SF,TRUE,15,0,362,1,9,10,16,1,8,1,0,0,0,0,0,0,0,14,5,1,2,0,15,1,DeMarvin,Leal,3308,3306,7,14,Signed,72,0,0,SF,tier_5,19.33701657,5.524861878,19.33701657,69.06077348,0,0.276243094,0.066666667,SF,4
101,FS,Dalton,Brooks,Dalton Brooks,HOU,TRUE,0,0,1121,0,32,35,42,0,8,19,0,0,0,0,0,6,0,31,0,0,0,0,15,15,Dalton,Brooks,1739,1737,3,31,Signed,89,0,0,HOU,tier_2,0,0,5.352363961,66.01248885,5.352363961,1.694915254,0.866666667,HOU,-3
104,CB,Cole,Martin,Cole Martin,LAR,TRUE,0,8,619,0,10,19,29,0,8,15,8,0,1,0,0,8,0,23,0,0,0,0,15,1,Cole,Martin,1874,1872,2,23,Signed,72,0,0,LAR,tier_5,0,1.615508885,12.92407108,63.00484653,12.92407108,2.423263328,0.466666667,LAR,0
115,MLB,Nik,Bonitto,Nik Bonitto,PHI,TRUE,0,0,738,0,59,0,61,0,8,0,0,0,0,0,0,6,0,12,15,1,9,0,15,15,Nik,Bonitto,3323,3321,7,12,Signed,98,0,0,PHI,tier_0,32.5203252,1.35501355,40.6504065,162.601626,8.130081301,0,-0.4,PHI,1
117,ROLB,Chris,Braswell,Chris Braswell,PHI,TRUE,0,0,690,0,12,0,21,1,8,0,0,0,0,0,0,0,0,12,3,1,11,0,15,15,Chris,Braswell,2439,2437,5,12,Signed,85,0,0,PHI,tier_2,20.28985507,1.449275362,20.28985507,47.82608696,0,0,0,PHI,-2
124,MLB,Jaiden,Ausberry,Jaiden Ausberry,HOU,TRUE,0,0,416,0,12,14,30,0,8,10,0,0,0,0,0,2,0,31,4,0,2,0,15,0,Jaiden,Ausberry,2755,2753,3,31,Signed,67,0,0,HOU,tier_6,14.42307692,0,19.23076923,100.9615385,4.807692308,2.403846154,0.533333333,HOU,5
131,FS,Jaylon,King,Jaylon King,PIT,TRUE,0,18,1131,0,32,29,41,0,8,22,18,0,1,1,0,5,0,28,2,1,0,0,15,15,Jaylon,King,1315,1313,6,28,Signed,84,0,0,PIT,tier_3,1.768346596,2.652519894,6.189213086,64.54465075,4.42086649,1.945181256,1.133333333,PIT,0
158,SS,Jalen,Catalon,Jalen Catalon,BAL,TRUE,0,0,989,0,25,38,50,0,8,30,0,0,0,0,0,14,0,24,0,0,0,0,15,15,Jalen,Catalon,3303,3301,6,24,Signed,77,0,0,BAL,tier_4,0,0,14.15571284,75.83417594,14.15571284,3.033367037,1.066666667,BAL,2
160,MLB,Trey,McDonald,Trey McDonald,CIN,TRUE,0,0,981,0,36,59,77,1,8,38,0,0,0,0,0,8,0,1,1,0,1,0,15,15,Trey,McDonald,1555,1553,2,1,Signed,74,0,0,CIN,tier_5,2.038735984,0,10.19367992,115.1885831,8.154943935,3.873598369,2,CIN,2
161,SS,Keshawn,Snow,Keshawn Snow,TB,TRUE,0,5,1131,0,31,27,42,0,8,32,5,0,2,0,0,5,0,5,0,0,2,0,15,15,Keshawn,Snow,681,679,1,5,Signed,69,0,0,TB,tier_6,1.768346596,1.768346596,6.189213086,64.54465075,4.42086649,2.829354553,1.8,TB,-3
174,LOLB,Brandon,Smith,Brandon Smith,MIA,TRUE,0,0,533,0,12,24,27,0,8,16,0,0,0,0,0,2,0,11,1,0,1,0,12,0,Brandon,Smith,3403,3401,7,11,Signed,71,0,0,MIA,tier_5,3.752345216,0,7.504690432,73.17073171,3.752345216,3.001876173,1.166666667,MIA,0
182,DT,Haskell,Garrett,Haskell Garrett,ARI,TRUE,0,0,744,0,12,29,42,1,8,1,0,0,0,0,0,0,0,6,15,0,7,0,15,1,Haskell,Garrett,3376,3374,7,6,Signed,74,0,0,ARI,tier_5,29.56989247,0,29.56989247,72.58064516,0,0.134408602,0.066666667,ARI,2
184,CB,Daylen,Everette,Daylen Everette,BUF,TRUE,0,80,992,0,15,33,46,1,8,24,40,0,3,0,0,6,0,2,0,0,0,0,15,5,Daylen,Everette,302,300,4,2,Signed,79,0,0,BUF,tier_4,0,3.024193548,6.048387097,61.49193548,6.048387097,2.419354839,1.2,BUF,-2
215,MLB,Shane,Lee,Shane Lee,SEA,TRUE,0,9,1021,0,36,65,76,0,8,41,9,0,1,0,0,10,0,27,1,0,1,0,15,15,Shane,Lee,3300,3298,6,27,Signed,90,0,0,SEA,tier_1,1.958863859,0.979431929,11.75318315,109.6963761,9.794319295,4.015670911,2.066666667,SEA,-3
243,CB,Tiawan,Mullen,Tiawan Mullen,BUF,TRUE,0,50,990,0,32,31,41,0,8,23,27,0,2,0,0,9,0,2,0,0,0,0,15,15,Tiawan,Mullen,3395,3393,7,2,Signed,82,0,0,BUF,tier_3,0,2.02020202,9.090909091,73.73737374,9.090909091,2.323232323,0.933333333,BUF,-1
252,RE,Floyd,Thompson,Floyd Thompson,DET,TRUE,0,0,423,0,9,9,22,1,8,0,0,0,0,0,0,1,0,18,6,0,3,0,14,6,Floyd,Thompson,1526,1524,1,18,Signed,67,0,0,DET,tier_6,21.27659574,0,23.64066194,73.28605201,2.364066194,0,-0.071428571,DET,2
254,LOLB,P.J.,Rainey,P.J. Rainey,DET,TRUE,0,0,546,0,8,16,20,0,8,17,0,0,0,0,0,0,0,18,1,0,0,0,15,5,P.J.,Rainey,803,801,1,18,Signed,66,0,0,DET,tier_6,1.831501832,0,1.831501832,51.28205128,0,3.113553114,1.133333333,DET,-1
261,CB,Jaden,Bagley,Jaden Bagley,CIN,TRUE,0,10,576,0,9,23,30,1,8,19,10,0,1,0,0,8,0,1,0,0,0,0,15,0,Jaden,Bagley,2589,2587,0,1,Signed,77,0,0,CIN,tier_4,0,1.736111111,13.88888889,67.70833333,13.88888889,3.298611111,0.733333333,CIN,1
275,MLB,Donovan,Hilliard,Donovan Hilliard,CAR,TRUE,0,0,758,0,26,31,48,1,8,27,0,0,0,0,0,2,0,20,2,0,2,0,14,0,Donovan,Hilliard,1148,1146,1,20,Signed,71,0,0,CAR,tier_5,5.277044855,0,7.915567282,97.62532982,2.638522427,3.562005277,1.785714286,CAR,-2
299,LOLB,Henry,To'o To'o,Henry To'o To'o,CLE,TRUE,43,0,1114,2,36,48,55,0,8,14,0,0,0,0,0,2,0,4,10,2,8,1,15,15,Henry,To'o To'o,3386,3384,7,4,Signed,85,0,0,CLE,tier_2,16.15798923,4.488330341,17.95332136,81.68761221,1.795332136,1.256732496,0.8,CLE,1
339,DT,James,Smith,James Smith,TB,TRUE,0,0,811,0,15,37,42,0,8,0,0,0,0,0,0,0,0,5,12,0,6,0,14,14,James,Smith,2324,2322,3,5,Signed,87,0,0,TB,tier_2,22.19482121,0,22.19482121,70.28360049,0,0,0,TB,-2
