Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,RatingTier,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatValue,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,StatTier,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,SkillPoint,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatHigh,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow,StatLow
CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt,CBCatchAllowPer100Snaps,CBPassDeflPerGame,DLSacksAndTFLPerGame,EPPercentage,FGPercentage,LBSacksTFLPassDeflPerGame,NetYardsToPuntYards,Over40YardPercentage,PuntTBPerIn20,RUSHFUMBLES,SacksPer1000Snaps,SafetiesCatchAllowMinusPDPerGame,ScrimmageTDsPerGame,ScrimmageYardsPerGame,TacklesPerGame,TotalTurnovers,YardsPerPunt
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,100-250,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,100,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,80-99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,-2.0,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,80,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,60-79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-5.0,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,60,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,40-59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,20-39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0-20,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-15.0,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1-5,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.80-0.99,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,,0.80,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.60-0.79,,,,,,,,,,,,,,,,,tier_2,,,,,,,,,,,,,,,,,-3.0,,,,,,,,,,,,,,,,,0.79,,,,,,,,,,,,,,,,,0.60,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.40-0.59,,,,,,,,,,,,,,,,,tier_3,,,,,,,,,,,,,,,,,-4.0,,,,,,,,,,,,,,,,,0.59,,,,,,,,,,,,,,,,,0.40,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.20-0.39,,,,,,,,,,,,,,,,,tier_4,,,,,,,,,,,,,,,,,-6.0,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,0.20,,,,
,,,,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0.00-0.19,,,,,,,,,,,,,,,,,tier_5,,,,,,,,,,,,,,,,,-8.0,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,0.00,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,RB,,,,,,,,,,,,,,,,,tier_0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,tier_1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
