Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
34,LT,Trent,Williams,Trent Williams,SF,15,0,8,1085,False,15,14,0,1,Trent,Williams,2867.0,2865.0,12.0,14.0,Signed,98.0,0.0,0.0,SF,tier_0,7.373271889400922,SF,1
41,RT,Billy,Turner,Billy Turner,DEN,15,0,5,1110,False,15,3,0,1,Billy,Turner,2676.0,2674.0,8.0,3.0,Signed,73.0,0.0,0.0,DEN,tier_5,4.504504504504505,DEN,10
52,LG,Dalton,Risner,Dalton Risner,DEN,15,0,11,1088,False,15,3,0,1,Dalton,Risner,2226.0,2224.0,3.0,3.0,Signed,79.0,0.0,0.0,DEN,tier_4,10.11029411764706,DEN,-7
61,RG,Graham,Glasgow,Graham Glasgow,DEN,15,0,2,1119,False,15,3,0,1,Graham,Glasgow,949.0,947.0,6.0,3.0,Signed,77.0,0.0,0.0,DEN,tier_4,1.7873100983020553,DEN,-2
67,LT,Garett,Bolles,Garett Bolles,DEN,15,0,16,1113,False,15,3,0,1,Garett,Bolles,229.0,227.0,5.0,3.0,Signed,84.0,0.0,0.0,DEN,tier_3,14.375561545372866,DEN,0
74,C,Lloyd,Cushenberry III,Lloyd Cushenberry III,DEN,15,0,2,1087,False,15,3,0,1,Lloyd,Cushenberry III,565.0,563.0,2.0,3.0,Signed,72.0,0.0,0.0,DEN,tier_5,1.8399264029438822,DEN,1
79,RT,Larnel,Coleman,Larnel Coleman,MIA,11,0,11,771,False,13,11,0,1,Larnel,Coleman,487.0,485.0,1.0,11.0,Signed,57.0,0.0,0.0,MIA,tier_6,14.267185473411153,MIA,-3
92,RG,Robert,Hunt,Robert Hunt,MIA,15,0,0,1016,False,15,11,0,1,Robert,Hunt,1256.0,1254.0,2.0,11.0,Signed,75.0,0.0,0.0,MIA,tier_4,0.0,MIA,9
98,LT,Terron,Armstead,Terron Armstead,MIA,15,0,5,1016,False,15,11,0,1,Terron,Armstead,88.0,86.0,9.0,11.0,Signed,94.0,0.0,0.0,MIA,tier_1,4.921259842519685,MIA,4
129,RG,James,Daniels,James Daniels,PIT,14,0,1,981,False,14,28,0,1,James,Daniels,578.0,576.0,4.0,28.0,Signed,80.0,0.0,0.0,PIT,tier_3,1.0193679918450562,PIT,1
133,LT,Jake,Matthews,Jake Matthews,ATL,15,0,17,983,False,15,13,0,1,Jake,Matthews,1710.0,1708.0,8.0,13.0,Signed,80.0,0.0,0.0,ATL,tier_3,17.293997965412007,ATL,-3
136,RT,Chukwuma,Okorafor,Chukwuma Okorafor,PIT,13,0,5,865,False,13,28,0,1,Chukwuma,Okorafor,1986.0,1984.0,4.0,28.0,Signed,70.0,0.0,0.0,PIT,tier_5,5.780346820809248,PIT,4
140,LT,Isaiah,Wynn,Isaiah Wynn,NE,14,0,13,952,False,14,21,0,1,Isaiah,Wynn,2953.0,2951.0,4.0,21.0,Signed,79.0,0.0,0.0,NE,tier_4,13.655462184873949,NE,-2
145,C,David,Andrews,David Andrews,NE,12,0,4,826,False,12,21,0,1,David,Andrews,73.0,71.0,7.0,21.0,Signed,84.0,0.0,0.0,NE,tier_3,4.842615012106537,NE,-4
156,LG,Connor,Williams,Connor Williams,MIA,15,0,6,1065,False,15,11,0,1,Connor,Williams,2834.0,2832.0,4.0,11.0,Signed,74.0,0.0,0.0,MIA,tier_5,5.633802816901409,MIA,-1
