FullName,Position,TeamName,SkillPointDef
A'Shawn Robinson,LE,LAR,-2
A.J. Terrell Jr,CB,ATL,-4
Aaron Donald,RE,LAR,0
Adetokunbo Ogundeji,LOLB,ATL,-2
Adoree' Jackson,CB,NYG,-1
Adrian Amos,SS,GB,0
Adrian Phillips,SS,NE,2
Ahmad Gardner,CB,NYJ,4
Aidan Hutchinson,RE,DET,2
Akeem Davis-Gaither,LOLB,CIN,5
Akiem Hicks,DT,TB,1
Al Woods,DT,SEA,2
Al-Quadin Muhammad,LE,CHI,-2
Alex Highsmith,ROLB,PIT,5
Alex Singleton,MLB,DEN,-4
Alohi Gilman,SS,LAC,-3
Amani Hooker,SS,TEN,0
Amani Oruwariye,CB,DET,6
Ambry Thomas,CB,SF,4
Andre Chachere,SS,PHI,-5
Andre Cisco,SS,JAX,-3
Andre Smith Jr,ROLB,BUF,-1
Andrew Booth Jr,CB,MIN,5
Andrew Brown,DT,LAC,0
Andrew Van Ginkel,LOLB,MIA,-2
Andrew Wingard,SS,JAX,5
Anthony Averett,CB,LV,0
Anthony Brown,CB,DAL,2
Anthony Harris,SS,PHI,5
Anthony Nelson,LOLB,TB,0
Anthony Pittman,LOLB,DET,1
Anthony Walker Jr,MLB,CLE,0
Antoine Winfield Jr,FS,TB,-6
Arden Key,LOLB,JAX,-6
Armon Watts,RE,MIN,-1
Arnold Ebiketie,LOLB,ATL,-1
Artie Burns,CB,SEA,-2
Asante Samuel Jr,CB,LAC,-3
Ashtyn Davis,FS,NYJ,0
Austin Johnson,LE,LAC,6
Avonte Maddox,CB,PHI,-3
Azeez Ojulari,ROLB,NYG,0
B.J. Hill,DT,CIN,2
Baron Browning,LOLB,DEN,-6
Baylon Spector,LOLB,BUF,-2
Ben Burr-Kirven,LOLB,SEA,1
Benjamin St-Juste,CB,WAS,-2
Bilal Nichols,RE,LV,-3
Blake Cashman,ROLB,HOU,-3
Blake Martinez,MLB,NYG,-1
Bobby McCain,FS,WAS,3
Bobby Okereke,MLB,IND,-2
Bobby Wagner,MLB,LAR,2
Boye Mafe,ROLB,SEA,-6
Bradley Chubb,ROLB,DEN,-1
Bradley Roby,CB,NO,0
Brandon Jones,SS,MIA,-1
Brandon Smith,ROLB,CAR,-1
Brennan Scarlett,LOLB,MIA,-1
Brent Urban,DT,BAL,5
Breon Borders,CB,ARI,3
Brian Asamoah II,MLB,MIN,5
Bryan Cook,SS,KC,3
Bryce Callahan,CB,LAC,-2
Bryce Hall,CB,NYJ,2
Bud Dupree,LOLB,TEN,5
Budda Baker,FS,ARI,-8
Buster Skrine,CB,TEN,-2
Byron Jones,CB,MIA,-1
Byron Murphy Jr,CB,ARI,-3
C.J. Gardner-Johnson,SS,NO,2
C.J. Henderson,CB,CAR,6
C.J. Mosley,MLB,NYJ,-2
Calais Campbell,RE,BAL,-10
Caleb Farley,CB,TEN,0
Cam Gill,ROLB,TB,0
Cam Taylor-Britt,CB,CIN,8
Cameron Dantzler,CB,MIN,1
Cameron Heyward,RE,PIT,2
Cameron Jordan,LE,NO,0
Cameron Sutton,CB,PIT,-4
Cameron Thomas,LOLB,ARI,-4
Camryn Bynum,FS,MIN,-3
Carl Lawson,RE,NYJ,-1
Carlton Davis III,CB,TB,1
Carson Wells,LOLB,CIN,-2
Casey Hayward Jr,CB,ATL,0
Casey Toohill,LE,WAS,1
Chad Muma,MLB,JAX,-7
Chance Campbell,MLB,TEN,6
Chandler Jones,ROLB,LV,-1
Chandon Sullivan,CB,MIN,1
Channing Tindall,MLB,MIA,-1
Charles Harris,LE,DET,-4
Charvarius Ward,CB,SF,-3
Chase Winovich,LE,CLE,-4
Chase Young,LE,WAS,-7
Chidobe Awuzie,CB,CIN,6
Chris Jones,DT,KC,-3
Chris Rumph II,LOLB,LAC,3
Chris Wormley,RE,PIT,2
Christian Barmore,DT,NE,2
Christian Harris,MLB,HOU,-4
Christian Kirksey,MLB,HOU,6
Christian Wilkins,RE,MIA,-2
Chuck Clark,SS,BAL,5
Clelin Ferrell,LOLB,LV,0
Cody Barton,MLB,SEA,3
Cody Davis,FS,NE,-4
Cordale Flott,CB,NYG,-2
Corn Elder,CB,WAS,-1
Cory Littleton,LOLB,CAR,-1
D'Marco Jackson,LOLB,NO,-2
D.J. Jones,DT,DEN,-5
D.J. Reader,DT,CIN,-1
D.J. Reed Jr,CB,NYJ,-1
D.J. Wonnum,LOLB,MIN,3
Da'Ron Payne,DT,WAS,-5
Da'Shawn Hand,LE,TEN,-1
DaQuan Jones,DT,BUF,-3
DaVon Hamilton,DT,JAX,1
Dalvin Tomlinson,DT,MIN,-2
Damarion Williams,CB,BAL,2
Damien Wilson,MLB,CAR,0
Damone Clark,ROLB,DAL,4
Damontae Kazee,FS,PIT,4
Dane Belton,SS,NYG,6
Dane Cruikshank,SS,CHI,-2
Daniel Hardy,LOLB,LAR,-4
Daniel Thomas,FS,JAX,-3
Danielle Hunter,ROLB,MIN,1
Dante Fowler Jr,RE,DAL,-4
Darious Williams,CB,JAX,0
Darius Harris,ROLB,KC,1
Darius Leonard,LOLB,IND,-1
Darius Phillips,CB,LV,-3
Darius Slay Jr,CB,PHI,1
Darnay Holmes,CB,NYG,2
Darrell Taylor,LE,SEA,-1
David Long Jr,CB,LAR,-4
David Long Jr,MLB,TEN,5
David Mayo,LOLB,WAS,2
