Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
26,P,Tress,Way,Tress Way,WAS,0,3534,3674,0,78,32,148,0,48,2,70,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,25,47,0,0,0,15,Tress,Way,2774.0,2772.0,10.0,25.0,Signed,83.0,0.0,0.0,WAS,tier_3,,,,0.15625,47.1025641025641,0.9618943930321175,WAS,1
117,K,Jake,Moody,Jake Moody,WAS,0,0,0,0,0,0,62,31,0,2,0,False,0,0,31,27,0,15,5,5,6,0,5,6,25,56,15,25,0,9,5,0,15,Jake,Moody,3206.0,3204.0,0.0,25.0,Signed,76.0,0.0,0.0,WAS,tier_4,0.8064516129032258,0.8709677419354839,0.7,,,,WAS,-3
131,P,Matt,Araiza,Matt Araiza,BUF,0,2961,3167,0,72,26,73,0,45,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,0,0,1,15,Matt,Araiza,3657.0,3655.0,1.0,2.0,Signed,73.0,0.0,0.0,BUF,tier_5,,,,0.0,43.986111111111114,0.9349542153457531,BUF,2
132,K,Tyler,Bass,Tyler Bass,BUF,0,0,0,1,0,0,149,39,0,2,77,False,0,0,31,37,0,14,12,3,2,0,3,2,25,57,15,2,49,9,11,0,15,Tyler,Bass,149.0,147.0,3.0,2.0,Signed,80.0,0.0,0.0,BUF,tier_3,0.8064516129032258,0.9487179487179487,0.7692307692307693,,,,BUF,-1
133,P,Tommy,Townsend,Tommy Townsend,NO,0,2651,2917,0,65,17,65,0,47,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,26,0,0,0,0,15,Tommy,Townsend,2653.0,2651.0,3.0,26.0,Signed,76.0,0.0,0.0,NO,tier_4,,,,0.058823529411764705,44.87692307692308,0.9088104216660953,NO,-1
134,K,Wil,Lutz,Wil Lutz,NO,0,0,0,1,0,0,150,37,0,2,80,False,0,0,32,35,0,13,9,5,5,0,5,5,26,59,15,26,54,7,9,0,15,Wil,Lutz,1654.0,1652.0,7.0,26.0,Signed,82.0,0.0,0.0,NO,tier_3,0.8125,0.9459459459459459,0.7272727272727273,,,,NO,-2
135,P,Blake,Gillikin,Blake Gillikin,NE,0,2575,2711,0,61,21,140,0,46,2,75,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,21,47,0,0,0,15,Blake,Gillikin,941.0,939.0,3.0,21.0,Signed,75.0,0.0,0.0,NE,tier_4,,,,0.09523809523809523,44.442622950819676,0.949834009590557,NE,-2
136,K,Nick,Folk,Nick Folk,NE,0,0,0,0,0,0,65,34,0,2,0,False,0,0,31,31,0,10,9,6,6,0,6,6,22,52,15,21,0,1,9,0,15,Nick,Folk,837.0,835.0,15.0,21.0,Signed,74.0,0.0,0.0,NE,tier_5,0.7096774193548387,0.9117647058823529,0.5263157894736842,,,,NE,-6
137,K,Matthew,Wright,Matthew Wright,IND,0,0,0,1,0,0,67,43,0,2,0,False,0,0,24,41,0,6,10,7,1,0,7,1,22,55,15,9,0,4,10,0,15,Matthew,Wright,2949.0,2947.0,3.0,9.0,Signed,71.0,0.0,0.0,IND,tier_5,0.9166666666666666,0.9534883720930233,0.875,,,,IND,7
138,P,Rigoberto,Sanchez,Rigoberto Sanchez,IND,0,2681,2812,0,64,24,149,0,45,2,81,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,9,55,0,0,1,15,Rigoberto,Sanchez,2306.0,2304.0,6.0,9.0,Signed,73.0,0.0,0.0,IND,tier_5,,,,0.125,43.9375,0.9534139402560455,IND,-1
139,P,Jordan,Stout,Jordan Stout,BAL,0,2909,3086,0,68,18,71,0,47,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,2,15,Jordan,Stout,3607.0,3605.0,1.0,24.0,Signed,78.0,0.0,0.0,BAL,tier_4,,,,0.05555555555555555,45.38235294117647,0.9426441996111471,BAL,1
140,K,Justin,Tucker,Justin Tucker,BAL,0,0,0,1,0,0,140,35,0,2,74,False,0,0,27,35,0,11,8,5,3,0,5,3,22,57,15,24,53,6,8,0,15,Justin,Tucker,2668.0,2666.0,11.0,24.0,Signed,90.0,0.0,0.0,BAL,tier_1,0.8148148148148148,1.0,0.7368421052631579,,,,BAL,0
141,P,Cameron,Johnston,Cameron Johnston,HOU,0,2326,2510,0,59,15,60,0,44,2,0,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,0,1,15,Cameron,Johnston,1396.0,1394.0,5.0,31.0,Signed,69.0,0.0,0.0,HOU,tier_6,,,,0.06666666666666667,42.54237288135593,0.9266932270916335,HOU,1
142,K,Ka'imi,Fairbairn,Ka'imi Fairbairn,HOU,0,0,0,0,0,0,144,36,0,2,79,False,0,0,29,35,0,8,11,5,5,0,5,5,25,57,15,31,54,4,11,0,15,Ka'imi,Fairbairn,785.0,783.0,7.0,31.0,Signed,72.0,0.0,0.0,HOU,tier_5,0.8620689655172413,0.9722222222222222,0.7894736842105263,,,,HOU,6
