Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
72,TE,Tommy,Tremble,Tommy Tremble,CAR,0,0,2,0,640,24,1135,258,True,0,0,0,0,63,0,0,2,0,0,1,0,0,0,0,4,15,15,0,20,0,Tommy,Tremble,2660.0,2658.0,2.0,20.0,Signed,72.0,0.0,0.0,CAR,tier_5,563.8766519823789,1462.8571428571427,0.26666666666666666,3.524229074889868,CAR,1.0
130,QB,Patrick,Mahomes,Patrick Mahomes,KC,239,4009,0,67,0,0,1072,0,True,355,59,572,16,0,0,1,2,70,75,2,0,0,18,32,0,15,15,7,8,4,Patrick,Mahomes,1676.0,1674.0,6.0,8.0,Signed,97.0,0.0,0.0,KC,tier_0,222.94776119402985,1215.2542372881355,0.26666666666666666,3.7313432835820897,,
235,WR,JuJu,Smith-Schuster,JuJu Smith-Schuster,KC,0,0,2,0,817,52,761,329,True,0,0,0,0,63,0,0,2,0,0,0,0,0,0,0,7,15,15,0,8,0,JuJu,Smith-Schuster,2459.0,2457.0,6.0,8.0,Signed,75.0,0.0,0.0,KC,tier_4,1073.5873850197108,1867.4285714285713,0.4666666666666667,9.198423127463863,KC,2.0
251,TE,Travis,Kelce,Travis Kelce,KC,0,0,1,0,945,23,1177,426,True,0,0,0,0,90,0,0,2,0,0,2,0,0,0,0,10,15,15,0,8,0,Travis,Kelce,1476.0,1474.0,10.0,8.0,Signed,96.0,0.0,0.0,KC,tier_0,802.8887000849617,1512.0,0.6666666666666666,8.496176720475786,KC,1.0
269,WR,Mecole,Hardman,Mecole Hardman,KC,7,0,1,0,933,75,1062,392,True,0,2,0,0,68,0,0,2,4,0,0,0,0,0,0,8,15,15,0,8,0,Mecole,Hardman,1067.0,1065.0,4.0,8.0,Signed,81.0,0.0,0.0,KC,tier_3,885.1224105461393,1949.3142857142857,0.5333333333333333,7.532956685499058,KC,0.0
324,WR,Amon-Ra,St. Brown,Amon-Ra St. Brown,DET,0,0,0,0,761,23,717,291,True,0,0,0,0,60,0,0,2,0,0,0,0,0,0,0,7,11,11,0,18,0,Amon-Ra,St. Brown,2485.0,2483.0,2.0,18.0,Signed,77.0,0.0,0.0,DET,tier_4,1061.3668061366805,1826.3999999999999,0.6363636363636364,9.762900976290098,DET,2.0
388,WR,Christian,Kirk,Christian Kirk,JAX,4,0,0,0,936,24,969,308,True,0,1,0,0,65,0,0,2,4,0,0,0,0,0,0,4,15,15,0,16,0,Christian,Kirk,1506.0,1504.0,5.0,16.0,Signed,81.0,0.0,0.0,JAX,tier_3,970.0722394220846,2060.363636363636,0.26666666666666666,4.127966976264189,JAX,-1.0
432,WR,Jameson,Williams,Jameson Williams,DET,0,0,0,0,761,28,723,270,True,0,0,0,0,56,0,0,2,0,0,0,0,0,0,0,5,11,11,0,18,0,Jameson,Williams,3489.0,3487.0,1.0,18.0,Signed,79.0,0.0,0.0,DET,tier_4,1052.5587828492394,1956.8571428571427,0.45454545454545453,6.915629322268326,DET,2.0
471,WR,D.J.,Moore,D.J. Moore,CAR,-4,0,0,0,990,29,984,402,True,0,2,0,0,76,0,0,2,0,0,1,0,0,0,0,4,15,15,0,20,0,D.J.,Moore,1854.0,1852.0,5.0,20.0,Signed,83.0,0.0,0.0,CAR,tier_3,1002.0325203252032,1812.3076923076924,0.26666666666666666,4.065040650406504,CAR,1.0
493,HB,James,Robinson,James Robinson,ATL,614,0,0,239,75,12,388,77,True,0,134,0,0,12,0,5,2,68,0,8,0,0,0,0,0,11,11,1,13,5,James,Robinson,2248.0,2246.0,3.0,13.0,Signed,82.0,0.0,0.0,ATL,tier_3,1775.7731958762886,1335.6164383561643,0.45454545454545453,12.886597938144329,ATL,0.0
