FullName,Position,TeamName,SkillPointKick
A.J. Cole III,P,LV,1
Adam Korsak,P,KC,1
Austin Seibert,K,SF,0
Blake Gillikin,P,NE,-2
Brad Robbins,P,MIA,-1
Braden Mann,P,NYJ,2
Bradley Pinion,P,MIN,2
Brandon McManus,K,DEN,-4
Brett Kern,P,TEN,-2
Bryan Anger,P,DAL,-1
Cade York,K,CLE,4
Cairo Santos,K,CHI,1
Camden Lewis,K,JAX,0
Cameron Dicker,P,LAR,0
Cameron Johnston,P,HOU,1
Chris Boswell,K,PIT,-8
Corey Bojorquez,P,CLE,-2
Daniel Carlson,K,LV,2
Dustin Hopkins,K,LAC,0
Evan McPherson,K,CIN,-13
Graham Gano,K,NYG,0
Greg Joseph,K,DAL,3
Greg Zuerlein,K,LAR,1
Harrison Butker,K,KC,-2
J.K. Scott,P,CIN,2
Jack Fox,P,DET,-1
Jake Bailey,P,NYG,-4
Jake Camarda,P,TB,0
Jake Elliott,K,PHI,2
Jake Moody,K,WAS,-3
Jamie Gillan,P,PHI,-1
Jason Myers,K,NYJ,-2
Jason Sanders,K,MIA,-2
John Mayers,K,CAR,3
Johnny Hekker,P,CAR,-5
Jordan Stout,P,BAL,1
Joseph Charlton,P,GB,1
Josh Lambo,K,MIN,5
Justin Tucker,K,BAL,0
Ka'imi Fairbairn,K,HOU,6
Logan Cooke,P,JAX,-4
Mason Crosby,K,GB,6
Matt Araiza,P,BUF,2
Matt Gay,K,SEA,0
Matt Prater,K,ARI,2
Matthew Wright,K,IND,7
Michael Dickson,P,SEA,1
Mitch Wishnowsky,P,SF,0
Nick Folk,K,NE,-6
Noah Ruggles,K,DET,-2
Pressley Harvin III,P,PIT,2
Rhys Byrns,P,ARI,1
Rigoberto Sanchez,P,IND,-1
Rodrigo Blankenship,K,TEN,-2
Ryan Succop,K,TB,4
Sam Martin,P,ATL,-1
Sterling Hofrichter,P,DEN,-1
Thomas Morstead,P,LAC,2
Tommy Townsend,P,NO,-1
Trenton Gill,P,CHI,-5
Tress Way,P,WAS,1
Tyler Bass,K,BUF,-1
Wil Lutz,K,NO,-2
Younghoe Koo,K,ATL,-3
