FullName,Position,TeamName,SkillPointOff
A.J. Brown,WR,PHI,0
A.J. Dillon,HB,GB,0
Adam Thielen,WR,MIN,-4
Adam Trautman,TE,NO,1
Alec Pierce,WR,IND,-4
Alexander Mattison,HB,JAX,2
Allen Robinson II,WR,LAR,2
Alvin Kamara,HB,NO,2
Amari Cooper,WR,CLE,4
Amon-Ra St. Brown,WR,DET,2
Andrew Ogletree,TE,IND,1
Antonio Gibson,HB,WAS,-5
Austin Hooper,TE,CIN,-5
Bijan Robinson,HB,BAL,-3
Brandin Cooks,WR,HOU,0
Brandon Aiyuk,WR,SF,5
Breece Hall,HB,NYJ,0
Brevin Jordan,TE,HOU,-1
Brian Robinson Jr.,HB,WAS,0
Bryan Edwards,WR,ATL,-4
C.J. Uzomah,TE,NYJ,1
Cade Otton,TE,TB,7
Calvin Austin III,WR,PIT,2
Calvin Ridley,WR,BAL,-1
Cam Akers,HB,LAR,-2
CeeDee Lamb,WR,DAL,-3
Chase Claypool,WR,PIT,-1
Chase Edmonds,HB,MIA,-3
Chris Godwin,WR,TB,1
Chris Olave,WR,NO,1
Christian Kirk,WR,JAX,-1
Christian McCaffrey,HB,CAR,-9
Christian Watson,WR,GB,4
Chuba Hubbard,HB,CAR,-3
Clyde Edwards-Helaire,HB,KC,3
Cole Kmet,TE,CHI,1
Cordarrelle Patterson,HB,ATL,6
Corey Davis,WR,NYJ,-4
Courtland Sutton,WR,DEN,1
Curtis Samuel,WR,HOU,-1
D'Andre Swift,HB,DET,-1
D'Wayne Eskridge,WR,SEA,0
D.J. Chark Jr,WR,NYG,2
D.J. Moore,WR,CAR,1
D.K. Metcalf,WR,SEA,-3
Dallas Goedert,TE,PHI,-3
Dalton Schultz,TE,DAL,1
Dalvin Cook,HB,MIN,-5
Dameon Pierce,HB,HOU,-1
Damien Harris,HB,NE,-3
Darnell Mooney,WR,CHI,0
Darren Waller,TE,LV,7
Davante Adams,WR,LV,-3
David Montgomery,HB,CHI,4
David Njoku,TE,CLE,-5
Dawson Knox,TE,BUF,3
DeAndre Hopkins,WR,ARI,-1
DeVante Parker,WR,NE,0
DeVonta Smith,WR,PHI,0
DeeJay Dallas,HB,SEA,1
Deebo Samuel,WR,SF,-4
Derrick Henry,HB,TEN,-2
Devin Duvernay,WR,BAL,-3
Devin Singletary,HB,NYG,-5
Devon Achane,HB,DEN,-1
Diontae Johnson,WR,NYG,1
Donovan Peoples-Jones,WR,CLE,-3
Dyami Brown,WR,WAS,7
Elijah Moore,WR,NYJ,-3
Eno Benjamin,HB,ARI,5
Erick All,TE,CIN,-2
Ezekiel Elliott,HB,DAL,1
Gabriel Davis,WR,BUF,-3
Garrett Wilson,WR,NYJ,0
George Kittle,TE,SF,-4
George Pickens,WR,PIT,1
Gerald Everett,TE,LAC,1
Grant Calcaterra,TE,PHI,7
Greg Dulcich,TE,DEN,-1
Hunter Henry,TE,NE,5
Hunter Renfrow,WR,LV,4
Irv Smith Jr,TE,MIN,-1
Isaiah Spiller,HB,LAC,7
J.D. McKissic,HB,WAS,1
J.J. Arcega-Whiteside,TE,GB,8
Ja'Marr Chase,WR,CIN,1
Jahan Dotson,WR,WAS,-1
Jaheel Billingsly,TE,JAX,1
Jake Ferguson,TE,DAL,-3
Jakobi Meyers,WR,NE,4
Jalen Cropper,WR,PHI,-3
Jalen Guyton,WR,CAR,-4
Jamaal Williams,HB,DET,4
James Cook,HB,BUF,0
James Robinson,HB,ATL,0
James Washington,WR,PIT,3
Jameson Williams,WR,DET,2
Jarvis Landry,WR,CLE,3
Jason Huntley,HB,PHI,2
Jaxson Smith-Njigba,WR,CHI,-1
Jaylen Waddle,WR,MIA,-1
Jelani Woods,TE,IND,5
Jerry Jeudy,WR,DEN,2
Joe Mixon,HB,CIN,0
John Metchie III,WR,HOU,-2
Jonathan Taylor,HB,IND,0
Jonnu Smith,TE,NE,-2
Jordan Addison,WR,CAR,2
Josh Jacobs,HB,LV,-8
Josh Reynolds,WR,DET,0
Joshua Palmer,WR,LAC,2
Josiah Deguara,TE,GB,1
JuJu Smith-Schuster,WR,KC,2
Julio Jones,WR,BAL,0
Justin Jefferson,WR,MIN,-7
K.J. Hamler,WR,CHI,1
K.J. Osborn,WR,MIN,0
Kadarius Toney,WR,LV,-2
Kareem Hunt,HB,HOU,2
Kayshon Boutte,WR,JAX,-1
Keenan Allen,WR,LAC,-4
Kendrick Bourne,WR,NE,0
Kennedy Brooks,HB,PHI,1
Kenneth Walker III,HB,SEA,6
Kenny Golladay,WR,NYG,2
Khalil Shakir,WR,BUF,4
Kyle Philips,WR,TEN,0
Kyle Pitts,TE,ATL,3
Kyren Williams,HB,LAR,10
Laviska Shenault Jr,WR,SF,0
Logan Thomas,TE,WAS,2
Mark Andrews,TE,BAL,1
Marlon Mack,HB,HOU,6
Marquez Callaway,WR,CIN,5
Marquise Brown,WR,ARI,-5
Marvin Mims,WR,ATL,-3
Maxx Williams,TE,MIA,3
Mecole Hardman,WR,KC,0
Michael Carter,HB,NYJ,-9
Michael Gallup,WR,DAL,0
Michael Pittman Jr,WR,IND,-2
Michael Thomas,WR,NO,0
Mike Evans,WR,TB,0
Mike Gesicki,TE,JAX,-3
Mike Williams,WR,LAC,0
Myles Gaskin,HB,DAL,5
Najee Harris,HB,PIT,-4
Nick Boyle,TE,PIT,0
Nick Chubb,HB,CLE,-1
Nick Westbrook-Ikhine,WR,NO,4
Noah Fant,TE,SEA,-1
O.J. Howard,TE,TEN,0
Odell Beckham Jr,WR,GB,-1
Parris Campbell,WR,ATL,0
Pat Freiermuth,TE,PIT,-5
Quentin Johnston,WR,MIN,3
Quintez Cephus,WR,DET,6
Rachaad White,HB,TB,2
Rakim Jarrett,WR,GB,-1
Rashod Bateman,WR,BAL,-3
Ray-Ray McCloud III,WR,SF,2
Robert Tonyan,TE,NYG,-2
Robert Woods,WR,TEN,0
Rondale Moore,WR,ARI,-2
Russell Gage Jr,WR,TB,1
Saquon Barkley,HB,MIA,1
Scotty Miller,WR,IND,-3
Skyy Moore,WR,KC,-2
Stefon Diggs,WR,BUF,-3
T.J. Hockenson,TE,DET,3
Tank Bigsby,HB,TEN,8
Tee Higgins,WR,TEN,2
Terry McLaurin,WR,WAS,-7
Theo Johnson,TE,SF,-1
Tim Patrick,WR,DEN,1
Tommy Tremble,TE,CAR,1
Travis Kelce,TE,KC,1
Trey McBride,TE,ARI,-5
Treylon Burks,WR,TEN,0
Tutu Atwell,WR,LAR,3
Tyler Allegier,HB,ATL,-5
Tyler Boyd,WR,CIN,1
Tyler Higbee,TE,LAR,8
Tyler Lockett,WR,SEA,5
Tyreek Hill,WR,MIA,-4
Tyrion Davis-Price,HB,SF,-1
Van Jefferson,WR,LAR,-1
Velus Jones Jr.,WR,CHI,-3
Wan'Dale Robinson,WR,NYG,-1
Xavier Gipson,WR,DAL,0
Zach Charbonnet,HB,CHI,-1
Zach Ertz,TE,ARI,-2
Zach Evans,HB,DET,-1
Zack Moss,HB,BUF,1
Zamir White,HB,LV,4
Zay Flowers,WR,MIA,-2
Zay Jones,WR,JAX,7
