FullName,Position,TeamName,SkillPointOL
Aaron Brewer,LG,TEN,-2
Abraham Lucas,RT,SEA,9
Alex Cappa,RG,CIN,1
Alex Leatherwood,RT,LV,-3
Alijah Vera-Tucker,RG,NYJ,9
Andrew Norwell,LG,WAS,-4
Andrew Thomas,LT,NYG,0
Andrus Peat,LG,NO,-3
Anton Harrison,LT,TB,-2
Austin Blythe,C,SEA,1
Austin Corbett,RG,CAR,4
Aviante Collins,LT,DAL,-2
Ben Jones,C,TEN,4
Billy Turner,RT,DEN,0
Braden Smith,RT,IND,1
Bradley Bozeman,C,CHI,1
Brandon Scherff,RG,JAX,4
Brian O'Neill,RT,MIN,0
Bryan Bulaga,RT,LAC,4
Cam Robinson,LT,JAX,-4
Cameron Clark,RG,DEN,-2
Cesar Ruiz,RG,NO,0
Charles Cross,LT,SEA,-7
Charles Leno Jr,LT,WAS,-2
Chase Roullier,C,WAS,0
Chris Lindstrom,RG,ATL,-1
Christian Darrisaw,LT,MIN,-2
Chukwuma Okorafor,RT,PIT,0
Cody Whitehair,LG,CHI,-7
Cole Strange,RG,NE,-1
Connor McGovern,C,NYJ,-1
Connor Williams,LG,MIA,-1
Corey Linsley,C,LAC,-1
Creed Humphrey,C,KC,3
D.J. Humphries,LT,ARI,-7
Dalton Risner,LG,NYG,1
Damien Lewis,LG,SEA,-1
Daniel Brunskill,RG,SF,-2
Daryl Williams,RG,CHI,-1
David Andrews,C,NE,-1
David Bakhtiari,LT,GB,6
David Edwards,LG,LAR,-2
Dylan Parham,RG,LV,-3
Ed Ingram,RG,MIN,-3
Elgton Jenkins,RT,GB,1
Emil Ekiyor Jr.,LG,CIN,-2
Erik McCoy,C,LV,1
Ethan Pocic,C,NYG,-1
Evan Neal,RT,NYG,0
Ezra Cleveland,LG,MIN,-1
Frank Ragnow,C,DET,-1
Gabe Jackson,RG,SEA,0
Garett Bolles,LT,DEN,4
Garrett Bradbury,C,MIN,1
George Fant,LT,NYJ,-6
Geron Christian Sr,LT,PIT,-2
Graham Glasgow,RG,IND,-3
Ikem Ekwonu,LT,CAR,-2
Isaac Seumalo,RG,PHI,-1
Isaiah Wynn,LT,CHI,-2
JC Tretter,C,SF,-3
Ja'Wuan James,RT,BAL,0
Jack Conklin,RT,ATL,4
Jake Matthews,LT,ATL,1
Jamaree Salyer,LG,LAC,4
James Daniels,RG,PIT,1
James Empey,C,DAL,1
Jarrett Patterson,C,GB,0
Jason Kelce,C,PHI,-9
Javion Cohen,LG,DET,1
Jedrick Wills Jr,LT,CLE,1
Joe Thuney,LG,KC,0
Joel Bitonio,LG,CLE,-1
John Simpson,LG,LV,1
Jon Feliciano,C,MIA,1
Jon Runyan,LG,GB,-1
Jonah Jackson,LG,DET,-1
Jonah Williams,LT,CIN,1
Jordan Mailata,LT,PHI,-4
Jordan McFadden,RG,CHI,-6
Joseph Noteboom,LT,LAR,9
Justin Britt,C,HOU,0
Justin Shaffer,LG,ATL,-2
Kendrick Green,C,PIT,0
Kenyon Green,LG,HOU,1
Kevin Dotson,LG,PIT,-2
Kevin Zeitler,RG,BAL,-3
Kolton Miller,LT,LV,1
La'el Collins,RT,CIN,4
Laken Tomlinson,LG,NYJ,0
Landon Dickerson,LG,PHI,4
Lane Johnson,RT,PHI,0
Laremy Tunsil,LT,HOU,6
Layden Robinson,RG,HOU,-1
Lecitus Smith,RG,ARI,0
Liam Eichenberg,RT,MIA,-5
Lloyd Cushenberry III,C,DEN,-2
Logan Bruss,RG,LAR,-1
Lucas Niang,RT,KC,0
Luke Fortner,C,JAX,-6
Luke Goedeke,LG,TB,4
Luke Matthews,C,CLE,-1
Matt Hennessy,C,ATL,-3
Matt Pryor,LG,JAX,1
Mekhi Becton,RT,NYJ,-4
Mike McGlinchey,RT,SF,1
Mike Onwenu,LG,NE,0
Mitch Morse,C,BUF,-3
Nate Davis,RG,TEN,-2
Netane Muti,LG,DEN,4
Nicholas Petit-Frere,RT,TEN,12
Nick Broeker,RT,BUF,-2
Olsuegun Oluwatimi,C,LAR,0
Orlando Brown,LT,KC,6
Paris Johnson Jr.,LT,NE,0
Penei Sewell,RT,DET,1
Peter Skoronski,LT,IND,9
Quenton Nelson,LG,IND,0
Rashawn Slater,LT,LAC,6
Reuben Unije,RT,ARI,0
Ricky Stromberg,C,NO,-1
Rob Havenstein,RT,LAR,8
Robert Hunt,RG,MIA,4
Rodger Saffold III,LG,BUF,0
Rodney Hudson,C,ARI,8
Ronnie Stanley,LT,BAL,4
Royce Newman,RG,GB,-1
Ryan Jensen,C,TB,2
Ryan Kelly,C,IND,-9
Sam Cosmi,RT,WAS,-6
Shaq Mason,RG,TB,4
Tate Ratledge,LG,CAR,-1
Taylor Decker,LT,DET,-2
Taylor Lewan,LT,TEN,0
Taylor Moton,RT,CAR,-9
Ted Karras,C,CIN,10
Terron Armstead,LT,MIA,1
Teven Jenkins,RT,CHI,-5
Trai Turner,RG,WAS,-1
Trent Brown,RT,NE,6
Trent Williams,LT,SF,0
Trevor Penning,LT,NO,-2
Trey Smith,RG,KC,0
Tristan Wirfs,RT,TB,-6
Tyler Linderbaum,C,BAL,0
Tyler Smith,LG,DAL,0
Tyre Phillips,LG,BAL,10
Tyron Smith,LT,DAL,1
Tytus Howard,RT,HOU,-4
Walker Parks,RT,CLE,-2
Will Hernandez,RG,ARI,-3
Willie Lampkin,RG,SF,-6
Wyatt Teller,RG,CLE,4
Zack Martin,RG,DAL,3
Zion Johnson,RG,LAC,9
