Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
12,K,Dennis,Abraham,Dennis Abraham,NYJ,0,0,0,0,0,0,129,34,0,12,69,False,0,0,26,31,0,6,5,9,6,0,9,6,21,54,15,17,37,1,5,0,15,Dennis,Abraham,3549.0,3547.0,3.0,17.0,Signed,79.0,0.0,0.0,NYJ,tier_4,0.8076923076923077,0.9117647058823529,0.5454545454545454,,,,NYJ,-4
20,K,TJ,Clifford,TJ Clifford,SF,0,0,0,0,0,0,70,40,0,12,0,False,0,0,26,38,0,6,8,8,4,0,8,4,22,53,15,14,0,2,8,0,15,TJ,Clifford,388.0,386.0,0.0,14.0,Signed,71.0,0.0,0.0,SF,tier_5,0.8461538461538461,0.95,0.7142857142857143,,,,SF,3
50,P,Tommy,Townsend,Tommy Townsend,GB,0,2649,2772,0,60,26,63,0,47,12,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,19,0,0,0,1,15,Tommy,Townsend,2653.0,2651.0,13.0,19.0,Signed,80.0,0.0,0.0,GB,tier_3,,,,0.0,46.2,0.9556277056277056,GB,4
57,K,Scott,Groves,Scott Groves,HOU,1,0,0,1,0,0,146,48,0,12,79,False,0,0,16,43,0,4,4,6,2,0,6,2,15,51,15,31,44,3,4,0,15,Scott,Groves,3392.0,3390.0,0.0,31.0,Signed,73.0,0.0,0.0,HOU,tier_5,0.9375,0.8958333333333334,0.875,,,,HOU,5
64,K,Jack,Podlesny,Jack Podlesny,PIT,0,0,0,0,0,0,53,28,0,12,0,False,0,0,24,28,0,10,5,6,3,0,6,3,18,52,15,28,0,4,5,0,15,Jack,Podlesny,1128.0,1126.0,10.0,28.0,Signed,76.0,0.0,0.0,PIT,tier_4,0.75,1.0,0.6,,,,PIT,-2
91,P,Jake,Camarda,Jake Camarda,SF,0,2654,2813,0,64,20,142,0,45,12,75,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,14,43,0,0,0,15,Jake,Camarda,3744.0,3742.0,11.0,14.0,Signed,73.0,0.0,0.0,SF,tier_5,,,,0.2,43.953125,0.9434767152506222,SF,0
93,K,Cade,York,Cade York,ARI,0,0,0,1,0,0,138,37,0,12,75,False,0,0,25,33,0,4,6,6,9,0,6,9,21,45,15,6,47,0,6,0,15,Cade,York,3126.0,3124.0,10.0,6.0,Signed,76.0,0.0,0.0,ARI,tier_4,0.84,0.8918918918918919,0.6,,,,ARI,-3
121,K,Ted,McCoy,Ted McCoy,LAR,0,0,0,0,0,0,50,32,0,12,0,False,0,0,18,32,0,7,3,6,2,0,6,2,13,51,15,23,0,2,3,0,15,Ted,McCoy,2344.0,2342.0,5.0,23.0,Signed,74.0,0.0,0.0,LAR,tier_5,0.7222222222222222,1.0,0.5,,,,LAR,-2
128,P,Donnie,Goodman,Donnie Goodman,CHI,0,2215,2405,0,56,25,53,0,49,12,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,Donnie,Goodman,3054.0,3052.0,2.0,0.0,Signed,70.0,0.0,0.0,CHI,tier_5,,,,0.0,42.94642857142857,0.920997920997921,CHI,-1
133,P,Michael,Turk,Michael Turk,PIT,0,3098,3311,0,73,32,137,0,46,12,63,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,28,34,0,0,0,15,Michael,Turk,3552.0,3550.0,11.0,28.0,Signed,78.0,0.0,0.0,PIT,tier_4,,,,0.03125,45.35616438356164,0.9356689821806101,PIT,3
