Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,TeamName_y,SkillPointOff
41,TE,Jaleel,Skinner,Jaleel Skinner,CHI,0,0,2,0,664,23,1116,308,True,0,0,0,0,66,0,0,12,0,0,5,0,0,0,0,7,15,15,1,0,0,Jaleel,Skinner,1433.0,1431.0,8.0,0.0,Signed,79.0,0.0,0.0,CHI,tier_4,594.9820788530466,1448.7272727272725,0.4666666666666667,6.272401433691757,CHI,1.0
57,HB,Will,Brock,Will Brock,SF,1018,0,1,434,111,25,502,88,True,0,226,0,0,15,0,10,12,63,0,14,0,0,0,0,0,11,11,5,14,6,Will,Brock,357.0,355.0,2.0,14.0,Signed,80.0,0.0,0.0,SF,tier_3,2249.0039840637446,1333.5435684647302,0.5454545454545454,11.952191235059761,SF,-1.0
62,TE,Jalen,Wydermyer,Jalen Wydermyer,KC,0,0,1,0,571,30,1029,263,True,0,0,0,0,52,0,0,12,0,0,5,0,0,0,0,2,15,15,0,8,0,Jalen,Wydermyer,3350.0,3348.0,11.0,8.0,Signed,73.0,0.0,0.0,KC,tier_5,554.9076773566569,1581.2307692307693,0.13333333333333333,1.943634596695821,KC,0.0
66,HB,Lionel,McCain,Lionel McCain,CAR,713,0,3,283,365,26,640,266,True,0,176,0,0,43,0,6,12,72,0,14,0,0,0,0,0,11,11,3,20,9,Lionel,McCain,3497.0,3495.0,1.0,20.0,Signed,75.0,0.0,0.0,CAR,tier_4,1684.375,1216.7123287671234,0.8181818181818182,14.0625,CAR,4.0
67,TE,AJ,Barner,AJ Barner,SEA,0,0,1,0,665,43,922,244,True,0,0,0,0,56,0,0,12,0,0,3,0,0,0,0,8,14,14,0,27,0,AJ,Barner,2554.0,2552.0,9.0,27.0,Signed,73.0,0.0,0.0,SEA,tier_5,721.2581344902386,1710.0,0.5714285714285714,8.676789587852495,SEA,8.0
71,WR,Shawn,Peters,Shawn Peters,CIN,0,0,0,0,575,29,784,198,True,0,0,0,0,47,0,0,12,0,0,0,0,0,0,0,3,12,12,0,1,0,Shawn,Peters,279.0,277.0,2.0,1.0,Signed,82.0,0.0,0.0,CIN,tier_3,733.4183673469388,1761.7021276595744,0.25,3.826530612244898,CIN,-5.0
82,HB,Sean,Crawford,Sean Crawford,WAS,761,0,3,235,262,23,572,206,True,0,203,0,0,33,0,4,12,65,0,12,0,0,0,0,1,11,11,8,25,6,Sean,Crawford,3079.0,3077.0,4.0,25.0,Signed,90.0,0.0,0.0,WAS,tier_1,1788.4615384615386,1127.2372881355932,0.6363636363636364,12.237762237762238,WAS,-8.0
93,WR,Elijah,Moore,Elijah Moore,NYJ,16,0,1,0,478,28,624,181,True,0,4,0,0,39,0,0,12,4,0,0,0,0,0,0,2,12,12,0,17,0,Elijah,Moore,1856.0,1854.0,12.0,17.0,Signed,73.0,0.0,0.0,NYJ,tier_5,791.6666666666666,1712.372093023256,0.16666666666666666,3.205128205128205,NYJ,-3.0
106,WR,John,MacQueen,John MacQueen,MIN,22,0,0,0,831,26,843,314,True,0,6,0,0,64,0,0,12,4,0,0,0,0,0,0,5,15,15,0,30,0,John,MacQueen,3524.0,3522.0,2.0,30.0,Signed,81.0,0.0,0.0,MIN,tier_3,1011.8623962040332,1803.7714285714285,0.3333333333333333,5.931198102016607,MIN,1.0
110,WR,Jordan,Hudson,Jordan Hudson,GB,5,0,0,0,982,27,909,386,True,0,3,0,0,75,0,0,12,4,0,0,0,0,0,0,4,14,14,0,19,0,Jordan,Hudson,2481.0,2479.0,6.0,19.0,Signed,80.0,0.0,0.0,GB,tier_3,1085.8085808580856,1832.153846153846,0.2857142857142857,4.4004400440044,GB,1.0
