FullName,Position,TeamName,SkillPointKick
Aaron Brackins,K,TEN,-3
Alan Brackett,P,WAS,-2
Alex McPherson,K,BUF,-4
Alex Saunders,K,DET,1
Andrew Richardson,P,TEN,0
B.J. Polk,P,BUF,2
Bernard Donaldson,K,SF,0
Brandon Collins,P,CHI,4
Brandon Watson,K,JAX,4
Brian Harris,P,LV,2
Bryan Talley,K,ATL,-4
Bryce McFerson,P,IND,1
Caleb Zeigler,P,DET,-2
Carl Franklin,K,DEN,-3
Carter Abraham,P,MIN,2
Charlie Copeland,K,NO,-2
Chase Cook,K,MIA,-1
Chris Edwards,P,NO,2
Chris Ross,K,LAR,-4
Connor Smith,P,CAR,2
Curtis Monroe,P,PIT,0
Damon Wilcox,P,CLE,-1
Daniel Lee,P,KC,-1
Darren McLane,K,GB,3
David Brown,K,MIN,3
Dennis Abraham,K,CLE,-6
Devin Tanley,K,BAL,-5
Doug Kendrick,P,JAX,-1
Gary Paulson,P,DAL,-2
Grant Wade,K,NYJ,-1
Isaiah Hamilton,K,CHI,-8
James Williams,K,NYG,-3
Joe Curtis,K,LV,-1
Johnny Webster,K,PHI,1
Joseph Dowling,P,CIN,-2
Joshua Conwell,P,PHI,-3
Kai Kroeger,P,SF,0
Kirk Moreland,K,DAL,3
Kolton Hall,P,NYJ,1
Logan Lynch,P,LAR,3
Luke Reisner,P,BAL,3
Matt Walker,K,SEA,0
Michael Donald,P,LAC,-1
Michael Perez,K,WAS,-1
Michael Smith,K,TB,-1
Mikal Childress,P,SEA,-1
Mitchell Turner,K,CIN,0
Nathan Dibert,K,HOU,5
Nick Weber,P,ARI,-1
Owen Roth,P,NYG,-2
Paul Robbins,P,TB,4
Preston Gervasi,P,HOU,-2
Rhett Bush,P,NE,0
Ryan Blanchard,K,IND,1
Scott Groves,K,KC,0
TJ Clifford,K,LAC,3
Tim Columbus,P,MIA,-3
Toby Mahone,P,DEN,-2
Tommy Rich,K,ARI,-6
Tommy Townsend,P,ATL,1
Travis Rogan,K,CAR,1
Trey Ortiz,K,PIT,-4
Ty Dillon,K,NE,1
Tyler Perkins,P,GB,-1
