Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPerGame,TotalTurnoversPerGame,LBSacksTFLPassDeflPerGame,TacklesPerGame,CBPassDeflPerGame,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
4,FS,Eddie,Jackson,Eddie Jackson,PHI,True,0,23,643,0,28,5,31,0,3,3,15,0,2,0,0,2,0,12,2,0,0,0,11,11,Eddie,Jackson,1304.0,1302.0,12.0,Signed,76.0,0.0,0.0,PHI,tier_4,0.18181818181818182,0.18181818181818182,0.36363636363636365,5.363636363636363,0.18181818181818182,0.46656298600311047,0.09090909090909091,PHI,3
26,DT,Folorunso,Fatukasi,Folorunso Fatukasi,NYJ,True,20,0,506,1,8,15,22,0,3,0,0,0,0,0,0,0,0,17,7,1,1,0,15,1,Folorunso,Fatukasi,794.0,792.0,17.0,Signed,72.0,0.0,0.0,NYJ,tier_5,0.5333333333333333,0.13333333333333333,0.5333333333333333,2.0,0.0,0.0,0.0,NYJ,-2
39,CB,Deommodore,Lenoir,Deommodore Lenoir,CLE,True,0,0,660,0,15,25,41,0,3,23,0,0,0,0,0,3,0,4,0,0,0,0,15,2,Deommodore,Lenoir,1586.0,1584.0,4.0,Signed,71.0,0.0,0.0,CLE,tier_5,0.0,0.0,0.2,3.7333333333333334,0.2,3.4848484848484853,1.3333333333333333,CLE,-3
47,RE,Zach,Allen,Zach Allen,ARI,True,0,0,720,0,21,23,31,0,3,0,0,0,0,0,0,0,0,6,5,0,11,0,15,4,Zach,Allen,52.0,50.0,6.0,Signed,78.0,0.0,0.0,ARI,tier_4,1.0666666666666667,0.0,1.0666666666666667,3.466666666666667,0.0,0.0,0.0,ARI,0
61,ROLB,Micah,Parsons,Micah Parsons,DAL,True,5,0,782,1,19,34,44,0,3,15,0,0,0,0,0,0,0,10,3,1,11,1,12,12,Micah,Parsons,2046.0,2044.0,10.0,Signed,97.0,0.0,0.0,DAL,tier_0,1.1666666666666667,0.25,1.1666666666666667,5.25,0.0,1.9181585677749362,1.25,DAL,-3
72,SS,Daxton,Hill,Daxton Hill,NYJ,True,0,0,295,0,0,2,4,0,3,6,0,0,0,0,0,1,0,17,0,0,0,0,15,1,Daxton,Hill,3400.0,3398.0,17.0,Signed,66.0,0.0,0.0,NYJ,tier_6,0.0,0.0,0.06666666666666667,0.26666666666666666,0.06666666666666667,2.0338983050847457,0.3333333333333333,NYJ,-1
103,CB,Trevon,Diggs,Trevon Diggs,ATL,True,0,48,656,0,17,23,33,0,3,31,35,0,2,1,0,7,0,13,0,0,0,0,11,11,Trevon,Diggs,659.0,657.0,13.0,Signed,84.0,0.0,0.0,ATL,tier_3,0.0,0.2727272727272727,0.6363636363636364,4.545454545454546,0.6363636363636364,4.725609756097561,2.1818181818181817,ATL,-2
130,SS,La'Kendrick,Van Zandt,La'Kendrick Van Zandt,CHI,True,0,41,362,0,7,13,15,0,3,12,22,0,2,0,0,2,0,0,0,0,0,0,13,1,La'Kendrick,Van Zandt,3486.0,3484.0,0.0,Signed,68.0,0.0,0.0,CHI,tier_6,0.0,0.15384615384615385,0.15384615384615385,1.6923076923076923,0.15384615384615385,3.314917127071823,0.7692307692307693,CHI,0
133,SS,Nick,Cross,Nick Cross,KC,True,0,35,693,0,14,32,46,0,3,28,17,0,3,0,0,5,0,8,0,0,0,0,15,1,Nick,Cross,3110.0,3108.0,8.0,Signed,69.0,0.0,0.0,KC,tier_6,0.0,0.2,0.3333333333333333,4.0,0.3333333333333333,4.040404040404041,1.5333333333333334,KC,3
151,CB,Nik,Needham,Nik Needham,NYJ,True,0,27,1105,0,36,50,71,1,3,30,27,0,1,0,0,6,0,17,0,0,0,0,15,15,Nik,Needham,1922.0,1920.0,17.0,Signed,80.0,0.0,0.0,NYJ,tier_3,0.0,0.06666666666666667,0.4,7.133333333333334,0.4,2.7149321266968327,1.6,NYJ,-2
159,DT,Alfred,Collins,Alfred Collins,MIN,True,37,0,511,1,9,25,31,0,3,2,0,0,0,0,0,1,0,30,10,1,2,0,12,9,Alfred,Collins,3304.0,3302.0,30.0,Signed,74.0,0.0,0.0,MIN,tier_5,1.0,0.16666666666666666,1.0833333333333333,3.3333333333333335,0.08333333333333333,0.3913894324853229,0.08333333333333333,MIN,2
172,DT,Quinnen,Williams,Quinnen Williams,NYJ,True,39,0,1040,2,21,61,71,1,3,3,0,0,0,0,0,1,0,17,21,4,4,1,15,15,Quinnen,Williams,2859.0,2857.0,17.0,Signed,94.0,0.0,0.0,NYJ,tier_1,1.6666666666666667,0.4666666666666667,1.7333333333333334,6.133333333333334,0.06666666666666667,0.2884615384615385,0.13333333333333333,NYJ,3
184,CB,Michael,Carter II,Michael Carter II,NYJ,True,0,0,625,0,11,22,32,1,3,13,0,0,0,0,0,6,0,17,0,0,0,0,15,1,Michael,Carter II,418.0,416.0,17.0,Signed,71.0,0.0,0.0,NYJ,tier_5,0.0,0.0,0.4,2.8666666666666667,0.4,2.08,0.4666666666666667,NYJ,-1
195,SS,Jalen,Catalon,Jalen Catalon,ARI,True,0,0,464,0,13,14,16,0,3,9,0,0,0,0,0,4,0,6,1,0,0,0,14,1,Jalen,Catalon,3303.0,3301.0,6.0,Signed,71.0,0.0,0.0,ARI,tier_5,0.07142857142857142,0.0,0.35714285714285715,2.0714285714285716,0.2857142857142857,1.9396551724137931,0.35714285714285715,ARI,-1
215,CB,Kendall,Fuller,Kendall Fuller,MIN,True,0,32,913,0,24,39,47,1,3,30,32,0,1,0,0,11,0,30,0,0,0,0,14,14,Kendall,Fuller,882.0,880.0,30.0,Signed,86.0,0.0,0.0,MIN,tier_2,0.0,0.07142857142857142,0.7857142857142857,5.071428571428571,0.7857142857142857,3.285870755750274,1.3571428571428572,MIN,-1
232,CB,Tre,Herndon,Tre Herndon,NE,True,0,34,772,0,19,18,34,0,3,13,24,0,2,0,0,2,0,21,0,0,0,0,15,9,Tre,Herndon,1149.0,1147.0,21.0,Signed,75.0,0.0,0.0,NE,tier_4,0.0,0.13333333333333333,0.13333333333333333,3.533333333333333,0.13333333333333333,1.6839378238341969,0.7333333333333333,NE,-1
