Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
12,P,Brandon,Wright,Brandon Wright,HOU,0,2816,3122,0,70,21,137,0,46,3,65,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,40,0,0,1,15,Brandon,Wright,2944.0,2942.0,31.0,Signed,75.0,0.0,0.0,HOU,tier_4,,,,0.0,44.6,0.9019859064702114,HOU,0
23,P,Jack,Fox,Jack Fox,IND,0,2938,3069,0,64,22,141,0,49,3,74,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,9,52,0,0,0,15,Jack,Fox,858.0,856.0,9.0,Signed,86.0,0.0,0.0,IND,tier_2,,,,0.22727272727272727,47.953125,0.9573150863473444,IND,-3
27,K,Tristan,Vizcaino,Tristan Vizcaino,BUF,0,0,0,1,0,0,78,48,0,3,0,False,0,0,30,42,0,11,7,9,3,0,9,3,23,58,15,2,0,4,7,0,15,Tristan,Vizcaino,3009.0,3007.0,2.0,Signed,75.0,0.0,0.0,BUF,tier_4,0.7666666666666667,0.875,0.6111111111111112,,,,BUF,-7
31,P,Michael,Palardy,Michael Palardy,LAR,0,2688,2926,0,68,14,70,0,44,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,15,Michael,Palardy,2030.0,2028.0,23.0,Signed,70.0,0.0,0.0,LAR,tier_5,,,,0.0,43.029411764705884,0.9186602870813397,LAR,1
34,K,Evan,McPherson,Evan McPherson,CHI,0,0,0,2,0,0,145,44,0,3,73,False,0,0,26,42,0,10,7,8,1,0,8,1,17,54,15,0,43,2,6,0,15,Evan,McPherson,1777.0,1775.0,0.0,Signed,77.0,0.0,0.0,CHI,tier_4,0.6538461538461539,0.9545454545454546,0.47058823529411764,,,,CHI,-9
36,P,Austin,McNamara,Austin McNamara,SF,0,2466,2630,0,59,22,60,0,46,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,15,Austin,McNamara,2405.0,2403.0,14.0,Signed,75.0,0.0,0.0,SF,tier_4,,,,0.0,44.57627118644068,0.9376425855513308,SF,1
37,K,Gabe,Brkic,Gabe Brkic,HOU,0,0,0,1,0,0,54,23,0,3,0,False,0,0,31,23,0,13,10,6,2,0,6,2,24,57,15,31,0,6,10,0,15,Gabe,Brkic,2411.0,2409.0,31.0,Signed,75.0,0.0,0.0,HOU,tier_4,0.7741935483870968,1.0,0.6956521739130435,,,,HOU,0
55,P,Brett,Kern,Brett Kern,LV,0,2863,3122,0,71,26,76,0,45,3,2,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,1,15,Brett,Kern,1491.0,1489.0,22.0,Signed,73.0,0.0,0.0,LV,tier_5,,,,0.07692307692307693,43.971830985915496,0.9170403587443946,LV,0
56,K,Justin,Rohrwasser,Justin Rohrwasser,CIN,0,0,0,0,0,0,61,41,0,3,0,False,0,0,27,40,0,11,9,4,3,0,4,3,23,56,14,1,0,8,8,0,15,Justin,Rohrwasser,2264.0,2262.0,1.0,Signed,73.0,0.0,0.0,CIN,tier_5,0.8518518518518519,0.975609756097561,0.8,,,,CIN,6
61,P,Tucker,Day,Tucker Day,NYJ,0,3259,3431,0,79,25,80,0,44,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,15,Tucker,Day,3746.0,3744.0,17.0,Signed,72.0,0.0,0.0,NYJ,tier_5,,,,0.0,43.43037974683544,0.9498688429029437,NYJ,2
63,P,Michael,Turk,Michael Turk,CAR,0,2353,2617,0,60,19,58,0,46,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,15,Michael,Turk,3552.0,3550.0,20.0,Signed,73.0,0.0,0.0,CAR,tier_5,,,,0.0,43.61666666666667,0.8991211310661062,CAR,0
66,K,Jake,Elliott,Jake Elliott,PHI,0,0,0,0,0,0,14,44,0,3,0,False,0,0,20,40,0,5,3,6,6,0,5,6,16,56,5,12,0,2,3,0,12,Jake,Elliott,754.0,752.0,12.0,Signed,74.0,0.0,0.0,PHI,tier_5,0.8,0.9090909090909091,0.625,,,,PHI,-1
67,P,Adam,Williams,Adam Williams,ATL,0,2264,2475,0,58,21,142,0,44,3,80,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,13,40,0,0,0,15,Adam,Williams,3745.0,3743.0,13.0,Signed,70.0,0.0,0.0,ATL,tier_5,,,,0.047619047619047616,42.672413793103445,0.9147474747474748,ATL,0
87,K,Cairo,Santos,Cairo Santos,SF,0,0,0,0,0,0,146,36,0,3,75,False,0,0,29,31,0,10,10,4,5,0,4,5,25,53,15,14,53,6,10,0,15,Cairo,Santos,2311.0,2309.0,14.0,Signed,82.0,0.0,0.0,SF,tier_3,0.8620689655172413,0.8611111111111112,0.8,,,,SF,-5
88,P,Hunter,Niswander,Hunter Niswander,CHI,0,2739,2917,0,66,19,66,0,45,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,Hunter,Niswander,1948.0,1946.0,0.0,Signed,74.0,0.0,0.0,CHI,tier_5,,,,0.0,44.196969696969695,0.9389784024682893,CHI,4
106,K,Graham,Gano,Graham Gano,LV,0,0,0,1,0,0,138,29,0,3,71,False,0,0,36,28,0,14,8,9,5,0,9,5,25,53,15,22,46,3,8,0,15,Graham,Gano,902.0,900.0,22.0,Signed,74.0,0.0,0.0,LV,tier_5,0.6944444444444444,0.9655172413793104,0.5,,,,LV,-6
109,P,Ryan,Winslow,Ryan Winslow,BUF,0,2775,3084,0,76,18,168,0,42,3,92,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,53,0,0,0,15,Ryan,Winslow,2908.0,2906.0,2.0,Signed,63.0,0.0,0.0,BUF,tier_6,,,,0.0,40.578947368421055,0.8998054474708171,BUF,-1
113,K,Blake,Mazza,Blake Mazza,NYJ,1,0,0,1,0,0,116,27,0,3,63,False,0,0,24,24,0,8,6,1,9,0,1,8,19,53,15,17,40,4,6,0,15,Blake,Mazza,3548.0,3546.0,17.0,Signed,77.0,0.0,0.0,NYJ,tier_4,0.7916666666666666,0.8888888888888888,0.7142857142857143,,,,NYJ,-5
122,P,A.J.,Cole III,A.J. Cole III,PHI,0,1742,2108,0,45,13,99,0,58,3,88,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,12,47,0,0,0,15,A.J.,Cole III,481.0,479.0,12.0,Signed,77.0,0.0,0.0,PHI,tier_4,,,,0.23076923076923078,46.84444444444444,0.8263757115749526,PHI,-5
141,K,Jack,Podlesny,Jack Podlesny,ATL,0,0,0,1,0,0,73,41,0,3,0,False,0,0,31,39,0,9,13,3,6,0,3,6,27,56,15,13,0,5,13,0,15,Jack,Podlesny,1128.0,1126.0,13.0,Signed,67.0,0.0,0.0,ATL,tier_6,0.8709677419354839,0.9512195121951219,0.8181818181818182,,,,ATL,8
