Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
25,LG,Zion,Johnson,Zion Johnson,TB,15,0,9,1026,False,15,5,0,4,Zion,Johnson,3433.0,3431.0,5.0,Signed,82.0,0.0,0.0,TB,tier_3,8.771929824561402,TB,-4
53,C,Brandon,Linder,Brandon Linder,PHI,13,0,7,885,False,13,12,0,4,Brandon,Linder,1610.0,1608.0,12.0,Signed,71.0,0.0,0.0,PHI,tier_5,7.909604519774011,PHI,-6
55,LT,Charles,Cross,Charles Cross,LV,11,0,11,752,False,11,22,0,4,Charles,Cross,3354.0,3352.0,22.0,Signed,80.0,0.0,0.0,LV,tier_3,14.627659574468085,LV,-3
65,RG,Ike,Boettger,Ike Boettger,DET,15,0,3,1014,False,15,18,0,4,Ike,Boettger,224.0,222.0,18.0,Signed,72.0,0.0,0.0,DET,tier_5,2.9585798816568047,DET,0
101,LT,Walker,Little,Walker Little,MIA,15,0,10,1055,False,15,11,0,4,Walker,Little,1615.0,1613.0,11.0,Signed,91.0,0.0,0.0,MIA,tier_1,9.47867298578199,MIA,-1
104,LT,Tyrone,Weber,Tyrone Weber,DET,6,0,3,479,False,13,18,0,4,Tyrone,Weber,2432.0,2430.0,18.0,Signed,64.0,0.0,0.0,DET,tier_6,6.263048016701462,DET,4
116,C,Keegan,Cryder,Keegan Cryder,DET,6,0,3,458,False,10,18,0,4,Keegan,Cryder,3561.0,3559.0,18.0,Signed,67.0,0.0,0.0,DET,tier_6,6.550218340611353,DET,-5
132,C,Ben,Brown,Ben Brown,SEA,15,0,3,1008,False,15,27,0,4,Ben,Brown,3452.0,3450.0,27.0,Signed,81.0,0.0,0.0,SEA,tier_3,2.976190476190476,SEA,-1
167,RG,Ben,Bredeson,Ben Bredeson,MIA,15,0,0,990,False,15,11,0,4,Ben,Bredeson,275.0,273.0,11.0,Signed,69.0,0.0,0.0,MIA,tier_6,0.0,MIA,12
183,LG,Ereck,Flowers,Ereck Flowers,NYG,15,0,12,998,False,15,15,0,4,Ereck,Flowers,830.0,828.0,15.0,Signed,72.0,0.0,0.0,NYG,tier_5,12.024048096192384,NYG,-6
199,C,David,Andrews,David Andrews,NE,15,0,3,984,False,15,21,0,4,David,Andrews,73.0,71.0,21.0,Signed,72.0,0.0,0.0,NE,tier_5,3.048780487804878,NE,0
221,RG,Asim,Richards,Asim Richards,LV,15,0,4,1151,False,15,22,0,4,Asim,Richards,3191.0,3189.0,22.0,Signed,81.0,0.0,0.0,LV,tier_3,3.475238922675934,LV,-4
223,RG,Donovan,Jackson,Donovan Jackson,NE,15,0,2,1008,False,15,21,0,4,Donovan,Jackson,2372.0,2370.0,21.0,Signed,72.0,0.0,0.0,NE,tier_5,1.984126984126984,NE,2
286,LG,Beaux,Limmer,Beaux Limmer,CAR,15,0,8,1047,False,15,20,0,4,Beaux,Limmer,2575.0,2573.0,20.0,Signed,85.0,0.0,0.0,CAR,tier_2,7.640878701050621,CAR,-6
