Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPerGame,ScrimmageTDsPerGame,TeamName_y,SkillPointOff
21,HB,Miles,Sanders,Miles Sanders,HOU,8,0,0,0,4,4,89,2,True,0,3,0,0,1,0,0,4,4,0,0,0,0,0,0,0,15,1,0,31,1,Miles,Sanders,2309.0,2307.0,31.0,Signed,70.0,0.0,0.0,HOU,tier_5,0.8,0.06666666666666667,HOU,-1.0
31,WR,Tetairoa,McMillan,Tetairoa McMillan,KC,0,0,0,0,436,28,424,150,True,0,0,0,0,31,0,0,4,0,0,1,0,0,0,0,5,11,9,0,8,0,Tetairoa,McMillan,2758.0,2756.0,8.0,Signed,74.0,1.0,0.0,KC,tier_5,39.63636363636363,0.45454545454545453,KC,4.0
42,WR,Kyle,Phillips,Kyle Phillips,NYJ,0,0,5,0,569,28,739,256,True,0,0,0,0,46,0,0,4,0,0,2,0,0,0,0,4,15,15,0,17,0,Kyle,Phillips,3455.0,3453.0,17.0,Signed,74.0,0.0,0.0,NYJ,tier_5,37.93333333333333,0.26666666666666666,NYJ,0.0
46,WR,Rakim,Jarrett,Rakim Jarrett,CIN,44,0,6,0,475,21,637,191,True,0,15,0,0,42,0,0,4,4,0,0,0,0,0,0,1,15,3,0,1,0,Rakim,Jarrett,648.0,646.0,1.0,Signed,71.0,0.0,0.0,CIN,tier_5,34.6,0.06666666666666667,CIN,-1.0
64,WR,Marquez,Callaway,Marquez Callaway,NO,25,0,2,0,726,27,870,233,True,0,9,0,0,52,0,0,4,4,0,0,0,0,0,0,5,15,15,0,26,0,Marquez,Callaway,390.0,388.0,26.0,Signed,78.0,0.0,0.0,NO,tier_4,50.06666666666667,0.3333333333333333,NO,-1.0
75,TE,Charlie,Woerner,Charlie Woerner,KC,0,0,0,0,63,10,496,48,True,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,15,3,0,8,0,Charlie,Woerner,2918.0,2916.0,8.0,Signed,68.0,0.0,0.0,KC,tier_6,4.2,0.0,KC,0.0
78,WR,Tee,Higgins,Tee Higgins,CIN,23,0,0,0,1138,27,923,397,True,0,10,0,0,82,0,0,4,4,0,0,0,0,0,0,10,15,15,0,1,0,Tee,Higgins,1161.0,1159.0,1.0,Signed,92.0,0.0,0.0,CIN,tier_1,77.4,0.6666666666666666,CIN,3.0
80,WR,Jaylen,Waddle,Jaylen Waddle,MIA,0,0,1,0,739,23,603,264,True,0,0,0,0,59,0,0,4,0,0,0,0,0,0,0,4,10,10,0,11,0,Jaylen,Waddle,2718.0,2716.0,11.0,Signed,96.0,0.0,0.0,MIA,tier_0,73.9,0.4,MIA,-2.0
97,TE,Harrison,Bryant,Harrison Bryant,CLE,0,0,2,0,729,22,1208,328,True,0,0,0,0,71,0,0,4,0,0,1,0,0,0,0,7,15,15,0,4,0,Harrison,Bryant,339.0,337.0,4.0,Signed,69.0,0.0,0.0,CLE,tier_6,48.6,0.4666666666666667,CLE,10.0
99,TE,David,Njoku,David Njoku,ARI,0,0,3,0,697,26,1117,346,True,0,0,0,0,64,0,0,4,0,0,3,0,0,0,0,0,15,15,0,6,0,David,Njoku,1952.0,1950.0,6.0,Signed,79.0,0.0,0.0,ARI,tier_4,46.46666666666667,0.0,ARI,-2.0
103,WR,Jake,Smith,Jake Smith,BAL,5,0,1,0,530,24,592,229,True,0,3,0,0,43,0,0,4,3,0,0,0,0,0,0,4,15,15,0,24,0,Jake,Smith,3217.0,3215.0,24.0,Signed,71.0,0.0,0.0,BAL,tier_5,35.666666666666664,0.26666666666666666,BAL,0.0
113,WR,Devin,Duvernay,Devin Duvernay,ATL,0,0,1,0,922,27,934,324,True,0,0,0,0,71,0,0,4,0,0,0,0,0,0,0,4,15,15,0,13,0,Devin,Duvernay,712.0,710.0,13.0,Signed,82.0,0.0,0.0,ATL,tier_3,61.46666666666667,0.26666666666666666,ATL,-2.0
118,HB,Jermar,Jefferson,Jermar Jefferson,HOU,175,0,0,13,69,18,196,44,True,0,61,0,0,7,0,0,4,16,0,2,0,0,0,0,1,13,1,4,31,0,Jermar,Jefferson,1337.0,1335.0,31.0,Signed,69.0,0.0,0.0,HOU,tier_6,18.76923076923077,0.07692307692307693,HOU,-2.0
128,WR,Tyler,Boyd,Tyler Boyd,DAL,4,0,1,0,445,26,681,163,True,0,1,0,0,37,0,0,4,4,0,1,0,0,0,0,2,13,13,0,10,0,Tyler,Boyd,255.0,253.0,10.0,Signed,77.0,0.0,0.0,DAL,tier_4,34.53846153846154,0.15384615384615385,DAL,-3.0
