FullName,Position,TeamName,SkillPointOff
A.J. Brown,WR,TEN,3
A.J. Henning,WR,TB,0
AJ Barner,TE,NE,2
Adam Shaheen,TE,WAS,0
Adam Trautman,TE,NO,-4
Agiye Hall,WR,LAC,3
Ainias Smith,WR,CHI,4
Albert Okwuegbunam,TE,TB,1
Alexander Mattison,HB,GB,2
Allen Lazard,WR,ATL,2
Allen Robinson II,WR,CHI,-2
Alton McCaskill,HB,SF,2
Amari Cooper,WR,CLE,5
Amari Rodgers,WR,GB,3
Andy Isabella,WR,JAX,0
Anthony McFarland,HB,BAL,0
Anthony Williams Jr.,HB,DEN,1
Antonio Gibson,HB,WAS,1
Arik Gilbert,TE,ATL,-3
Armani Winfield,WR,WAS,-6
Auden Tate,WR,SEA,-5
Austin Hooper,TE,TEN,-1
Austin Stonger,TE,NYJ,1
Beaux Collins,WR,LAR,-2
Benny Snell,HB,ARI,3
Bijan Robinson,HB,JAX,8
Blake Corum,HB,LV,0
Braden Galloway,TE,GB,2
Braelon Allen,HB,ATL,2
Brandon Aiyuk,WR,TEN,5
Brant Kuithe,TE,NYJ,0
Breece Hall,HB,HOU,5
Brenton Strange,TE,LV,0
Brevin Jordan,TE,SF,0
Brian Thomas Jr,WR,WAS,-2
Briley Moore,TE,TEN,-5
Bru McCoy,WR,LV,-2
C.J. Johnson,WR,CAR,0
C.J. Williams,WR,ATL,-3
CJ Verdel,HB,MIA,3
Cade Otton,TE,NYJ,1
Caleb Burton,WR,ARI,-2
Cam Akers,HB,TEN,-8
Camar Wheaton,HB,PHI,-4
Cameron Brady,WR,MIA,0
CeeDee Lamb,WR,DAL,-2
Charles Njoku,WR,DET,0
Charlie Kolar,TE,DAL,0
Charlie Taumoepeau,TE,CLE,1
Charlie Woerner,TE,KC,0
Chase Claypool,WR,LAR,0
Chase Lane,WR,SEA,4
Chris Godwin,WR,TB,1
Chris Olave,WR,GB,1
Chris Smith,HB,DAL,0
Chris Tyree,HB,TB,0
Christian Kirk,WR,DEN,1
Christian McCaffrey,HB,CAR,-3
Chuba Hubbard,HB,CHI,3
Cole Kmet,TE,CHI,2
Cole Turner,TE,SEA,0
Courtland Sutton,WR,DEN,5
Curtis Samuel,WR,BUF,4
D'Andre Swift,HB,DET,-4
D.J. Chark Jr,WR,LAC,0
D.J. Moore,WR,CAR,-1
D.K. Metcalf,WR,SEA,1
Da'Kendall James,WR,JAX,0
Dallas Goedert,TE,PHI,1
Dalton Schultz,TE,DAL,7
Dalvin Cook,HB,PIT,0
Damien Harris,HB,NE,0
Damir Collins,HB,NE,-1
Darius Slayton,WR,HOU,-1
Darnell Mooney,WR,SF,-1
Darnell Washington,TE,PIT,0
Darren Waller,TE,LV,1
Davante Adams,WR,NYJ,3
David Bell,WR,NO,-1
David Njoku,TE,ARI,-2
Dawson Knox,TE,BUF,0
De'Andre Bulley,HB,PHI,0
DeAndre Hopkins,WR,ARI,0
DeVonta Smith,WR,IND,0
Deebo Samuel,WR,SF,1
Deion Hankins,HB,DET,0
Denzel Mims,WR,NE,-2
Deuce Vaughn,HB,TEN,-3
Devin Duvernay,WR,ATL,-2
Devin Singletary,HB,BUF,-1
Devyn Ford,HB,LAR,1
Diontae Johnson,WR,PIT,4
Dominick Blaylock,WR,NYG,2
Donovan Edwards,HB,DAL,10
Dont'e Thornton,WR,TEN,0
Dontay Demus Jr.,WR,NYJ,-2
Drake London,WR,KC,-3
Drew Sample,TE,LAR,-2
Dyami Brown,WR,WAS,-4
Dylan Soehner,TE,PHI,-3
E.J. Williams,WR,ATL,0
Easton Dean,TE,LAR,0
Elijah Collins,HB,NYJ,-2
Elijah Moore,WR,NYJ,0
Emeka Egubka,WR,SF,-2
Emmanuel Henderson,HB,BUF,-1
Erick All,TE,DET,0
Erik Ezukanma,WR,PIT,0
Evan Engram,TE,NYG,4
Evan Stewart,WR,NE,-2
Ezekiel Elliott,HB,SEA,3
Foster Moreau,TE,CIN,-1
Frank Gore Jr,HB,GB,0
Gabriel Davis,WR,DEN,1
Garrett Wilson,WR,PHI,0
George Kittle,TE,SF,-1
Harris Parks,TE,LAC,0
Harrison Bryant,TE,CLE,10
Hayden Rucci,TE,WAS,0
Henry Parish Jr.,HB,CHI,0
Hudson Henry,TE,KC,1
Hunter Henry,TE,HOU,6
Hunter Renfrow,WR,LV,10
Irv Smith Jr,TE,MIN,1
Isaac Rex,TE,CAR,2
Isaiah Spiller,HB,NE,-6
J.J. Pegues,TE,CHI,0
J.Michael Sturdivant,WR,LAR,0
Ja'Marr Chase,WR,CIN,2
Ja'Tavion Sanders,TE,HOU,-2
