Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
5,DT,Steven,Person,Steven Person,BAL,True,49,0,356,1,3,11,18,0,7,0,0,0,0,0,0,0,0,24,7,1,3,0,14,6,Steven,Person,770.0,768.0,0.0,24.0,Signed,70.0,0.0,0.0,BAL,tier_5,28.089887640449437,5.617977528089887,28.089887640449437,58.98876404494382,0.0,0.0,0.0,BAL,8
11,DT,Alfred,Collins,Alfred Collins,BUF,True,16,0,819,1,13,33,38,0,7,0,0,1,0,0,0,0,0,2,13,1,5,1,15,15,Alfred,Collins,3304.0,3302.0,5.0,2.0,Signed,81.0,0.0,0.0,BUF,tier_3,21.978021978021978,4.884004884004884,21.978021978021978,62.27106227106227,0.0,0.0,0.0,BUF,2
22,DT,Savion,Collins,Savion Collins,ATL,True,34,0,813,1,17,30,49,0,7,0,0,0,0,0,0,1,0,13,13,1,3,0,15,4,Savion,Collins,153.0,151.0,3.0,13.0,Signed,67.0,0.0,0.0,ATL,tier_6,19.68019680196802,2.4600246002460024,20.910209102091024,81.18081180811808,1.2300123001230012,0.0,-0.06666666666666667,ATL,0
26,CB,Charles,Lester III,Charles Lester III,NYJ,True,0,44,396,0,6,9,13,1,7,5,29,0,2,0,0,1,0,17,0,0,0,0,15,3,Charles,Lester III,1406.0,1404.0,1.0,17.0,Signed,70.0,0.0,0.0,NYJ,tier_5,0.0,5.050505050505051,2.5252525252525255,47.97979797979798,2.5252525252525255,1.2626262626262625,0.26666666666666666,NYJ,0
32,CB,Michael,Johnston,Michael Johnston,JAX,True,0,0,703,0,21,29,42,0,7,21,0,0,0,0,0,10,0,16,0,0,0,0,11,11,Michael,Johnston,234.0,232.0,0.0,16.0,Signed,78.0,0.0,0.0,JAX,tier_4,0.0,0.0,14.22475106685633,89.61593172119488,14.22475106685633,2.987197724039829,1.0,JAX,0
34,MLB,Tremaine,Edmunds,Tremaine Edmunds,TB,True,0,0,785,0,22,48,56,1,7,21,0,0,0,0,0,5,0,5,1,0,0,0,12,4,Tremaine,Edmunds,725.0,723.0,10.0,5.0,Signed,82.0,0.0,0.0,TB,tier_3,1.2738853503184713,0.0,7.643312101910828,99.36305732484077,6.369426751592357,2.67515923566879,1.3333333333333333,TB,-7
49,MLB,Cameron,Pizzo,Cameron Pizzo,DAL,True,0,0,368,0,7,10,15,0,7,2,0,0,0,0,0,0,0,10,0,0,0,0,15,6,Cameron,Pizzo,819.0,817.0,0.0,10.0,Signed,68.0,0.0,0.0,DAL,tier_6,0.0,0.0,0.0,59.78260869565218,0.0,0.5434782608695652,0.13333333333333333,DAL,-3
58,LE,Bax,Anaele,Bax Anaele,CHI,True,0,0,805,0,21,29,45,1,7,0,0,0,0,0,0,1,0,0,19,0,6,0,15,15,Bax,Anaele,2639.0,2637.0,3.0,0.0,Signed,76.0,0.0,0.0,CHI,tier_4,31.055900621118013,0.0,32.298136645962735,81.98757763975155,1.2422360248447206,0.0,-0.06666666666666667,CHI,6
59,SS,Grant,Delpit,Grant Delpit,CHI,True,0,52,925,0,23,39,46,0,7,15,27,0,2,1,0,8,0,0,0,0,1,0,13,13,Grant,Delpit,642.0,640.0,8.0,0.0,Signed,84.0,0.0,0.0,CHI,tier_3,1.0810810810810811,3.243243243243243,9.72972972972973,74.5945945945946,8.64864864864865,1.6216216216216217,0.5384615384615384,CHI,0
67,FS,TJ,Carter,TJ Carter,PHI,True,0,19,849,0,40,0,35,0,7,0,19,0,1,0,0,3,0,12,4,1,1,0,15,15,TJ,Carter,3480.0,3478.0,6.0,12.0,Signed,79.0,0.0,0.0,PHI,tier_4,5.889281507656066,2.3557126030624262,9.422850412249705,88.33922261484099,3.5335689045936394,0.0,-0.2,PHI,7
86,MLB,Edeufan,Ulofoshio,Edeufan Ulofoshio,LV,True,0,7,1080,0,31,71,92,0,7,36,7,0,1,0,0,7,0,22,3,0,1,0,15,15,Edeufan,Ulofoshio,3212.0,3210.0,5.0,22.0,Signed,82.0,0.0,0.0,LV,tier_3,3.7037037037037037,0.9259259259259259,10.185185185185187,113.88888888888889,6.481481481481481,3.3333333333333335,1.9333333333333333,LV,-2
95,LE,Carlos,Basham Jr,Carlos Basham Jr,CIN,True,87,0,821,1,19,14,23,0,7,1,0,0,0,0,0,1,0,1,5,0,6,1,15,3,Carlos,Basham Jr,147.0,145.0,7.0,1.0,Signed,70.0,0.0,0.0,CIN,tier_5,13.398294762484774,2.4360535931790497,14.616321559074299,51.15712545676005,1.2180267965895248,0.12180267965895249,0.0,CIN,-3
98,ROLB,Adam,Anderson,Adam Anderson,MIA,True,26,0,1053,1,32,40,45,0,7,11,0,0,0,0,0,2,0,11,7,2,7,1,15,15,Adam,Anderson,3317.0,3315.0,6.0,11.0,Signed,83.0,0.0,0.0,MIA,tier_3,13.295346628679962,3.7986704653371324,15.19468186134853,73.1244064577398,1.8993352326685662,1.0446343779677114,0.6,MIA,0
102,CB,Omillio,Agard,Omillio Agard,CIN,True,0,0,626,0,20,33,44,0,7,27,0,0,1,0,0,5,0,1,0,0,0,0,12,12,Omillio,Agard,2520.0,2518.0,1.0,1.0,Signed,78.0,0.0,0.0,CIN,tier_4,0.0,1.5974440894568689,7.987220447284344,102.23642172523961,7.987220447284344,4.313099041533546,1.8333333333333333,CIN,-4
137,CB,Marcus,Washington,Marcus Washington,DAL,True,0,34,790,0,12,27,42,1,7,21,32,0,2,0,0,9,0,10,0,0,0,0,12,5,Marcus,Washington,3033.0,3031.0,1.0,10.0,Signed,77.0,0.0,0.0,DAL,tier_4,0.0,2.5316455696202533,11.39240506329114,68.35443037974684,11.39240506329114,2.6582278481012658,1.0,DAL,0
146,SS,Kolby,Harvell-Peel,Kolby Harvell-Peel,TEN,True,35,16,1036,2,19,33,56,0,7,23,16,0,1,0,0,9,0,29,0,2,1,0,15,15,Kolby,Harvell-Peel,3372.0,3370.0,6.0,29.0,Signed,72.0,0.0,0.0,TEN,tier_5,0.9652509652509653,4.826254826254826,9.652509652509652,72.39382239382239,8.687258687258687,2.2200772200772203,0.9333333333333333,TEN,1
148,FS,Zakee,Wheatley,Zakee Wheatley,CHI,True,48,37,1066,1,33,34,55,1,7,19,21,0,2,0,0,8,0,0,2,1,2,0,15,8,Zakee,Wheatley,2866.0,2864.0,2.0,0.0,Signed,73.0,0.0,0.0,CHI,tier_5,3.75234521575985,3.75234521575985,11.25703564727955,82.55159474671669,7.5046904315197,1.7823639774859286,0.7333333333333333,CHI,7
157,CB,De'Jahn,Warren,De'Jahn Warren,TB,True,0,0,745,0,16,19,24,1,7,9,0,0,0,0,0,4,0,5,1,0,1,0,14,3,De'Jahn,Warren,3154.0,3152.0,5.0,5.0,Signed,72.0,0.0,0.0,TB,tier_5,2.6845637583892614,0.0,8.053691275167786,53.691275167785236,5.369127516778523,1.2080536912751678,0.35714285714285715,TB,-2
162,DT,Mike,Hall,Mike Hall,JAX,True,0,0,354,0,5,16,23,0,7,0,0,0,0,0,0,0,0,16,5,0,2,0,13,3,Mike,Hall,1920.0,1918.0,4.0,16.0,Signed,74.0,0.0,0.0,JAX,tier_5,19.77401129943503,0.0,19.77401129943503,79.09604519774012,0.0,0.0,0.0,JAX,-2
167,FS,Sam,McCall,Sam McCall,SF,True,0,18,374,0,7,10,16,0,7,2,18,0,1,0,0,2,0,14,0,1,0,0,15,4,Sam,McCall,1700.0,1698.0,2.0,14.0,Signed,69.0,0.0,0.0,SF,tier_6,0.0,5.347593582887701,5.347593582887701,61.49732620320856,5.347593582887701,0.53475935828877,0.0,SF,4
178,MLB,Kadofi,Wright,Kadofi Wright,MIA,True,0,20,1020,0,37,67,82,1,7,39,20,0,1,0,0,12,0,11,3,1,1,0,15,15,Kadofi,Wright,3393.0,3391.0,6.0,11.0,Signed,83.0,0.0,0.0,MIA,tier_3,3.9215686274509802,1.9607843137254901,15.686274509803921,116.66666666666667,11.76470588235294,3.823529411764706,1.8,MIA,2
186,RE,Nick,Bosa,Nick Bosa,BAL,True,20,0,1003,1,29,37,44,0,7,1,0,0,0,0,0,2,0,24,16,1,13,0,15,15,Nick,Bosa,242.0,240.0,9.0,24.0,Signed,86.0,0.0,0.0,BAL,tier_2,28.913260219341975,1.9940179461615153,30.907278165503488,72.78165503489531,1.9940179461615153,0.09970089730807577,-0.06666666666666667,BAL,0
190,CB,Jaylon,Jones,Jaylon Jones,PHI,True,0,88,831,0,29,0,36,0,7,0,64,0,4,1,0,33,0,12,2,1,1,0,15,15,Jaylon,Jones,3288.0,3286.0,5.0,12.0,Signed,97.0,0.0,0.0,PHI,tier_0,3.6101083032490977,7.220216606498195,43.32129963898917,78.21901323706378,39.711191335740075,0.0,-2.2,PHI,4
191,RE,Zion,Tupuola-Fetui,Zion Tupuola-Fetui,NE,True,8,0,593,1,14,17,23,1,7,0,0,0,0,0,0,0,0,21,8,1,2,0,15,15,Zion,Tupuola-Fetui,3348.0,3346.0,6.0,21.0,Signed,73.0,0.0,0.0,NE,tier_5,16.863406408094434,3.372681281618887,16.863406408094434,62.394603709949415,0.0,0.0,0.0,NE,-2
197,CB,Caleb,Presley,Caleb Presley,WAS,True,0,0,394,0,7,8,15,0,7,5,0,0,1,0,0,6,0,25,0,0,0,0,15,4,Caleb,Presley,1823.0,1821.0,1.0,25.0,Signed,71.0,0.0,0.0,WAS,tier_5,0.0,2.5380710659898473,15.228426395939087,55.83756345177665,15.228426395939087,1.2690355329949239,-0.06666666666666667,WAS,3
212,ROLB,Jahfari,Harvey,Jahfari Harvey,WAS,True,0,0,472,0,6,17,27,1,7,6,0,0,0,0,0,0,0,25,5,0,2,0,15,15,Jahfari,Harvey,3236.0,3234.0,5.0,25.0,Signed,74.0,0.0,0.0,WAS,tier_5,14.830508474576272,0.0,14.830508474576272,69.91525423728812,0.0,1.2711864406779663,0.4,WAS,1
213,LOLB,Keon,Keeley,Keon Keeley,SF,True,0,0,523,0,6,9,15,0,7,0,0,0,0,0,0,0,0,14,2,1,5,0,15,4,Keon,Keeley,2227.0,2225.0,1.0,14.0,Signed,67.0,0.0,0.0,SF,tier_6,13.38432122370937,1.9120458891013383,13.38432122370937,40.152963671128106,0.0,0.0,0.0,SF,3
220,CB,Cameron,McCuthcehon,Cameron McCuthcehon,IND,True,0,49,1066,0,25,49,64,1,7,39,31,0,3,0,0,13,0,9,0,0,0,0,15,10,Cameron,McCuthcehon,3435.0,3433.0,6.0,9.0,Signed,73.0,0.0,0.0,IND,tier_5,0.0,2.8142589118198873,12.195121951219512,83.48968105065666,12.195121951219512,3.6585365853658534,1.7333333333333334,IND,-1
232,ROLB,David,Bailey,David Bailey,PHI,True,0,0,305,0,7,0,7,0,7,0,0,0,0,0,0,1,0,12,4,0,3,0,15,15,David,Bailey,337.0,335.0,2.0,12.0,Signed,70.0,0.0,0.0,PHI,tier_5,22.950819672131146,0.0,26.229508196721312,45.90163934426229,3.278688524590164,0.0,-0.06666666666666667,PHI,4
236,MLB,Josh,Calvert,Josh Calvert,TEN,True,0,35,587,0,13,16,30,1,7,11,23,0,2,0,0,5,0,29,0,0,0,0,12,7,Josh,Calvert,2145.0,2143.0,4.0,29.0,Signed,68.0,0.0,0.0,TEN,tier_6,0.0,3.4071550255536627,8.517887563884157,73.25383304940375,8.517887563884157,1.8739352640545146,0.5,TEN,3
238,LOLB,Anto,Saka,Anto Saka,CAR,True,0,0,372,0,3,2,4,0,7,0,0,0,0,0,0,0,0,20,0,0,0,0,15,3,Anto,Saka,2252.0,2250.0,1.0,20.0,Signed,63.0,0.0,0.0,CAR,tier_6,0.0,0.0,0.0,18.817204301075268,0.0,0.0,0.0,CAR,-2
249,MLB,Levi,Draper,Levi Draper,CHI,True,0,0,582,0,16,21,34,0,7,16,0,0,0,0,0,9,0,0,0,0,1,0,15,8,Levi,Draper,3617.0,3615.0,6.0,0.0,Signed,69.0,0.0,0.0,CHI,tier_6,1.7182130584192439,0.0,17.182130584192443,85.91065292096219,15.463917525773196,2.7491408934707904,0.4666666666666667,CHI,4
286,LOLB,Dishawn,Misa,Dishawn Misa,LV,True,0,0,461,0,4,5,7,0,7,4,0,0,0,0,0,3,0,22,0,0,1,0,15,3,Dishawn,Misa,2287.0,2285.0,1.0,22.0,Signed,67.0,0.0,0.0,LV,tier_6,2.1691973969631237,0.0,8.676789587852495,23.86117136659436,6.507592190889371,0.8676789587852495,0.06666666666666667,LV,1
288,CB,Derek,Stingley Jr.,Derek Stingley Jr.,HOU,True,0,0,1065,0,18,40,46,0,7,27,0,0,0,0,0,8,0,31,0,0,1,0,15,2,Derek,Stingley Jr.,3305.0,3303.0,6.0,31.0,Signed,81.0,0.0,0.0,HOU,tier_3,0.9389671361502347,0.0,8.450704225352112,60.093896713615024,7.511737089201878,2.535211267605634,1.2666666666666666,HOU,-3
289,LE,Blayne,Toll,Blayne Toll,LAR,True,0,0,323,0,8,18,20,1,7,1,0,0,0,0,0,1,0,23,7,0,3,0,12,3,Blayne,Toll,1116.0,1114.0,3.0,23.0,Signed,70.0,0.0,0.0,LAR,tier_5,30.959752321981423,0.0,34.05572755417956,86.687306501548,3.0959752321981426,0.30959752321981426,0.0,LAR,7
312,MLB,Ellis,Brooks,Ellis Brooks,ATL,True,34,40,959,1,42,35,63,1,7,17,16,0,3,1,0,4,0,13,1,1,3,0,15,6,Ellis,Brooks,3465.0,3463.0,6.0,13.0,Signed,68.0,0.0,0.0,ATL,tier_6,4.1710114702815435,6.256517205422315,8.342022940563087,109.48905109489051,4.1710114702815435,1.7726798748696557,0.8666666666666667,ATL,10
319,CB,Justyn,Rhett,Justyn Rhett,DAL,True,0,28,665,0,19,15,24,1,7,12,28,0,1,0,0,5,0,10,0,0,0,0,15,3,Justyn,Rhett,2626.0,2624.0,2.0,10.0,Signed,70.0,0.0,0.0,DAL,tier_5,0.0,1.5037593984962407,7.518796992481203,64.66165413533835,7.518796992481203,1.8045112781954888,0.4666666666666667,DAL,-1
322,MLB,Noah,Sewell,Noah Sewell,MIA,True,14,0,987,1,31,49,60,1,7,23,0,0,0,0,0,3,0,11,2,1,3,0,15,3,Noah,Sewell,1367.0,1365.0,5.0,11.0,Signed,78.0,0.0,0.0,MIA,tier_4,5.065856129685917,2.026342451874367,8.105369807497468,92.19858156028369,3.0395136778115504,2.330293819655522,1.3333333333333333,MIA,0
324,FS,Brandon,Joseph,Brandon Joseph,NYJ,True,0,76,1071,0,41,36,40,0,7,11,38,0,4,0,0,4,0,17,0,0,0,0,15,15,Brandon,Joseph,3327.0,3325.0,6.0,17.0,Signed,93.0,0.0,0.0,NYJ,tier_1,0.0,3.734827264239029,3.734827264239029,75.63025210084034,3.734827264239029,1.0270774976657329,0.4666666666666667,NYJ,1
325,LOLB,Christian,Burkhalter,Christian Burkhalter,BAL,True,0,0,328,0,3,6,8,0,7,1,0,0,0,0,0,1,0,24,1,0,0,0,15,5,Christian,Burkhalter,631.0,629.0,2.0,24.0,Signed,69.0,0.0,0.0,BAL,tier_6,3.048780487804878,0.0,6.097560975609756,33.53658536585366,3.048780487804878,0.3048780487804878,0.0,BAL,0
338,CB,Isaiah,Oliver,Isaiah Oliver,ATL,True,0,0,1017,0,21,38,57,0,7,24,0,0,0,0,0,8,0,13,0,0,0,0,15,15,Isaiah,Oliver,1996.0,1994.0,10.0,13.0,Signed,74.0,0.0,0.0,ATL,tier_5,0.0,0.0,7.866273352999017,76.6961651917404,7.866273352999017,2.359882005899705,1.0666666666666667,ATL,-2
344,ROLB,Jihaad,Campbell,Jihaad Campbell,JAX,True,0,0,798,0,19,25,35,1,7,8,0,0,0,0,0,2,0,16,2,0,6,0,15,15,Jihaad,Campbell,1134.0,1132.0,2.0,16.0,Signed,70.0,0.0,0.0,JAX,tier_5,10.025062656641603,0.0,12.531328320802004,67.66917293233082,2.506265664160401,1.0025062656641603,0.4,JAX,1
352,MLB,Fred,Warner,Fred Warner,SF,True,3,7,1257,1,31,58,76,1,7,37,7,0,1,0,0,20,0,14,1,1,0,0,15,4,Fred,Warner,2750.0,2748.0,10.0,14.0,Signed,78.0,0.0,0.0,SF,tier_4,0.7955449482895784,2.3866348448687353,16.706443914081145,85.12330946698489,15.910898965791567,2.94351630867144,1.1333333333333333,SF,2
353,CB,Damarius,McGhee,Damarius McGhee,CIN,True,0,36,856,0,14,20,26,1,7,17,36,0,1,0,0,6,0,1,0,0,0,0,15,3,Damarius,McGhee,2103.0,2101.0,2.0,1.0,Signed,74.0,0.0,0.0,CIN,tier_5,0.0,1.1682242990654206,7.009345794392523,46.72897196261682,7.009345794392523,1.9859813084112148,0.7333333333333333,CIN,-2
371,CB,Tyreek,Chappell,Tyreek Chappell,WAS,True,0,45,1023,0,22,34,48,0,7,20,25,0,4,0,0,14,0,25,0,0,0,0,15,15,Tyreek,Chappell,116.0,114.0,3.0,25.0,Signed,78.0,0.0,0.0,WAS,tier_4,0.0,3.9100684261974585,13.685239491691105,68.42619745845552,13.685239491691105,1.9550342130987293,0.4,WAS,2
372,CB,Jaylon,Johnson,Jaylon Johnson,NYJ,True,0,63,634,0,11,26,33,0,7,17,39,0,3,0,0,6,0,17,0,0,1,0,10,10,Jaylon,Johnson,1379.0,1377.0,8.0,17.0,Signed,87.0,0.0,0.0,NYJ,tier_2,1.5772870662460567,4.73186119873817,11.041009463722398,69.4006309148265,9.46372239747634,2.6813880126182967,1.1,NYJ,1
377,ROLB,Matayo,Uiagalelei,Matayo Uiagalelei,NYJ,True,0,0,346,0,2,7,11,0,7,2,0,0,0,0,0,1,0,17,0,0,0,0,15,7,Matayo,Uiagalelei,2778.0,2776.0,2.0,17.0,Signed,67.0,0.0,0.0,NYJ,tier_6,0.0,0.0,2.890173410404624,37.57225433526012,2.890173410404624,0.5780346820809248,0.06666666666666667,NYJ,0
385,CB,Greg,Newsome II,Greg Newsome II,LAR,True,0,66,1044,0,14,32,49,1,7,27,37,0,2,0,0,14,0,23,0,0,0,0,15,15,Greg,Newsome II,1934.0,1932.0,7.0,23.0,Signed,82.0,0.0,0.0,LAR,tier_3,0.0,1.9157088122605364,13.409961685823756,60.3448275862069,13.409961685823756,2.586206896551724,0.8666666666666667,LAR,1
393,CB,Greedy,Williams,Greedy Williams,PHI,True,0,0,582,0,15,0,28,0,7,0,0,0,0,0,0,9,0,12,4,0,0,0,11,11,Greedy,Williams,2843.0,2841.0,9.0,12.0,Signed,94.0,0.0,0.0,PHI,tier_1,6.8728522336769755,0.0,22.33676975945017,73.8831615120275,15.463917525773196,0.0,-0.8181818181818182,PHI,0
398,SS,Jordan,Fuller,Jordan Fuller,LAR,True,0,48,1045,0,35,41,62,1,7,26,26,0,2,0,0,12,0,23,3,0,0,0,15,15,Jordan,Fuller,881.0,879.0,8.0,23.0,Signed,68.0,0.0,0.0,LAR,tier_6,2.8708133971291865,1.9138755980861244,14.354066985645934,92.82296650717703,11.483253588516746,2.488038277511962,0.9333333333333333,LAR,10
399,ROLB,Josh,Allen,Josh Allen,LV,True,31,21,1269,1,38,57,75,1,7,24,20,0,2,0,0,10,0,22,1,1,0,0,15,15,Josh,Allen,47.0,45.0,9.0,22.0,Signed,76.0,0.0,0.0,LV,tier_4,0.7880220646178093,3.1520882584712373,8.668242710795903,89.04649330181246,7.880220646178092,1.8912529550827424,0.9333333333333333,LV,1
409,SS,Brandon,Hill,Brandon Hill,MIA,True,0,6,1032,0,26,44,66,0,7,32,6,0,1,0,0,7,0,11,2,0,0,0,15,15,Brandon,Hill,1895.0,1893.0,4.0,11.0,Signed,67.0,0.0,0.0,MIA,tier_6,1.937984496124031,0.9689922480620154,8.720930232558139,89.14728682170544,6.782945736434108,3.10077519379845,1.6666666666666667,MIA,2
