Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,TeamIndex,ContractStatus,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
3,LT,Nolan,Rucci,Nolan Rucci,WAS,15,0,16,1027,False,15,25,0,7,Nolan,Rucci,1782.0,1780.0,4.0,25.0,Signed,81.0,0.0,0.0,WAS,tier_3,15.57935735150925,WAS,-3
12,RT,Jarrett,Horst,Jarrett Horst,NE,15,0,10,1064,False,15,21,0,7,Jarrett,Horst,3625.0,3623.0,6.0,21.0,Signed,68.0,0.0,0.0,NE,tier_6,9.398496240601503,NE,-1
14,RT,Andrew,Chamblee,Andrew Chamblee,DAL,15,0,19,1072,False,15,10,0,7,Andrew,Chamblee,670.0,668.0,2.0,10.0,Signed,70.0,0.0,0.0,DAL,tier_5,17.723880597014926,DAL,-6
51,LT,Spencer,Brown,Spencer Brown,BUF,15,0,21,973,False,15,2,0,7,Spencer,Brown,327.0,325.0,7.0,2.0,Signed,75.0,0.0,0.0,BUF,tier_4,21.58273381294964,BUF,-7
53,LT,Jacob,Allen,Jacob Allen,DET,15,0,15,987,False,15,18,0,7,Jacob,Allen,2276.0,2274.0,1.0,18.0,Signed,71.0,0.0,0.0,DET,tier_5,15.197568389057752,DET,-4
67,RG,Emil,Ekiyor Jr.,Emil Ekiyor Jr.,SF,15,0,2,1077,False,15,14,0,7,Emil,Ekiyor Jr.,3411.0,3409.0,6.0,14.0,Signed,88.0,0.0,0.0,SF,tier_2,1.8570102135561746,SF,-1
87,C,Tyrone,Sampson Jr.,Tyrone Sampson Jr.,PIT,15,0,11,949,False,15,28,0,7,Tyrone,Sampson Jr.,3259.0,3257.0,5.0,28.0,Signed,69.0,0.0,0.0,PIT,tier_6,11.591148577449948,PIT,-5
88,LT,J.B.,Nelson,J.B. Nelson,SEA,11,0,6,717,False,11,27,0,7,J.B.,Nelson,1001.0,999.0,3.0,27.0,Signed,76.0,0.0,0.0,SEA,tier_4,8.368200836820083,SEA,4
93,C,Nick,Harris,Nick Harris,CLE,15,0,2,915,False,15,4,0,7,Nick,Harris,1092.0,1090.0,8.0,4.0,Signed,70.0,0.0,0.0,CLE,tier_5,2.185792349726776,CLE,4
103,RT,Amarius,Mims,Amarius Mims,PIT,15,0,9,1018,False,15,28,0,7,Amarius,Mims,2181.0,2179.0,4.0,28.0,Signed,69.0,0.0,0.0,PIT,tier_6,8.840864440078585,PIT,0
119,LG,Kamron,Scott,Kamron Scott,DEN,15,0,1,1102,False,15,3,0,7,Kamron,Scott,2068.0,2066.0,2.0,3.0,Signed,68.0,0.0,0.0,DEN,tier_6,0.9074410163339383,DEN,4
131,RT,Obinna,Eze,Obinna Eze,TEN,13,0,6,876,False,13,29,0,7,Obinna,Eze,3516.0,3514.0,6.0,29.0,Signed,86.0,0.0,0.0,TEN,tier_2,6.8493150684931505,TEN,3
146,LT,Tommy,Brockermeyer,Tommy Brockermeyer,TEN,15,0,9,1024,False,15,29,0,7,Tommy,Brockermeyer,2821.0,2819.0,3.0,29.0,Signed,77.0,0.0,0.0,TEN,tier_4,8.7890625,TEN,4
159,RT,Kadyn,Proctor,Kadyn Proctor,WAS,15,0,11,910,False,15,25,0,7,Kadyn,Proctor,453.0,451.0,2.0,25.0,Signed,77.0,0.0,0.0,WAS,tier_4,12.087912087912088,WAS,-4
178,C,Landen,Livingston,Landen Livingston,IND,15,0,2,968,False,15,9,0,7,Landen,Livingston,2842.0,2840.0,1.0,9.0,Signed,66.0,0.0,0.0,IND,tier_6,2.066115702479339,IND,4
185,LT,Logan,Brown,Logan Brown,BAL,15,0,13,985,False,15,24,0,7,Logan,Brown,3266.0,3264.0,5.0,24.0,Signed,92.0,0.0,0.0,BAL,tier_1,13.197969543147208,BAL,-1
199,LT,Julian,Armella,Julian Armella,CLE,15,0,11,1005,False,15,4,0,7,Julian,Armella,2134.0,2132.0,2.0,4.0,Signed,70.0,0.0,0.0,CLE,tier_5,10.945273631840797,CLE,0
202,LG,Elgton,Jenkins,Elgton Jenkins,LV,15,0,4,954,False,15,22,0,7,Elgton,Jenkins,1344.0,1342.0,9.0,22.0,Signed,76.0,0.0,0.0,LV,tier_4,4.1928721174004195,LV,-2
241,LG,Yousef,Mugharbil,Yousef Mugharbil,BUF,15,0,7,1017,False,15,2,0,7,Yousef,Mugharbil,554.0,552.0,2.0,2.0,Signed,76.0,0.0,0.0,BUF,tier_4,6.88298918387414,BUF,-2
246,RG,Deandre,Mitchell,Deandre Mitchell,CLE,15,0,3,1096,False,15,4,0,7,Deandre,Mitchell,179.0,177.0,0.0,4.0,Signed,76.0,0.0,0.0,CLE,tier_4,2.737226277372263,CLE,-2
261,LT,Ryan,Stevens,Ryan Stevens,IND,15,0,8,962,False,15,9,0,7,Ryan,Stevens,250.0,248.0,0.0,9.0,Signed,77.0,0.0,0.0,IND,tier_4,8.316008316008316,IND,4
263,LG,Alijah,Vera-Tucker,Alijah Vera-Tucker,DET,15,0,5,981,False,15,18,0,7,Alijah,Vera-Tucker,2708.0,2706.0,7.0,18.0,Signed,70.0,0.0,0.0,DET,tier_5,5.096839959225281,DET,-1
271,LG,Connor,Williams,Connor Williams,CIN,15,0,1,1075,False,15,1,0,7,Connor,Williams,2834.0,2832.0,10.0,1.0,Signed,84.0,0.0,0.0,CIN,tier_3,0.930232558139535,CIN,4
279,RT,Jawaan,Taylor,Jawaan Taylor,JAX,15,0,9,1066,False,15,16,0,7,Jawaan,Taylor,2571.0,2569.0,9.0,16.0,Signed,86.0,0.0,0.0,JAX,tier_2,8.442776735459663,JAX,1
283,LG,Keiondre,Jones,Keiondre Jones,KC,11,0,2,762,False,11,8,0,7,Keiondre,Jones,2121.0,2119.0,4.0,8.0,Signed,67.0,0.0,0.0,KC,tier_6,2.6246719160104988,KC,1
