FullName,Position,TeamName,SkillPointOL
Aaron Banks,LG,SF,4
Aaron Brewer,C,TEN,-2
Alex Cappa,RG,CIN,0
Andre Dillard,LT,TEN,-6
Andre James,C,LV,1
Andrew Wylie,RT,WAS,-4
Austin Corbett,RG,CAR,-8
Austin Jackson,RT,MIA,10
Ben Powers,LG,DEN,0
Bernhard Raimann,LT,IND,-4
Braden Smith,RT,IND,1
Bradley Bozeman,C,CAR,-3
Brandon Scherff,RG,JAX,8
Brian O'Neill,RT,MIN,3
Broderick Jones,LT,PIT,4
Cam Jurgens,RG,PHI,0
Cam Robinson,LT,JAX,-2
Cesar Ruiz,RG,NO,-2
Charles Cross,LT,SEA,-4
Charles Leno Jr,LT,WAS,-8
Chris Hubbard,RT,TEN,-3
Chris Lindstrom,RG,ATL,0
Christian Darrisaw,LT,MIN,0
Chukwuma Okorafor,RT,PIT,0
Cody Mauch,RG,TB,-1
Cody Whitehair,LG,CHI,-3
Cole Strange,LG,NE,0
Colton McKivitz,RT,SF,-1
Connor McGovern,C,NYJ,-2
Connor Williams,C,MIA,8
Cordell Volson,LG,CIN,-2
Creed Humphrey,C,KC,0
D.J. Humphries,LT,ARI,1
Dalton Risner,RG,MIN,0
Damien Lewis,LG,SEA,0
Dan Moore Jr,LT,PIT,4
Daniel Brunskill,RG,TEN,0
Darnell Wright,RT,CHI,-4
David Andrews,C,NE,-1
David Edwards,LG,BUF,1
Dawand Jones,RT,CLE,-4
Dion Dawkins,LT,BUF,1
Donovan Smith,LT,KC,10
Drew Dalman,C,ATL,-3
Dylan Parham,LG,LV,-6
Ed Ingram,RG,MIN,-1
Elgton Jenkins,LG,GB,6
Erik McCoy,C,NO,-4
Ethan Pocic,C,CLE,-1
Evan Brown,C,SEA,4
Evan Neal,RT,NYG,-6
Ezra Cleveland,LG,JAX,0
Frank Ragnow,C,DET,4
Garett Bolles,LT,DEN,1
Garrett Bradbury,C,MIN,1
George Fant,RT,HOU,4
Graham Glasgow,RG,DET,-4
Greg Van Roten,RG,LV,0
Ikem Ekwonu,LT,CAR,-4
Isaac Seumalo,LG,PIT,-3
Isaiah Wynn,LG,MIA,4
Jake Brendel,C,SF,10
Jake Matthews,LT,ATL,4
Jamaree Salyer,RG,LAC,0
James Daniels,RG,PIT,4
James Hudson III,LT,CLE,-3
James Hurst,LG,NO,1
Jason Kelce,C,PHI,0
Jawaan Taylor,RT,KC,0
Jedrick Wills Jr,LT,CLE,-2
Jermaine Eluemunor,RT,LV,-4
Joe Thuney,LG,KC,3
Joel Bitonio,LG,CLE,0
John Michael Schmitz Jr,C,NYG,-6
John Simpson,LG,BAL,4
Jon Runyan,RG,GB,-2
Jonah Williams,LT,CIN,9
Jordan Mailata,LT,PHI,1
Josh Myers,C,GB,-3
Joshua Ezeudu,LG,NYG,-5
Kaleb McGary,RT,ATL,-2
Kevin Dotson,RG,LAR,0
Kevin Zeitler,RG,BAL,0
Kolton Miller,LT,LV,3
Laken Tomlinson,LG,NYJ,-7
Landon Dickerson,LG,PHI,1
Lane Johnson,RT,PHI,3
Laremy Tunsil,LT,HOU,-3
Lloyd Cushenberry III,C,DEN,-1
Lucas Patrick,C,CHI,1
Luke Goedeke,RT,TB,-4
Mark Glowinski,RG,NYG,-6
Mason Cole,C,PIT,-5
Matt Feiler,LG,TB,9
Matthew Bergeron,LG,ATL,1
Mekhi Becton Sr,RT,NYJ,-2
Mike McGlinchey,RT,DEN,-4
Mike Onwenu,RG,NE,8
Mitch Morse,C,BUF,4
Morgan Moses,RT,BAL,0
Nick Gates,C,WAS,-6
Nick Harris,C,CLE,4
O'Cyrus Torrence,RG,BUF,0
Orlando Brown,LT,CIN,1
Paris Johnson Jr,RT,ARI,4
Patrick Mekari,LT,BAL,-2
Penei Sewell,RT,DET,3
Peter Skoronski,LG,TEN,-3
Phil Haynes,RG,SEA,-3
Quenton Nelson,LG,IND,0
Quinn Meinerz,RG,DEN,-2
Rashawn Slater,LT,LAC,0
Rasheed Walker,RT,GB,-1
Rob Havenstein,RT,LAR,4
Robert Hainsey,C,TB,1
Robert Hunt,RG,MIA,-2
Ronnie Stanley,LT,BAL,0
Ryan Kelly,C,IND,-4
Ryan Ramczyk,RT,NO,1
Saahdiq Charles,LG,WAS,-5
Sam Cosmi,RG,WAS,-3
Shaq Mason,RG,HOU,3
Spencer Brown,RT,BUF,0
Spencer Burford,RG,SF,1
Steve Avila,LG,LAR,1
Taylor Moton,RT,CAR,4
Ted Karras,C,CIN,-7
Teven Jenkins,LG,CHI,0
Trent Brown,LT,NE,1
Trent Williams,LT,SF,-1
Trevor Penning,LT,NO,-4
Trey Pipkins III,RT,LAC,-3
Trey Smith,RG,KC,8
Tristan Wirfs,LT,TB,2
Tyler Biadasz,C,DAL,-3
Tyler Linderbaum,C,BAL,8
Tyler Shatley,C,JAX,1
Tyler Smith,LG,DAL,4
Tyron Smith,LT,DAL,4
Tytus Howard,LG,HOU,-7
Walker Little,RT,JAX,0
Will Clapp,C,LAC,-2
Will Fries,RG,IND,-1
Will Hernandez,RG,ARI,-3
Wyatt Teller,RG,CLE,0
Zach Tom,LT,GB,9
Zack Martin,RG,DAL,-3
Zion Johnson,LG,LAC,-6
