Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
19,ROLB,Cody,Lindenberg,Cody Lindenberg,LAC,True,0,0,403,0,3,5,6,0,2,2,0,0,0,0,0,0,0,7,0,0,0,0,16,3,,,,,,,,,Cody,Lindenberg,1775.0,1773.0,0.0,23.0,7.0,Signed,Normal,66.0,0.0,0.0,LAC,tier_6,0.0,0.0,0.0,0.0,22.332506203473944,0.0,0.49627791563275436,0.125,LAC,-8
64,LOLB,SirVocea,Dennis,SirVocea Dennis,TB,True,5,0,1273,1,31,58,95,0,2,31,0,0,0,0,0,3,0,5,3,1,4,0,16,16,,,,,,,,,SirVocea,Dennis,697.0,695.0,2.0,25.0,5.0,Signed,Normal,69.0,0.0,0.0,TB,tier_6,7.855459544383346,9.26944226237235,1.5710919088766695,7.855459544383346,98.97879025923017,2.356637863315004,2.4351924587588374,1.75,TB,3
65,CB,Daylen,Everette,Daylen Everette,PIT,True,0,41,745,0,17,0,58,0,2,0,25,0,2,0,0,3,0,28,3,0,1,0,16,16,,,,,,,,,Daylen,Everette,340.0,338.0,0.0,21.0,28.0,Signed,Normal,75.0,0.0,0.0,PIT,tier_4,6.375838926174496,6.97986577181208,2.6845637583892614,9.395973154362416,100.67114093959731,4.026845637583893,0.0,-0.1875,PIT,0
118,MLB,Oluwafemi,Oladejo,Oluwafemi Oladejo,LAC,True,34,0,378,2,8,13,19,0,2,8,0,0,0,0,0,0,1,7,0,2,0,0,16,7,,,,,,,,,Oluwafemi,Oladejo,2546.0,2544.0,0.0,23.0,7.0,Signed,Normal,65.0,0.0,0.0,LAC,tier_6,0.0,0.0,13.227513227513226,0.0,71.42857142857143,0.0,2.1164021164021163,0.5,LAC,5
144,SS,Jaden,Hicks,Jaden Hicks,MIA,True,0,50,1256,0,25,37,62,0,2,37,16,0,4,0,0,18,0,11,1,0,0,0,16,16,,,,,,,,,Jaden,Hicks,1641.0,1639.0,0.0,22.0,11.0,Signed,Superstar,78.0,0.0,0.0,MIA,tier_4,0.7961783439490446,0.7961783439490446,3.1847133757961785,15.127388535031848,69.26751592356688,14.331210191082803,2.945859872611465,1.1875,MIA,2
172,RE,Alex,Highsmith,Alex Highsmith,PIT,True,0,0,652,0,10,0,26,0,2,0,0,0,0,0,0,0,0,28,21,2,12,0,14,14,,,,,,,,,Alex,Highsmith,1244.0,1242.0,5.0,28.0,28.0,Signed,Superstar,85.0,0.0,0.0,PIT,tier_2,64.41717791411043,72.6993865030675,3.067484662576687,50.61349693251534,55.214723926380366,0.0,0.0,0.0,PIT,3
178,FS,Antoine,Winfield Jr,Antoine Winfield Jr,TB,True,0,30,1027,0,34,26,30,0,2,11,23,0,2,1,0,5,1,5,0,0,0,0,14,14,,,,,,,,,Antoine,Winfield Jr,3104.0,3102.0,5.0,27.0,5.0,Signed,XFactor,92.0,0.0,0.0,TB,tier_1,0.0,0.0,3.8948393378773125,4.868549172346641,62.317429406037,4.868549172346641,1.071080817916261,0.42857142857142855,TB,-3
185,CB,Quinyon,Mitchell,Quinyon Mitchell,TB,True,0,23,936,0,20,26,40,1,2,28,23,0,1,0,0,14,0,5,0,0,0,0,14,14,,,,,,,,,Quinyon,Mitchell,3320.0,3318.0,1.0,23.0,5.0,Signed,Superstar,82.0,0.0,0.0,TB,tier_3,0.0,0.0,1.0683760683760686,14.957264957264957,64.1025641025641,14.957264957264957,2.9914529914529915,1.0,TB,0
216,LOLB,Arron,Mosby,Arron Mosby,MIA,True,0,0,547,0,6,7,11,0,2,2,0,0,0,0,0,0,0,11,2,0,0,0,16,1,,,,,,,,,Arron,Mosby,2002.0,2000.0,3.0,26.0,11.0,Signed,Normal,60.0,0.0,0.0,MIA,tier_6,3.656307129798903,3.656307129798903,0.0,3.656307129798903,31.078610603290677,0.0,0.3656307129798903,0.125,MIA,-4
274,CB,Jalen,Ramsey,Jalen Ramsey,MIA,True,0,21,806,0,13,30,36,0,2,26,11,0,2,0,0,12,0,11,0,0,0,0,14,14,,,,,,,,,Jalen,Ramsey,2316.0,2314.0,9.0,30.0,11.0,Signed,Star,87.0,0.0,0.0,MIA,tier_2,0.0,0.0,2.4813895781637716,14.88833746898263,60.79404466501241,14.88833746898263,3.225806451612903,1.0,MIA,-1
