Position,RatingTier,StatCheck,StatValue,StatTier,SkillPoint,StatHigh,StatLow
HB,tier_0,RBScrimmageYardsPer300Touches,1500-7500,tier_0,1,7501,1500
HB,tier_0,RBScrimmageYardsPer300Touches,1350-1499,tier_1,0,1500,1350
HB,tier_0,RBScrimmageYardsPer300Touches,1200-1349,tier_2,-3,1350,1200
HB,tier_0,RBScrimmageYardsPer300Touches,1100-1199,tier_3,-5,1200,1100
HB,tier_0,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-10,1100,1000
HB,tier_0,RBScrimmageYardsPer300Touches,0-999,tier_5,-15,1000,0
HB,tier_0,RBScrimmageTDsPerGame,0.90-5.00,tier_0,1,5.01,0.90
HB,tier_0,RBScrimmageTDsPerGame,0.66-0.89,tier_1,0,0.9,0.66
HB,tier_0,RBScrimmageTDsPerGame,0.50-0.65,tier_2,-1,0.66,0.50
HB,tier_0,RBScrimmageTDsPerGame,0.34-0.49,tier_3,-3,0.5,0.34
HB,tier_0,RBScrimmageTDsPerGame,0.14-0.33,tier_4,-5,0.34,0.14
HB,tier_0,RBScrimmageTDsPerGame,0.00-0.13,tier_5,-8,0.14,0.00
HB,tier_0,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_0,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_0,RUSHFUMBLES,2,tier_2,-2,2,2
HB,tier_0,RUSHFUMBLES,3,tier_3,-3,3,3
HB,tier_0,RUSHFUMBLES,4-5,tier_4,-4,6,4
HB,tier_0,RUSHFUMBLES,6-25,tier_5,-5,26,6
HB,tier_1,RBScrimmageYardsPer300Touches,1500-7500,tier_0,2,7501,1500
HB,tier_1,RBScrimmageYardsPer300Touches,1350-1499,tier_1,1,1500,1350
HB,tier_1,RBScrimmageYardsPer300Touches,1200-1349,tier_2,-2,1350,1200
HB,tier_1,RBScrimmageYardsPer300Touches,1100-1199,tier_3,-4,1200,1100
HB,tier_1,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-8,1100,1000
HB,tier_1,RBScrimmageYardsPer300Touches,0-999,tier_5,-10,1000,0
HB,tier_1,RBScrimmageTDsPerGame,0.90-5.00,tier_0,2,5.01,0.90
HB,tier_1,RBScrimmageTDsPerGame,0.66-0.89,tier_1,1,0.9,0.66
HB,tier_1,RBScrimmageTDsPerGame,0.50-0.65,tier_2,-1,0.66,0.50
HB,tier_1,RBScrimmageTDsPerGame,0.34-0.49,tier_3,-2,0.5,0.34
HB,tier_1,RBScrimmageTDsPerGame,0.14-0.33,tier_4,-4,0.34,0.14
HB,tier_1,RBScrimmageTDsPerGame,0.00-0.13,tier_5,-6,0.14,0.00
HB,tier_1,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_1,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_1,RUSHFUMBLES,2,tier_2,-2,2,2
HB,tier_1,RUSHFUMBLES,3,tier_3,-3,3,3
HB,tier_1,RUSHFUMBLES,4-5,tier_4,-4,6,4
HB,tier_1,RUSHFUMBLES,6-25,tier_5,-5,26,6
HB,tier_2,RBScrimmageYardsPer300Touches,1500-7500,tier_0,4,7501,1500
HB,tier_2,RBScrimmageYardsPer300Touches,1350-1499,tier_1,2,1500,1350
HB,tier_2,RBScrimmageYardsPer300Touches,1200-1349,tier_2,-1,1350,1200
HB,tier_2,RBScrimmageYardsPer300Touches,1100-1199,tier_3,-3,1200,1100
HB,tier_2,RBScrimmageYardsPer300Touches,1000-1099,tier_4,-6,1100,1000
HB,tier_2,RBScrimmageYardsPer300Touches,0-999,tier_5,-8,1000,0
HB,tier_2,RBScrimmageTDsPerGame,0.90-5.00,tier_0,4,5.01,0.90
HB,tier_2,RBScrimmageTDsPerGame,0.66-0.89,tier_1,2,0.9,0.66
HB,tier_2,RBScrimmageTDsPerGame,0.50-0.65,tier_2,0,0.66,0.50
HB,tier_2,RBScrimmageTDsPerGame,0.34-0.49,tier_3,-2,0.5,0.34
HB,tier_2,RBScrimmageTDsPerGame,0.14-0.33,tier_4,-3,0.34,0.14
HB,tier_2,RBScrimmageTDsPerGame,0.00-0.13,tier_5,-5,0.14,0.00
HB,tier_2,RUSHFUMBLES,0,tier_0,0,0,0
HB,tier_2,RUSHFUMBLES,1,tier_1,-1,1,1
HB,tier_2,RUSHFUMBLES,2,tier_2,-2,2,2
HB,tier_2,RUSHFUMBLES,3,tier_3,-3,3,3
