Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
2,P,Johnny,Hekker,Johnny Hekker,CIN,0,3369,3634,0,80,31,77,0,50,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,16,Johnny,Hekker,1201.0,1203.0,14.0,36.0,1.0,Signed,Normal,72.0,0.0,0.0,CIN,tier_5,,,,0.0,45.425,0.9270776004402862,CIN,2
17,P,Ryan,Wright,Ryan Wright,MIN,0,3760,3925,0,83,33,163,0,50,3,79,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,30,50,0,0,0,16,Ryan,Wright,3158.0,3160.0,4.0,26.0,30.0,Signed,Normal,78.0,0.0,0.0,MIN,tier_4,,,,0.12121212121212122,47.28915662650602,0.9579617834394905,MIN,3
24,P,Jamie,Gillan,Jamie Gillan,NYG,0,3924,4233,0,89,30,163,0,51,3,72,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,15,47,0,0,0,16,Jamie,Gillan,1003.0,1005.0,7.0,29.0,15.0,Signed,Star,80.0,0.0,0.0,NYG,tier_3,,,,0.16666666666666666,47.561797752808985,0.9270021261516654,NYG,1
26,K,Tyler,Bass,Tyler Bass,BUF,0,0,0,0,0,0,63,44,0,3,0,False,0,0,17,40,0,6,5,4,2,0,4,2,14,57,16,2,0,3,5,0,16,Tyler,Bass,165.0,167.0,6.0,29.0,2.0,Signed,Star,77.0,0.0,0.0,BUF,tier_4,0.8235294117647058,0.9090909090909091,0.7272727272727273,,,,BUF,-7
29,K,Chase,McLaughlin,Chase McLaughlin,HOU,0,0,0,0,0,0,137,35,0,3,78,False,0,0,25,31,0,8,4,11,2,0,11,2,24,57,16,31,43,7,4,0,16,Chase,McLaughlin,1894.0,1896.0,7.0,30.0,31.0,Signed,Normal,75.0,0.0,0.0,HOU,tier_4,0.96,0.8857142857142857,0.9166666666666666,,,,HOU,1
31,K,Cameron,Dicker,Cameron Dicker,LAC,0,0,0,0,0,0,129,31,0,3,71,False,0,0,24,28,0,8,4,7,5,0,7,5,23,56,16,7,42,7,4,0,16,Cameron,Dicker,700.0,702.0,4.0,26.0,7.0,Signed,Normal,81.0,0.0,0.0,LAC,tier_3,0.9583333333333334,0.9032258064516129,0.9166666666666666,,,,LAC,0
41,K,Joshua,Karty,Joshua Karty,DEN,0,0,0,0,0,0,122,30,0,3,66,False,0,0,24,28,0,7,8,4,5,0,4,5,23,57,16,3,44,6,8,0,16,Joshua,Karty,3355.0,3357.0,2.0,24.0,3.0,Signed,Star,79.0,0.0,0.0,DEN,tier_4,0.9583333333333334,0.9333333333333333,0.9333333333333333,,,,DEN,3
43,K,Cam,Little,Cam Little,MIA,0,0,0,0,0,0,133,41,0,3,73,False,0,0,15,39,0,6,2,4,3,0,4,3,13,56,16,11,48,4,2,0,16,Cam,Little,2432.0,2434.0,1.0,24.0,11.0,Signed,Normal,73.0,0.0,0.0,MIA,tier_5,0.8666666666666667,0.9512195121951219,0.75,,,,MIA,-2
47,K,Greg,Zuerlein,Greg Zuerlein,NYJ,0,0,0,0,0,0,147,35,0,3,80,False,0,0,29,34,0,9,11,3,6,0,3,6,27,56,16,17,44,7,11,0,16,Greg,Zuerlein,3187.0,3189.0,14.0,38.0,17.0,Signed,Normal,77.0,0.0,0.0,NYJ,tier_4,0.9310344827586207,0.9714285714285714,0.9,,,,NYJ,3
48,P,Kai,Kroeger,Kai Kroeger,HOU,0,3279,3539,0,78,24,79,0,49,3,2,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,15,31,0,0,0,1,16,Kai,Kroeger,3546.0,3548.0,2.0,24.0,31.0,Signed,Normal,74.0,0.0,0.0,HOU,tier_5,,,,0.2916666666666667,45.37179487179487,0.9265329189036451,HOU,-4
52,P,A.J.,Cole III,A.J. Cole III,LV,0,4026,4294,0,90,31,168,0,51,3,80,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,22,44,0,0,0,16,A.J.,Cole III,534.0,536.0,7.0,30.0,22.0,Signed,Star,81.0,0.0,0.0,LV,tier_3,,,,0.22580645161290322,47.71111111111111,0.9375873311597578,LV,0
56,P,James,Burnip,James Burnip,MIA,0,3227,3473,0,80,21,81,0,46,3,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,11,0,0,0,0,15,James,Burnip,2512.0,2514.0,1.0,24.0,11.0,Signed,Normal,67.0,0.0,0.0,MIA,tier_6,,,,0.047619047619047616,43.4125,0.9291678663979268,MIA,3
77,P,Riley,Dixon,Riley Dixon,DEN,0,4112,4394,0,95,27,95,0,49,3,0,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,16,Riley,Dixon,716.0,718.0,10.0,33.0,3.0,Signed,Normal,76.0,0.0,0.0,DEN,tier_4,,,,0.25925925925925924,46.252631578947366,0.9358215748748293,DEN,-5
90,P,Jake,Bailey,Jake Bailey,CAR,0,3746,4122,0,90,28,85,0,57,3,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,16,Jake,Bailey,126.0,128.0,7.0,29.0,20.0,Signed,Normal,74.0,0.0,0.0,CAR,tier_5,,,,0.14285714285714285,45.8,0.9087821445900048,CAR,0
91,P,Pressley,Harvin III,Pressley Harvin III,PIT,0,3728,3969,0,85,43,1,0,57,3,1,False,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,16,Pressley,Harvin III,1176.0,1178.0,5.0,27.0,28.0,Signed,Superstar,81.0,0.0,0.0,PIT,tier_3,,,,0.20930232558139536,46.694117647058825,0.9392794154698917,PIT,-3
97,K,Cade,York,Cade York,NYG,0,0,0,1,0,0,59,30,0,3,0,False,0,0,25,27,0,11,7,4,3,0,4,3,21,58,16,15,0,7,7,0,16,Cade,York,3169.0,3171.0,4.0,25.0,15.0,Signed,Normal,74.0,0.0,0.0,NYG,tier_5,0.84,0.9,0.7777777777777778,,,,NYG,-4
100,K,Dustin,Hopkins,Dustin Hopkins,GB,0,0,0,1,0,0,172,43,0,3,93,False,0,0,32,42,0,12,7,6,7,0,6,7,31,58,16,19,47,11,7,0,16,Dustin,Hopkins,1299.0,1301.0,13.0,35.0,19.0,Signed,Star,78.0,0.0,0.0,GB,tier_4,0.96875,0.9767441860465116,0.9473684210526315,,,,GB,5
107,P,J.K.,Scott,J.K. Scott,LAC,0,3445,3622,0,78,31,78,0,49,3,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,16,J.K.,Scott,2495.0,2497.0,8.0,29.0,7.0,Signed,Normal,76.0,0.0,0.0,LAC,tier_4,,,,0.12903225806451613,46.43589743589744,0.951131971286582,LAC,1
121,K,Evan,McPherson,Evan McPherson,CIN,0,0,0,0,0,0,170,55,0,3,91,False,0,0,23,49,0,3,9,6,5,0,6,5,22,57,16,1,55,2,9,0,16,Evan,McPherson,1905.0,1907.0,5.0,27.0,1.0,Signed,Star,76.0,0.0,0.0,CIN,tier_4,0.9565217391304348,0.8909090909090909,0.9166666666666666,,,,CIN,2
134,K,Eddy,Pineiro,Eddy Pineiro,CAR,1,0,0,0,0,0,139,31,0,3,78,False,0,0,30,28,0,8,9,6,7,0,6,7,29,56,16,20,37,7,9,0,16,Eddy,Pineiro,2245.0,2247.0,8.0,30.0,20.0,Signed,Normal,76.0,0.0,0.0,CAR,tier_4,0.9666666666666667,0.9032258064516129,0.9411764705882353,,,,CAR,2
136,P,James,Ferguson-Reynolds,James Ferguson-Reynolds,NYJ,0,3371,3580,0,79,24,81,0,48,3,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,17,0,0,0,1,16,James,Ferguson-Reynolds,962.0,964.0,0.0,22.0,17.0,Signed,Normal,73.0,0.0,0.0,NYJ,tier_5,,,,0.16666666666666666,45.31645569620253,0.9416201117318436,NYJ,-2
