Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
9,FS,Faheem,Delane,Faheem Delane,DAL,True,0,0,317,0,4,5,13,0,5,5,0,0,0,0,0,1,0,10,1,0,0,0,16,1,Faheem,Delane,2435.0,2433.0,0.0,21.0,10.0,Signed,Normal,71.0,0.0,0.0,DAL,tier_5,3.1545741324921135,3.1545741324921135,0.0,6.309148264984227,53.62776025236593,3.1545741324921135,1.5772870662460567,0.25,DAL,-3
10,LOLB,Christian,Harris,Christian Harris,HOU,True,46,0,932,2,36,63,83,0,5,46,0,0,0,0,0,7,0,31,6,2,0,1,14,14,Christian,Harris,1147.0,1145.0,6.0,27.0,31.0,Signed,Star,84.0,0.0,0.0,HOU,tier_3,6.437768240343348,6.437768240343348,5.364806866952789,13.948497854077255,127.6824034334764,7.510729613733906,4.935622317596566,2.7857142857142856,HOU,10
11,SS,Nick,Cross,Nick Cross,CIN,True,0,0,953,0,11,48,73,0,5,35,0,0,0,0,0,13,0,1,0,0,0,0,14,9,Nick,Cross,609.0,607.0,6.0,26.0,1.0,Signed,Normal,77.0,0.0,0.0,CIN,tier_4,0.0,0.0,0.0,13.641133263378805,88.14270724029382,13.641133263378805,3.6726128016789086,1.5714285714285714,CIN,3
21,ROLB,Jamin,Davis,Jamin Davis,NYG,True,0,0,429,0,6,12,29,1,5,10,0,0,0,0,0,1,0,15,2,0,0,0,16,16,Jamin,Davis,658.0,656.0,7.0,29.0,15.0,Signed,Star,71.0,0.0,0.0,NYG,tier_5,4.662004662004662,4.662004662004662,0.0,6.993006993006993,81.58508158508158,2.331002331002331,2.331002331002331,0.5625,NYG,-2
30,LE,Akili,Calhoun,Akili Calhoun,MIA,True,31,0,641,2,21,19,29,0,5,0,0,0,0,0,0,0,0,11,11,2,3,0,16,5,Akili,Calhoun,1621.0,1619.0,2.0,24.0,11.0,Signed,Star,71.0,0.0,0.0,MIA,tier_5,25.351014040561623,27.45709828393136,6.240249609984399,21.8408736349454,78.003120124805,0.0,0.0,0.0,MIA,4
31,FS,Zeke,Berry,Zeke Berry,NO,True,0,0,589,0,9,11,16,0,5,8,0,0,0,0,0,2,0,26,0,0,0,0,16,4,Zeke,Berry,180.0,178.0,1.0,24.0,26.0,Signed,Normal,68.0,0.0,0.0,NO,tier_6,0.0,0.0,0.0,3.395585738539898,42.444821731748725,3.395585738539898,1.3582342954159592,0.375,NO,-4
70,FS,Durante,Jones,Durante Jones,PHI,True,0,0,682,0,20,34,50,0,5,32,0,0,0,0,0,6,0,12,0,0,0,0,14,1,Durante,Jones,1415.0,1413.0,3.0,26.0,12.0,Signed,Star,70.0,0.0,0.0,PHI,tier_5,0.0,0.0,0.0,8.797653958944283,102.63929618768329,8.797653958944283,4.69208211143695,1.8571428571428572,PHI,5
71,LOLB,Pete,Werner,Pete Werner,CAR,True,0,0,434,0,7,16,21,1,5,13,0,0,0,0,0,1,0,20,2,0,0,0,16,4,Pete,Werner,2996.0,2994.0,7.0,30.0,20.0,Signed,Star,72.0,0.0,0.0,CAR,tier_5,4.608294930875576,4.608294930875576,0.0,6.912442396313365,64.51612903225806,2.304147465437788,2.995391705069124,0.75,CAR,-2
96,FS,Zack,Myers,Zack Myers,SEA,True,0,0,556,0,7,14,19,0,5,8,0,0,0,0,0,1,0,27,0,0,0,0,16,4,Zack,Myers,2773.0,2771.0,0.0,22.0,27.0,Signed,Normal,70.0,0.0,0.0,SEA,tier_5,0.0,0.0,0.0,1.7985611510791368,46.76258992805756,1.7985611510791368,1.4388489208633095,0.4375,SEA,-6
100,LE,Sebastian,Valdez,Sebastian Valdez,NO,True,46,0,805,2,19,27,35,0,5,0,0,0,0,0,0,1,0,26,8,2,7,0,16,0,Sebastian,Valdez,1200.0,1198.0,3.0,26.0,26.0,Signed,Normal,71.0,0.0,0.0,NO,tier_5,25.15527950310559,29.06832298136646,4.9689440993788825,19.87577639751553,67.0807453416149,1.2422360248447206,0.0,-0.0625,NO,2
109,DT,Kamarion,Franklin,Kamarion Franklin,CIN,True,14,0,820,1,27,27,36,0,5,0,0,0,0,0,0,0,1,1,10,1,6,0,16,13,Kamarion,Franklin,2075.0,2073.0,1.0,22.0,1.0,Signed,Normal,72.0,0.0,0.0,CIN,tier_5,25.0,28.292682926829272,3.658536585365854,19.51219512195122,76.82926829268293,0.0,0.0,0.0,CIN,1
115,ROLB,Anthony,Dunn Jr,Anthony Dunn Jr,NO,True,0,0,370,0,3,2,5,0,5,0,0,0,0,0,0,0,0,26,1,0,0,0,16,4,Anthony,Dunn Jr,1892.0,1890.0,2.0,25.0,26.0,Signed,Normal,64.0,0.0,0.0,NO,tier_6,2.7027027027027026,2.7027027027027026,0.0,2.7027027027027026,21.62162162162162,0.0,0.0,0.0,NO,-4
116,CB,Dezz,Ricks,Dezz Ricks,CLE,True,0,17,1022,0,16,41,70,0,5,37,16,0,2,0,0,17,0,4,0,0,0,0,16,2,Dezz,Ricks,1201.0,1199.0,2.0,24.0,4.0,Signed,Normal,72.0,0.0,0.0,CLE,tier_5,0.0,0.0,1.9569471624266144,16.634050880626223,84.14872798434442,16.634050880626223,3.6203522504892365,1.25,CLE,3
141,LE,Tyler,Batty,Tyler Batty,PHI,True,12,0,740,1,24,28,38,0,5,0,0,0,0,0,0,0,0,12,14,1,3,0,16,16,Tyler,Batty,1558.0,1556.0,3.0,26.0,12.0,Signed,Normal,74.0,0.0,0.0,PHI,tier_5,26.013513513513516,27.837837837837842,2.7027027027027026,22.972972972972975,83.78378378378379,0.0,0.0,0.0,PHI,-1
158,CB,Asante,Samuel Jr,Asante Samuel Jr,LAC,True,0,27,990,0,20,26,33,1,5,28,18,0,4,0,0,11,0,7,0,0,0,0,16,16,Asante,Samuel Jr,2458.0,2456.0,7.0,28.0,7.0,Signed,Star,85.0,0.0,0.0,LAC,tier_2,0.0,0.0,4.040404040404041,11.11111111111111,53.535353535353536,11.11111111111111,2.8282828282828283,1.0625,LAC,4
164,MLB,A.J.,Pena,A.J. Pena,LAR,True,0,0,353,0,1,2,5,0,5,0,0,0,0,0,0,0,0,23,0,0,0,0,16,0,A.J.,Pena,2795.0,2793.0,2.0,25.0,23.0,Signed,Normal,72.0,0.0,0.0,LAR,tier_5,0.0,0.0,0.0,0.0,16.9971671388102,0.0,0.0,0.0,LAR,-10
176,DT,Tiaoalii,Savea,Tiaoalii Savea,SF,True,0,0,395,0,9,13,15,0,5,0,0,0,0,0,0,1,0,14,5,0,0,0,16,0,Tiaoalii,Savea,1284.0,1282.0,3.0,26.0,14.0,Signed,Normal,65.0,0.0,0.0,SF,tier_6,12.658227848101266,12.658227848101266,0.0,15.189873417721518,60.75949367088607,2.5316455696202533,0.0,-0.0625,SF,-4
182,SS,Christopher,Smith II,Christopher Smith II,PHI,True,0,13,667,0,23,23,39,1,5,27,13,0,1,0,0,4,0,12,1,0,0,0,10,7,Christopher,Smith II,2578.0,2576.0,5.0,28.0,12.0,Signed,Star,76.0,0.0,0.0,PHI,tier_4,1.4992503748125936,1.4992503748125936,1.4992503748125936,7.496251874062969,92.95352323838081,5.997001499250374,4.0479760119940025,2.3,PHI,-1
183,MLB,Jackson,LaDuke,Jackson LaDuke,CIN,True,0,0,356,0,8,1,4,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,16,1,Jackson,LaDuke,1698.0,1696.0,2.0,24.0,1.0,Signed,Normal,66.0,0.0,0.0,CIN,tier_6,0.0,0.0,0.0,0.0,33.70786516853933,0.0,0.2808988764044944,0.0625,CIN,-4
