Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
16,QB,Brock,Purdy,Brock Purdy,SF,45,1113,0,25,0,0,300,0,True,94,10,139,3,0,0,1,5,26,42,1,0,0,5,6,0,5,5,1,14,1,Brock,Purdy,2292.0,2290.0,6.0,28.0,14.0,Signed,Superstar,83.0,0.0,0.0,SF,tier_3,150.0,1350.0,0.2,3.3333333333333335,0.0,,
33,QB,Trey,Lance,Trey Lance,NO,43,655,0,16,0,0,195,0,True,65,10,102,3,0,0,0,5,16,39,1,0,0,7,6,0,6,2,1,26,0,Trey,Lance,1665.0,1663.0,7.0,28.0,26.0,Signed,Normal,65.0,0.0,0.0,NO,tier_6,220.5128205128205,1290.0,0.0,0.0,0.0,,
37,QB,J.J.,McCarthy,J.J. McCarthy,MIN,186,1949,0,66,0,0,558,0,True,173,38,277,4,0,0,2,5,40,65,3,0,0,24,11,0,8,8,6,30,1,J.J.,McCarthy,3206.0,3204.0,4.0,25.0,30.0,Signed,Star,80.0,0.0,0.0,MIN,tier_3,333.3333333333333,1468.421052631579,0.125,1.7921146953405018,0.0,,
67,WR,NiTareon,Tuggle,NiTareon Tuggle,CIN,6,0,1,2,649,37,813,269,True,0,2,0,0,56,0,0,5,6,0,2,0,0,0,0,5,16,16,0,1,0,NiTareon,Tuggle,1977.0,1975.0,0.0,22.0,1.0,Signed,Normal,76.0,0.0,0.0,CIN,tier_4,805.6580565805658,1642.3448275862067,0.3125,6.150061500615006,0.15794597225602336,CIN,0.0
69,WR,A.T.,Perry,A.T. Perry,NO,2,0,0,0,1032,67,888,386,True,0,1,0,0,76,0,0,5,2,0,0,0,0,0,0,4,16,16,0,26,0,A.T.,Perry,2215.0,2213.0,5.0,28.0,26.0,Signed,Normal,81.0,0.0,0.0,NO,tier_3,1164.4144144144143,1937.7662337662337,0.25,4.504504504504505,0.25387453874538746,NO,2.0
71,QB,Michael,Pratt,Michael Pratt,CAR,0,86,0,0,0,0,43,0,True,7,0,9,0,0,0,0,5,0,22,0,0,0,1,1,0,6,0,0,20,0,Michael,Pratt,3321.0,3319.0,4.0,27.0,20.0,Signed,Normal,60.0,0.0,0.0,CAR,tier_6,0.0,,0.0,0.0,0.0,,
80,WR,Joshua,Smith,Joshua Smith,NO,0,0,0,0,262,22,377,91,True,0,0,0,0,21,0,0,5,0,0,0,0,0,0,0,1,15,2,0,26,0,Joshua,Smith,1370.0,1368.0,0.0,22.0,26.0,Signed,Normal,74.0,0.0,0.0,NO,tier_5,694.9602122015915,1796.5714285714284,0.06666666666666667,2.6525198938992043,0.06874948749487494,NO,-5.0
82,WR,Dontayvion,Wicks,Dontayvion Wicks,GB,4,0,0,0,788,38,615,388,True,0,3,0,0,66,0,0,5,3,0,9,0,0,0,0,0,12,12,0,19,0,Dontayvion,Wicks,3019.0,3017.0,5.0,27.0,19.0,Signed,Star,87.0,0.0,0.0,GB,tier_2,1287.8048780487804,1661.9130434782608,0.0,0.0,0.23738514836571775,GB,-2.0
88,WR,Ryan,Williams,Ryan Williams,JAX,0,0,2,0,455,74,462,149,True,0,0,0,0,37,0,0,5,0,0,0,0,0,0,0,3,13,6,0,16,0,Ryan,Williams,3575.0,3573.0,1.0,22.0,16.0,Signed,Normal,73.0,0.0,0.0,JAX,tier_5,984.8484848484849,1770.8108108108108,0.23076923076923078,6.493506493506494,0.12589928057553956,JAX,4.0
111,QB,George,MacIntyre,George MacIntyre,TB,129,3406,0,40,0,0,788,0,True,298,33,464,8,0,0,2,5,28,54,3,0,0,38,15,0,16,11,2,5,3,George,MacIntyre,3521.0,3519.0,0.0,21.0,5.0,Signed,Normal,69.0,0.0,0.0,TB,tier_6,163.70558375634516,1172.7272727272727,0.1875,3.8071065989847717,0.0,,
154,WR,Mekhi,Collins,Mekhi Collins,TEN,0,0,1,0,276,25,410,97,True,0,0,0,0,23,0,0,5,0,0,0,0,0,0,0,1,14,7,0,29,0,Mekhi,Collins,691.0,689.0,1.0,24.0,29.0,Signed,Normal,72.0,0.0,0.0,TEN,tier_5,673.1707317073171,1728.0,0.07142857142857142,2.4390243902439024,0.07537122375832053,TEN,-5.0
160,QB,Taylen,Green,Taylen Green,CIN,12,117,0,0,0,0,117,0,True,11,4,21,3,0,0,0,5,5,21,0,0,0,0,2,0,15,1,0,1,0,Taylen,Green,2839.0,2837.0,3.0,26.0,1.0,Signed,Normal,66.0,0.0,0.0,CIN,tier_6,102.56410256410255,900.0,0.0,0.0,0.0,,
168,QB,Air,Noland,Air Noland,LV,319,3271,0,107,0,0,886,0,True,301,58,450,9,0,0,3,5,58,52,5,0,0,46,24,0,16,13,4,22,2,Air,Noland,3427.0,3425.0,0.0,22.0,22.0,Signed,Normal,70.0,0.0,0.0,LV,tier_5,360.0451467268623,1650.0,0.125,2.257336343115124,0.0,,
174,WR,Puka,Nacua,Puka Nacua,LAR,2,0,0,0,1308,71,964,413,True,0,2,0,0,83,0,0,5,2,0,1,0,0,0,0,8,16,16,0,23,0,Puka,Nacua,2044.0,2042.0,5.0,27.0,23.0,Signed,Superstar,89.0,0.0,0.0,LAR,tier_2,1358.9211618257261,2222.964705882353,0.5,8.298755186721992,0.32027424094025464,LAR,5.0
178,QB,Hendon,Hooker,Hendon Hooker,LAR,1,5,0,0,0,0,78,0,True,1,1,2,0,0,0,0,5,1,5,0,0,0,0,0,0,15,0,0,23,0,Hendon,Hooker,1295.0,1293.0,5.0,30.0,23.0,Signed,Normal,65.0,0.0,0.0,LAR,tier_6,12.82051282051282,300.0,0.0,0.0,0.0,,
181,QB,Devin,Brown,Devin Brown,JAX,0,0,0,0,0,0,4,0,True,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,16,0,Devin,Brown,833.0,831.0,1.0,23.0,16.0,Signed,Normal,64.0,0.0,0.0,JAX,tier_6,0.0,,0.0,0.0,0.0,,
188,WR,Hykeem,Williams,Hykeem Williams,DET,0,0,3,0,1046,47,911,398,True,0,0,0,0,75,0,0,5,0,0,0,0,0,0,0,3,16,16,0,18,0,Hykeem,Williams,2216.0,2214.0,2.0,23.0,18.0,Signed,Normal,75.0,0.0,0.0,DET,tier_4,1148.1888035126235,2008.32,0.1875,3.293084522502744,0.21268808458723057,DET,1.0
195,WR,Ja'Mori,Maclin,Ja'Mori Maclin,GB,0,0,3,0,523,26,716,263,True,0,0,0,0,46,0,0,5,0,0,0,0,0,0,0,3,16,16,0,19,0,Ja'Mori,Maclin,851.0,849.0,2.0,24.0,19.0,Signed,Star,76.0,0.0,0.0,GB,tier_4,730.4469273743017,1637.2173913043478,0.1875,4.189944134078212,0.11816538635336647,GB,-4.0
208,WR,Garrett,Wilson,Garrett Wilson,IND,2,0,0,0,1188,31,950,542,True,0,2,0,0,98,0,0,5,1,0,8,0,0,0,0,3,16,16,0,9,0,Garrett,Wilson,3091.0,3089.0,6.0,28.0,9.0,Signed,Superstar,87.0,0.0,0.0,IND,tier_2,1252.6315789473683,1716.72,0.1875,3.1578947368421053,0.28489208633093527,IND,1.0
