Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
4,WR,Quincy,Porter,Quincy Porter,PHI,3,0,0,0,724,56,838,252,True,0,2,0,0,54,0,0,6,2,0,0,0,0,0,0,6,14,14,0,12,0,Quincy,Porter,QuincyPorter_28433,942.0,940.0,1.0,23.0,12.0,Signed,Normal,73.0,0.0,0.0,PHI,tier_5,867.5417661097852,1877.7857142857142,0.42857142857142855,7.159904534606206,0.22017790618109936,PHI,4.0
17,QB,Drew,Viotto,Drew Viotto,IND,0,0,0,0,0,0,2,0,True,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,9,0,Drew,Viotto,,2905.0,2903.0,1.0,24.0,9.0,Signed,Normal,61.0,0.0,0.0,IND,tier_6,0.0,,0.0,0.0,0.0,,
51,WR,Cam,Williams,Cam Williams,LV,0,0,0,0,511,26,749,205,True,0,0,0,0,44,0,0,6,0,0,0,0,0,0,0,4,16,15,0,22,0,Cam,Williams,CamWilliams_2848,1709.0,1707.0,1.0,24.0,22.0,Signed,Star,76.0,0.0,0.0,LV,tier_4,682.2429906542055,1672.3636363636363,0.25,5.34045393858478,0.12496943017852775,LV,-4.0
54,QB,Bryce,Young,Bryce Young,NO,88,1077,0,26,0,0,337,0,True,96,27,163,3,0,0,1,6,32,26,1,0,0,6,8,0,15,5,1,26,0,Bryce,Young,YoungBryce_22686,3173.0,3171.0,6.0,28.0,26.0,Signed,Normal,70.0,0.0,0.0,NO,tier_5,261.12759643916917,977.7777777777777,0.0,0.0,0.0,,
58,WR,Gabe,Davis,Gabe Davis,DAL,0,0,2,0,582,29,778,257,True,0,0,0,0,48,0,0,6,0,0,0,0,0,0,0,6,15,7,0,10,0,Gabe,Davis,DavisGabriel_20935,656.0,654.0,9.0,30.0,10.0,Signed,Star,74.0,0.0,0.0,DAL,tier_5,748.0719794344473,1746.0,0.4,7.712082262210797,0.19243645381277122,DAL,1.0
75,QB,Garret,Rangel,Garret Rangel,TB,0,0,0,0,0,0,3,0,True,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,5,0,Garret,Rangel,RangelGarret_444,2048.0,2046.0,2.0,25.0,5.0,Signed,Normal,61.0,0.0,0.0,TB,tier_6,0.0,,0.0,0.0,0.0,,
103,TE,Khamari,Anderson,Khamari Anderson,CIN,0,0,1,0,415,23,1215,196,True,0,0,0,0,50,0,0,6,0,0,4,0,0,0,0,4,16,16,0,1,0,Khamari,Anderson,AndersonKhamari_450,1942.0,1940.0,2.0,24.0,1.0,Signed,Normal,70.0,0.0,0.0,CIN,tier_5,341.56378600823047,1195.2,0.25,3.292181069958848,0.0837031060911658,CIN,0.0
107,WR,Cordale,Russell,Cordale Russell,NE,0,0,4,0,1020,26,966,417,True,0,0,0,0,85,0,0,6,0,0,0,0,0,0,0,8,16,16,0,21,0,Cordale,Russell,,2982.0,2980.0,3.0,24.0,21.0,Signed,Normal,79.0,0.0,0.0,NE,tier_4,1055.9006211180124,1728.0,0.5,8.281573498964804,0.2298332582244254,NE,6.0
114,WR,Evan,Stewart,Evan Stewart,WAS,9,0,1,0,545,32,686,216,True,0,4,0,0,41,0,0,6,3,0,0,0,0,0,0,1,12,12,0,25,0,Evan,Stewart,,3140.0,3138.0,4.0,26.0,25.0,Signed,Normal,76.0,0.0,0.0,WAS,tier_4,807.5801749271136,1803.9999999999998,0.08333333333333333,1.4577259475218658,0.18327028163093737,WAS,-4.0
116,QB,Tua,Tagovailoa,Tua Tagovailoa,TB,0,17,0,0,0,0,82,0,True,2,0,2,0,0,0,0,6,0,9,0,0,0,0,0,0,16,0,0,5,0,Tua,Tagovailoa,TagovailoaTua_20916,2727.0,2725.0,9.0,31.0,5.0,Signed,Star,67.0,0.0,0.0,TB,tier_6,0.0,,0.0,0.0,0.0,,
135,HB,Jalen,Buckley,Jalen Buckley,BAL,916,0,3,336,304,22,731,225,True,0,224,0,0,41,0,6,6,81,0,15,0,0,0,0,1,16,16,1,24,4,Jalen,Buckley,BuckleyJalen_340,968.0,966.0,2.0,25.0,24.0,Signed,Normal,82.0,0.0,0.0,BAL,tier_3,1668.9466484268125,1202.1735849056604,0.3125,6.839945280437757,0.07887908666320706,BAL,-5.0
141,TE,Pearce,Spurlin III,Pearce Spurlin III,PHI,0,0,0,0,780,42,1134,369,True,0,0,0,0,76,0,0,6,0,0,2,0,0,0,0,4,16,16,0,12,0,Pearce,Spurlin III,,2333.0,2331.0,2.0,23.0,12.0,Signed,Star,84.0,0.0,0.0,PHI,tier_3,687.8306878306878,1477.894736842105,0.25,3.527336860670194,0.20755721128259713,PHI,-1.0
157,TE,Linkon,Cure,Linkon Cure,LV,0,0,1,0,490,21,780,233,True,0,0,0,0,46,0,0,6,0,0,2,0,0,0,0,4,13,13,0,22,0,Linkon,Cure,LinkonCure_28227,2521.0,2519.0,1.0,22.0,22.0,Signed,Star,81.0,0.0,0.0,LV,tier_3,628.2051282051282,1533.9130434782608,0.3076923076923077,5.128205128205129,0.1474876309799274,LV,1.0
167,WR,Dontayvion,Wicks,Dontayvion Wicks,IND,19,0,5,0,957,42,1052,372,True,0,5,0,0,80,0,0,6,7,0,1,0,0,0,0,2,16,16,2,9,0,Dontayvion,Wicks,WicksDontayvion_22772,3019.0,3017.0,6.0,28.0,9.0,Signed,Star,81.0,0.0,0.0,IND,tier_3,927.7566539923955,1688.3294117647058,0.125,1.9011406844106464,0.21261941790713174,IND,-1.0
197,WR,NiTareon,Tuggle,NiTareon Tuggle,CIN,1,0,4,1,1154,66,856,405,True,0,1,0,0,70,0,0,6,1,0,0,0,0,0,0,3,16,16,1,1,0,NiTareon,Tuggle,NiTareonTuggle_28632,1977.0,1975.0,1.0,23.0,1.0,Signed,Normal,76.0,0.0,0.0,CIN,tier_4,1349.2990654205607,2344.7323943661972,0.1875,3.5046728971962615,0.23275514320290439,CIN,4.0
