Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
8,RG,Justin,Hasenhuetl,Justin Hasenhuetl,GB,17,10,3,1142,True,17,19,0,10,Justin,Hasenhuetl,,2675.0,2673.0,5.0,29.0,4.0,19.0,Signed,Normal,79.0,0.0,0.0,GB,tier_4,2.626970227670753,GB,-1
12,RT,Emmett,Harper,Emmett Harper,MIN,17,10,3,1199,True,17,30,0,10,Emmett,Harper,EmmettHarper_3253,1462.0,1460.0,2.0,25.0,5.0,30.0,Signed,Normal,79.0,0.0,0.0,MIN,tier_4,2.5020850708924103,MIN,5
33,LT,Abdul,Clement,Abdul Clement,BAL,17,68,13,1149,True,17,24,0,10,Abdul,Clement,AbdulClement_33118,2198.0,2196.0,1.0,23.0,1.0,24.0,Signed,Star,77.0,0.0,0.0,BAL,tier_4,11.314186248912097,BAL,-4
50,RG,Glen,Childress,Glen Childress,DET,14,4,2,977,True,15,18,0,10,Glen,Childress,GlenChildress_3163357,1879.0,1877.0,3.0,24.0,63.0,18.0,Signed,Normal,70.0,0.0,0.0,DET,tier_5,2.0470829068577276,DET,3
51,LT,Nathan,Anderson,Nathan Anderson,DET,6,30,4,491,True,12,18,0,10,Nathan,Anderson,NathanAnderson_31410,2651.0,2649.0,3.0,25.0,4.0,18.0,Signed,Normal,71.0,0.0,0.0,DET,tier_5,8.146639511201629,DET,0
59,LG,John,Uwaezuoke,John Uwaezuoke,BUF,17,14,4,1131,True,17,2,0,10,John,Uwaezuoke,JohnUwaezuoke_31620,3430.0,3428.0,3.0,25.0,6.0,2.0,Signed,Normal,72.0,0.0,0.0,BUF,tier_5,3.5366931918656053,BUF,0
60,C,Vince,Clinton,Vince Clinton,BUF,16,58,1,1120,True,16,2,0,10,Vince,Clinton,VinceClinton_31220,372.0,370.0,3.0,24.0,2.0,2.0,Signed,Star,81.0,0.0,0.0,BUF,tier_3,0.8928571428571428,BUF,4
132,RT,Guerby,Lambert,Guerby Lambert,MIA,6,4,3,451,True,17,11,0,10,Guerby,Lambert,,1196.0,1194.0,6.0,29.0,2.0,11.0,Signed,Normal,66.0,0.0,0.0,MIA,tier_6,6.651884700665189,MIA,4
134,RT,Masai,Kalawaia,Masai Kalawaia,MIA,12,10,5,808,True,12,11,0,10,Masai,Kalawaia,,3634.0,3632.0,4.0,25.0,5.0,11.0,Signed,Normal,78.0,0.0,0.0,MIA,tier_4,6.188118811881188,MIA,2
135,LT,Deorius,Hill,Deorius Hill,MIA,17,87,8,1172,True,17,11,0,10,Deorius,Hill,DeoriusHill_34118,449.0,447.0,0.0,21.0,1.0,11.0,Signed,Normal,79.0,0.0,0.0,MIA,tier_4,6.825938566552901,MIA,2
149,LG,Jordan,McCain,Jordan McCain,LAC,11,6,1,805,True,15,7,0,10,Jordan,McCain,JordanMcCain_34313,2749.0,2747.0,0.0,23.0,3.0,7.0,Signed,Normal,70.0,0.0,0.0,LAC,tier_5,1.2422360248447206,LAC,6
150,LG,Angelo,Barnett,Angelo Barnett,KC,5,15,3,429,True,17,8,0,10,Angelo,Barnett,AngeloBarnett_34417,2841.0,2839.0,0.0,22.0,4.0,8.0,Signed,Normal,67.0,0.0,0.0,KC,tier_6,6.993006993006993,KC,-2
178,LG,Ty'quan,Maye,Ty'quan Maye,NYJ,17,19,5,1087,True,17,17,0,10,Ty'quan,Maye,Ty'quanMaye_30533,673.0,671.0,4.0,27.0,5.0,17.0,Signed,Normal,72.0,0.0,0.0,NYJ,tier_5,4.599816007359705,NYJ,0
181,RT,Kinglsey,Suamataia,Kinglsey Suamataia,SF,15,26,8,1010,True,17,14,0,10,Kinglsey,Suamataia,,3213.0,3211.0,10.0,32.0,1.0,14.0,Signed,Star,72.0,0.0,0.0,SF,tier_5,7.920792079207921,SF,0
210,C,Hayden,Whittington,Hayden Whittington,CIN,15,39,0,1042,True,15,1,0,10,Hayden,Whittington,HaydenWhittington_32232,934.0,932.0,2.0,23.0,2.0,1.0,Signed,Normal,82.0,0.0,0.0,CIN,tier_3,0.0,CIN,8
