FullName,Position,TeamName,SkillPointDef
A'Zion Buckley,CB,LAR,-1
A.J. Harris,CB,HOU,-1
A.J. Schwartz,FS,NO,3
A.J. Tulloch,SS,CLE,-2
Aaron Flowers,FS,SF,11
Aaron Gibson,LE,CHI,-1
Aaron Lawrence,RE,DEN,5
Aaron McCauley,DT,HOU,0
Aaron Olsen,RE,NE,0
Aaron Werner,RE,CAR,3
Abduall Sanders Jr,ROLB,JAX,4
Abdul Carter,LOLB,MIN,-2
Abe Willekes,SS,SEA,-1
Abu Tarawallie,DT,IND,4
Addison Claiborne,DT,IND,-2
Adonis Hodge,CB,SEA,2
Adonis Woodson,LE,MIN,0
Adonyss Currie,CB,LAR,-1
Adrien Martin,DT,DAL,0
Ahmad Brown,FS,BUF,1
Aidan Hutchinson,RE,DET,-6
Alex Bray,RE,PHI,1
Alex Clemons,LOLB,ARI,-3
Alex Lowry,ROLB,LAC,-4
Alex Peters,CB,WAS,-2
Alex Underwood,FS,WAS,0
Alton Givens,CB,JAX,-3
Alton Kennedy,RE,CHI,-4
Amare Adams,DT,SEA,-2
Amari Malone,RE,MIA,-8
Amir Dupree,CB,JAX,-1
Andrew Elliott,CB,PHI,-4
Andrew Hankins,FS,PHI,-1
Andrew Martin,RE,NYJ,1
Andrew Warner,SS,LAR,-5
Andrew Zimmerman,DT,IND,0
Anfernee Anderson,CB,SEA,-3
Anquon Fegans,FS,KC,1
Anthony Hill Jr,ROLB,CAR,-2
Anthony Jones,LE,DAL,-1
Anthony Kennedy Jr,DT,BUF,-2
Anthony Magana,FS,WAS,-1
Antoine Saunders,ROLB,MIA,-4
Anton Rivers,SS,SEA,-3
Antonio Coleman,DT,TEN,-2
Antonio Rutledge,FS,SF,1
Antwan Brewer,RE,ARI,2
Antwane Newsome,LE,HOU,2
Antwon Staley,MLB,SF,-6
Arion Carter,LOLB,CAR,6
Asaad Slayton,DT,HOU,-1
Ashton Herrien,LE,IND,-4
Austin Jackson,RE,ARI,-3
Austin Middlebrooks,FS,NO,-2
Austin Romaine,MLB,WAS,6
Avery Van Lanen,RE,LV,-2
B.J. Gallery,ROLB,TB,-4
Barrett Carter,MLB,LAC,-3
Bashaud Elston,CB,LV,-5
Bear Alexander,DT,CHI,0
Beau Atkinson,RE,NYJ,5
Ben Clavijo,LOLB,LAC,0
Ben Cutter,ROLB,DAL,3
Ben Donnell,CB,GB,-2
Ben Griffin,DT,IND,-2
Benjamin Bryant,DT,HOU,0
Benji Huntington,LE,SEA,-1
Beval Massey,CB,MIN,-1
Blake Brewer,FS,LV,-2
Bo Chamberlain,SS,NYG,5
Bo Winters,RE,MIA,3
Brad Fitzgibbon,DT,MIN,4
Bralan Womack,FS,BUF,1
Brandon Lockhart,CB,BAL,-4
Brandon Wright,MLB,KC,3
Brayden Cooper,CB,IND,8
Brayln Sheldon,SS,ATL,-1
Brendan Cunningham,CB,CIN,4
Brett McCollum,CB,DEN,1
Brian Barnett,SS,LAC,11
Brian Ridgeway,LE,BUF,-5
Brian Villarreal,LOLB,JAX,3
Britton Bradley,DT,LAR,0
Britton Holliday,LOLB,CIN,0
Bryan Harrington,DT,NE,-2
Bryce Briscoe,FS,SEA,-3
Bryson Bush,MLB,TB,6
C.J. Clifford,ROLB,LAR,4
C.J. Hicks,LOLB,NYG,-4
CJ May,RE,LAR,-6
CJ Meyers,ROLB,MIA,10
CJ Nickson,RE,MIN,1
Caden VerMaas,FS,DET,5
Caleb Downs,FS,NE,3
Calen Bullock,SS,NE,1
Calijah Kancey,DT,ATL,3
Calvin McPhee,CB,LV,-1
Calvin Reed,SS,TEN,-4
Calvin Taylor Jr,SS,IND,-1
Cam Aldridge,LE,NYG,-4
Camani Cobbs,CB,NE,0
Cameron Frazier,CB,GB,-1
Cameron Smith,ROLB,TEN,-4
Cannon Hughes,FS,TB,5
Carlo Burke,DT,TEN,0
Carlos Hildago,RE,CIN,-2
Cary Ward,FS,CLE,3
Cassh Schroeder,MLB,TEN,-2
Cedric Fitzgerald III,LE,BUF,-3
Cedric Gray,MLB,PHI,1
Chandavian Bradley,ROLB,LV,-2
Chandler Pratt,FS,DAL,-2
Charleston Minor,DT,MIN,7
Chauncey Tolbert,CB,NE,3
Chez Shepherd,LOLB,LAR,4
Chidike Edochie,CB,CIN,3
Chop Robinson,RE,HOU,-6
Chris Ancrum,DT,MIN,1
Chris Durant,LOLB,NO,5
Chris McLeod,RE,PIT,3
Chris Peralta,ROLB,LV,5
Chris Pittman,MLB,JAX,-1
Chris Ware,DT,TB,1
Chris Williams Jr,CB,SEA,3
Christian Gray,CB,JAX,1
Christian Harris,LOLB,PIT,10
Christian Jones,LOLB,PHI,4
Christopher Spence,CB,TEN,-1
Chrystyile Blaylock,LE,CLE,-1
Clayton Roosevelt,LOLB,TEN,0
Clifton Dobson Jr,RE,LV,3
Cody Mercer,MLB,TEN,-2
Cole Robinson,FS,BAL,2
Cole Sambucci,MLB,GB,1
Cooper Catalano,LOLB,GB,14
Cooper Silver,LE,ATL,2
Corey McAlister,MLB,NE,-1
Cormani McClain,CB,BAL,7
Cory Ingram,CB,MIN,2
Courtland Brooks,FS,ATL,7
Cube McNeal,DT,NE,-4
D'Angelo Ponds,CB,NYJ,-1
D.J. Davidson,LE,GB,-4
D.J. Rushing,DT,CLE,6
DJ Pickett,CB,TB,-2
DQ Smith,SS,DEN,1
DaQuan Allen,CB,BUF,-1
DaQuan Bullock,ROLB,BUF,11
DaVonte Colbert,RE,MIN,-1
DaWann Huff Jr,ROLB,CHI,-4
Daeh McCullough,FS,SEA,3
Daiyan Henley,ROLB,LAC,-5
