Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,SEAS_YEAR,PRETTDS,KRETYARDS,PRETYARDS,KRETATTEMPTS,KRETLONGEST,PRETATTEMPTS,PRETLONGEST,KRETTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName,RatingTier,KRYardsPerReturn,PRYardsPerReturn,TDsPerReturn
16,WR,Dru,Richards,Dru Richards,WAS,11,0,1178,0,47,63,0,0,0,Dru,Richards,DruRichards_3356,1524,1522,2,25,5,25,Signed,Normal,69,0,0,WAS,tier_6,25.06382978723404,,0.0
43,WR,Justin,Scoggins,Justin Scoggins,LAC,11,0,651,48,27,25,5,14,0,Justin,Scoggins,JustinScoggins_35331,3022,3020,0,23,3,7,Signed,Normal,73,0,0,LAC,tier_5,24.11111111111111,9.6,0.0
74,WR,Santana,Clark,Santana Clark,TEN,11,0,474,0,18,60,0,0,0,Santana,Clark,SantanaClark_32310,813,811,3,26,3,29,Signed,Normal,74,0,0,TEN,tier_5,26.333333333333332,,0.0
80,WR,Marlan,Hayes,Marlan Hayes,PIT,11,0,780,0,31,36,0,0,0,Marlan,Hayes,MarlanHayes_35623,2134,2132,0,22,6,28,Signed,Normal,65,0,0,PIT,tier_6,25.161290322580644,,0.0
95,WR,Alton,Adkins,Alton Adkins,CLE,11,0,378,45,11,94,6,13,1,Alton,Adkins,AltonAdkins_3263445,2915,2913,3,24,63,4,Signed,Normal,65,0,0,CLE,tier_6,34.36363636363637,7.5,0.058823529411764705
125,WR,Torren,Gresham,Torren Gresham,NYG,11,0,836,217,35,60,29,13,0,Torren,Gresham,TorrenGresham_32628,1639,1637,3,27,63,15,Signed,Normal,65,0,0,NYG,tier_6,23.885714285714286,7.482758620689655,0.0
131,WR,Joe,Burney,Joe Burney,TEN,11,0,920,236,37,56,24,37,0,Joe,Burney,JoeBurney_3363443,1114,1112,2,25,63,29,Signed,Normal,66,0,0,TEN,tier_6,24.864864864864863,9.833333333333334,0.0
132,WR,Donavan,Palmer,Donavan Palmer,MIN,11,0,925,233,34,58,21,37,0,Donavan,Palmer,DonavanPalmer_34617,538,536,1,23,63,30,Signed,Normal,70,0,0,MIN,tier_5,27.205882352941178,11.095238095238095,0.0
136,HB,Lyle,Page,Lyle Page,MIA,11,0,786,196,33,61,27,18,0,Lyle,Page,LylePage_3463289,2710,2708,1,22,63,11,Signed,Normal,61,0,0,MIA,tier_6,23.818181818181817,7.2592592592592595,0.0
143,HB,Jacquez,Wilson,Jacquez Wilson,DAL,11,0,807,0,30,86,0,0,0,Jacquez,Wilson,JacquezWilson_3557,1898,1896,0,23,5,10,Signed,Normal,71,0,0,DAL,tier_5,26.9,,0.0
