Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
8,K,Brad,Wilson,Brad Wilson,CLE,0,0,0,1,0,0,83,49,0,7,0,False,0,0,30,47,0,11,10,7,2,0,7,2,27,58,16,4,0,9,9,0,16,Brad,Wilson,BradWilson_3163316,3228.0,3226.0,0.0,23.0,4.0,Signed,Normal,71.0,0.0,0.0,CLE,tier_5,0.9,0.9591836734693877,0.8571428571428571,,,,CLE,3
9,P,Aidan,Flintoft,Aidan Flintoft,MIA,0,3088,3387,0,71,34,157,0,54,7,84,False,0,3,0,0,0,0,0,0,0,0,0,0,0,0,16,11,46,0,0,0,16,Aidan,Flintoft,,690.0,688.0,4.0,27.0,11.0,Signed,Normal,76.0,0.0,0.0,MIA,tier_4,,,,0.08823529411764706,47.70422535211268,0.9117212872748746,MIA,2
10,K,Cam,Little,Cam Little,MIA,0,0,0,0,0,0,66,48,0,7,0,False,0,0,22,48,0,4,5,7,6,0,6,5,18,59,16,11,0,3,4,0,16,Cam,Little,,2434.0,2432.0,6.0,29.0,11.0,Signed,Star,75.0,0.0,0.0,MIA,tier_4,0.8181818181818182,1.0,0.7777777777777778,,,,MIA,-1
11,K,Eddy,Pineiro,Eddy Pineiro,CAR,0,0,0,1,0,0,136,31,0,7,72,False,0,0,32,28,0,11,9,6,6,0,4,6,25,58,16,20,40,7,8,0,16,Eddy,Pineiro,PineiroEddy_13428,2247.0,2245.0,13.0,35.0,20.0,Signed,Normal,74.0,0.0,0.0,CAR,tier_5,0.78125,0.9032258064516129,0.75,,,,CAR,-5
12,P,Jake,Bailey,Jake Bailey,CAR,0,3730,3978,0,87,36,89,0,53,7,0,False,0,4,0,0,0,0,0,0,0,0,0,0,0,0,16,20,0,0,0,1,16,Jake,Bailey,BaileyJake_20480,128.0,126.0,12.0,34.0,20.0,Signed,Normal,72.0,0.0,0.0,CAR,tier_5,,,,0.1111111111111111,45.724137931034484,0.9376571141277024,CAR,0
13,K,Peyton,Woodring,Peyton Woodring,KC,0,0,0,0,0,0,159,36,0,7,82,False,0,0,34,35,0,16,4,8,6,0,7,4,29,60,16,8,56,14,4,0,16,Peyton,Woodring,,356.0,354.0,4.0,26.0,8.0,Signed,Normal,78.0,0.0,0.0,KC,tier_4,0.8529411764705882,0.9722222222222222,0.9,,,,KC,1
101,P,Tyler,White,Tyler White,KC,0,2974,3339,0,73,26,79,0,53,7,0,False,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,8,0,0,0,0,16,Tyler,White,,3132.0,3130.0,3.0,25.0,8.0,Signed,Normal,71.0,0.0,0.0,KC,tier_5,,,,0.07692307692307693,45.73972602739726,0.8906858340820605,KC,-2
102,P,Pressley,Harvin III,Pressley Harvin III,CIN,0,3511,3745,0,79,37,169,0,54,7,89,False,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,1,58,0,0,0,16,Pressley,Harvin III,HarvinIIIPressley_21854,1178.0,1176.0,10.0,32.0,1.0,Signed,Star,80.0,0.0,0.0,CIN,tier_3,,,,0.13513513513513514,47.40506329113924,0.9375166889185581,CIN,-2
103,K,Jared,Zirkel,Jared Zirkel,CIN,0,0,0,0,0,0,68,38,0,7,0,False,0,0,36,37,0,9,11,7,9,0,6,8,29,58,16,1,0,9,6,0,16,Jared,Zirkel,,2598.0,2596.0,6.0,28.0,1.0,Signed,Normal,76.0,0.0,0.0,CIN,tier_4,0.8055555555555556,0.9736842105263158,0.75,,,,CIN,-3
104,K,Tyson,Fredrickson,Tyson Fredrickson,MIN,0,0,0,0,0,0,53,31,0,7,0,False,0,0,26,28,0,9,9,5,3,0,5,2,21,58,16,30,0,7,7,0,16,Tyson,Fredrickson,TysonFredrickson_3163314,1708.0,1706.0,0.0,21.0,30.0,Signed,Normal,74.0,0.0,0.0,MIN,tier_5,0.8076923076923077,0.9032258064516129,0.7777777777777778,,,,MIN,-4
105,P,Ryan,Lynn,Ryan Lynn,MIN,0,3913,4255,0,91,27,163,0,53,7,70,False,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,30,38,0,0,0,16,Ryan,Lynn,RyanLynn_3163400,3300.0,3298.0,0.0,25.0,30.0,Signed,Normal,75.0,0.0,0.0,MIN,tier_4,,,,0.25925925925925924,46.75824175824176,0.9196239717978848,MIN,-3
107,P,A.J.,Cole III,A.J. Cole III,LV,0,3703,3977,0,85,28,168,0,54,7,83,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,22,44,0,0,0,16,A.J.,Cole III,ColeIIIAJ_20821,536.0,534.0,12.0,35.0,22.0,Signed,Normal,77.0,0.0,0.0,LV,tier_4,,,,0.21428571428571427,46.78823529411765,0.9311038471209454,LV,-3
108,P,Garrett,Jackson,Garrett Jackson,PIT,0,3276,3511,0,73,28,75,0,60,7,0,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,28,0,0,0,0,16,Garrett,Jackson,GarrettJackson_3063398,225.0,223.0,1.0,23.0,28.0,Signed,Normal,71.0,0.0,0.0,PIT,tier_5,,,,0.21428571428571427,48.0958904109589,0.9330675021361435,PIT,4
109,K,Andres,Borregales,Andres Borregales,PIT,0,0,0,0,0,0,85,32,0,7,65,False,0,0,20,31,0,8,4,5,3,0,4,2,16,62,16,28,7,6,4,0,16,Andres,Borregales,,1603.0,1601.0,6.0,29.0,28.0,Signed,Normal,74.0,0.0,0.0,PIT,tier_5,0.8,0.96875,0.8333333333333334,,,,PIT,1
110,P,Drew,Miller,Drew Miller,LAR,0,3413,3780,0,81,21,85,0,54,7,0,False,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,0,0,16,Drew,Miller,DrewMiller_2963266,175.0,173.0,2.0,25.0,23.0,Signed,Normal,73.0,0.0,0.0,LAR,tier_5,,,,0.5238095238095238,46.666666666666664,0.9029100529100529,LAR,-4
111,K,Conor,Talty,Conor Talty,LAR,0,0,0,0,0,0,143,30,0,7,79,False,0,0,31,30,0,10,7,9,5,0,9,5,30,57,16,23,57,9,7,0,16,Conor,Talty,,1893.0,1891.0,3.0,26.0,23.0,Signed,Superstar,86.0,0.0,0.0,LAR,tier_2,0.967741935483871,1.0,0.9411764705882353,,,,LAR,3
112,K,Blake,Grupe,Blake Grupe,NYG,0,0,0,0,0,0,165,40,0,7,89,False,0,0,35,40,0,11,6,6,12,0,6,10,32,59,16,15,55,10,6,0,16,Blake,Grupe,GrupeBlake_23337,607.0,605.0,8.0,32.0,15.0,Signed,Normal,73.0,0.0,0.0,NYG,tier_5,0.9142857142857143,1.0,0.9411764705882353,,,,NYG,7
113,P,CJ,Cole,CJ Cole,NYG,0,3240,3401,0,76,33,77,0,52,7,0,False,0,6,0,0,0,0,0,0,0,0,0,0,0,0,16,15,0,0,0,0,16,CJ,Cole,CJCole_31710,2649.0,2647.0,0.0,23.0,15.0,Signed,Normal,71.0,0.0,0.0,NYG,tier_5,,,,0.18181818181818182,44.75,0.9526609820640988,NYG,-1
114,K,Dean,Janikowski,Dean Janikowski,NE,0,0,0,0,0,0,56,29,0,7,0,False,0,0,25,27,0,3,8,6,8,0,5,7,21,57,16,21,0,2,7,0,16,Dean,Janikowski,,2305.0,2303.0,6.0,29.0,21.0,Signed,Normal,70.0,0.0,0.0,NE,tier_5,0.84,0.9310344827586207,0.8181818181818182,,,,NE,-1
115,P,Riley,Norton,Riley Norton,NE,0,4226,4478,0,93,33,165,0,55,7,70,False,0,9,0,0,0,0,0,0,0,0,0,0,0,0,16,21,53,0,0,0,16,Riley,Norton,RileyNorton_30530,2027.0,2025.0,1.0,27.0,21.0,Signed,Superstar,83.0,0.0,0.0,NE,tier_3,,,,0.2727272727272727,48.1505376344086,0.9437248771773113,NE,-2
