Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
18,RE,CJ,May,CJ May,HOU,True,0,0,805,0,12,21,35,1,8,1,0,0,0,0,0,0,0,31,18,0,3,0,16,15,CJ,May,CJMay_29327,1814.0,1812.0,3.0,25.0,31.0,Signed,Normal,78.0,0.0,0.0,HOU,tier_4,29.81366459627329,31.677018633540374,0.0,26.08695652173913,58.38509316770187,0.0,0.12422360248447205,0.0625,HOU,-2
22,DT,Damarious,Langford,Damarious Langford,TB,True,18,0,439,1,4,13,24,0,8,1,0,0,0,0,0,0,0,5,7,2,3,0,16,1,Damarious,Langford,DamariousLangford_31537,1768.0,1766.0,1.0,23.0,5.0,Signed,Normal,64.0,0.0,0.0,TB,tier_6,29.612756264236904,33.029612756264235,6.83371298405467,22.779043280182233,63.781321184510254,0.0,0.22779043280182232,0.0625,TB,3
62,DT,Walter,Nolen,Walter Nolen,CAR,True,33,0,627,2,12,32,30,0,8,0,0,0,0,0,0,0,1,20,9,2,9,0,14,14,Walter,Nolen,,1796.0,1794.0,7.0,29.0,20.0,Signed,XFactor,99.0,0.0,0.0,CAR,tier_0,43.0622009569378,50.239234449760765,7.974481658692184,28.70813397129187,66.98564593301435,0.0,0.0,0.0,CAR,1
99,CB,Brayden,Cooper,Brayden Cooper,IND,True,0,37,798,0,3,22,27,0,8,19,32,0,2,0,0,5,0,9,0,0,0,0,12,12,Brayden,Cooper,BraydenCooper_3114,3464.0,3462.0,1.0,23.0,9.0,Signed,Star,86.0,0.0,0.0,IND,tier_2,0.0,0.0,2.506265664160401,6.265664160401002,37.59398496240601,6.265664160401002,2.380952380952381,1.1666666666666667,IND,-1
314,FS,Kendarius,Reddick,Kendarius Reddick,MIN,True,0,84,1198,0,17,42,66,0,8,38,36,0,4,0,0,9,0,30,1,0,0,0,16,3,Kendarius,Reddick,KendariusReddick_29528,3549.0,3547.0,3.0,25.0,30.0,Signed,Star,76.0,0.0,0.0,MIN,tier_4,0.8347245409015025,0.8347245409015025,3.33889816360601,8.347245409015025,69.2821368948247,7.512520868113523,3.1719532554257093,1.8125,MIN,1
315,CB,Sheridan,Lewis,Sheridan Lewis,MIN,True,0,0,898,0,2,28,38,0,8,31,0,0,0,0,0,3,0,30,0,0,0,0,14,14,Sheridan,Lewis,SheridanLewis_3019,1699.0,1697.0,2.0,24.0,30.0,Signed,Normal,76.0,0.0,0.0,MIN,tier_4,0.0,0.0,0.0,3.34075723830735,44.54342984409799,3.34075723830735,3.4521158129175946,2.0,MIN,-5
316,MLB,Quinton,Davis Jr,Quinton Davis Jr,MIN,True,0,0,394,0,2,3,4,0,8,0,0,0,0,0,0,0,0,30,0,0,0,0,16,0,Quinton,Davis Jr,QuintonDavis Jr_30512,496.0,494.0,2.0,24.0,30.0,Signed,Normal,73.0,0.0,0.0,MIN,tier_5,0.0,0.0,0.0,0.0,15.228426395939087,0.0,0.0,0.0,MIN,-7
318,LOLB,Abdul,Carter,Abdul Carter,MIN,True,15,0,1230,1,13,66,88,0,8,40,0,0,0,0,0,5,0,30,3,1,2,0,16,16,Abdul,Carter,,518.0,516.0,7.0,28.0,30.0,Signed,Superstar,82.0,0.0,0.0,MIN,tier_3,5.691056910569106,6.504065040650406,1.6260162601626016,8.130081300813009,82.11382113821138,4.065040650406504,3.2520325203252036,2.1875,MIN,-1
319,DT,Brad,Fitzgibbon,Brad Fitzgibbon,MIN,True,43,0,656,3,8,39,50,1,8,0,0,1,0,0,0,0,0,30,23,4,6,0,16,0,Brad,Fitzgibbon,,3623.0,3621.0,3.0,25.0,30.0,Signed,Normal,78.0,0.0,0.0,MIN,tier_4,53.353658536585364,57.926829268292686,12.195121951219512,44.20731707317073,88.41463414634146,0.0,0.0,0.0,MIN,10
320,FS,Jordan,Lovett,Jordan Lovett,MIN,True,0,0,932,0,15,40,49,0,8,11,0,0,0,0,0,9,0,30,0,0,0,0,14,13,Jordan,Lovett,,435.0,433.0,6.0,28.0,30.0,Signed,Star,79.0,0.0,0.0,MIN,tier_4,0.0,0.0,0.0,9.656652360515022,68.6695278969957,9.656652360515022,1.1802575107296138,0.14285714285714285,MIN,-1
321,MLB,Shawn,Murphy,Shawn Murphy,MIN,True,30,0,673,2,12,40,54,1,8,28,0,0,0,0,0,4,0,30,1,3,1,0,16,16,Shawn,Murphy,,2450.0,2448.0,5.0,27.0,30.0,Signed,Star,80.0,0.0,0.0,MIN,tier_3,4.457652303120357,5.200594353640416,7.429420505200594,8.915304606240714,98.06835066864784,5.943536404160475,4.160475482912332,1.5,MIN,4
375,CB,Kasey,Irwin,Kasey Irwin,MIN,True,0,33,649,0,5,19,26,0,8,14,22,0,2,0,0,8,0,30,0,0,0,0,14,7,Kasey,Irwin,KaseyIrwin_3148,3628.0,3626.0,1.0,22.0,30.0,Signed,Normal,74.0,0.0,0.0,MIN,tier_5,0.0,0.0,3.0816640986132513,12.326656394453005,47.76579352850539,12.326656394453005,2.157164869029276,0.42857142857142855,MIN,3
396,DT,Kevin,Wynn,Kevin Wynn,TEN,True,0,0,589,0,8,19,28,1,8,0,0,0,0,0,0,0,0,29,12,0,4,0,16,4,Kevin,Wynn,KevinWynn_29320,1477.0,1475.0,3.0,25.0,29.0,Signed,Normal,69.0,0.0,0.0,TEN,tier_6,33.955857385398986,37.35144312393888,0.0,27.164685908319186,61.120543293718164,0.0,0.0,0.0,TEN,-2
427,DT,Jose,Williams,Jose Williams,NYG,True,13,0,466,1,9,21,34,1,8,0,0,0,0,0,0,0,0,15,10,2,6,0,15,1,Jose,Williams,JoseWilliams_30714,1932.0,1930.0,2.0,25.0,15.0,Signed,Normal,69.0,0.0,0.0,NYG,tier_6,47.21030042918455,53.6480686695279,6.437768240343348,34.33476394849785,92.27467811158799,0.0,0.0,0.0,NYG,8
552,RE,Aidan,Hutchinson,Aidan Hutchinson,DET,True,18,0,674,1,8,31,41,0,8,0,0,1,0,0,0,0,0,18,16,1,6,0,14,14,Aidan,Hutchinson,HutchinsonAidan_22145,1358.0,1356.0,10.0,32.0,18.0,Signed,XFactor,90.0,0.0,0.0,DET,tier_1,41.54302670623145,45.99406528189911,4.451038575667656,32.640949554896146,72.70029673590504,0.0,0.0,0.0,DET,1
579,FS,Daxton,Hill,Daxton Hill,CIN,True,19,0,866,1,36,36,53,0,8,19,0,0,0,0,0,6,0,1,0,1,0,0,13,13,Daxton,Hill,HillDaxton_22263,1249.0,1247.0,10.0,31.0,1.0,Signed,Star,80.0,0.0,0.0,CIN,tier_3,0.0,0.0,2.3094688221709005,6.928406466512702,102.77136258660508,6.928406466512702,2.1939953810623556,1.0,CIN,2
597,SS,Calvin,Reed,Calvin Reed,TEN,True,1,0,1257,1,29,42,59,1,8,24,0,0,0,0,0,9,0,29,1,0,0,0,16,16,Calvin,Reed,CalvinReed_32127,716.0,714.0,0.0,23.0,29.0,Signed,Normal,77.0,0.0,0.0,TEN,tier_4,0.7955449482895784,0.7955449482895784,0.7955449482895784,7.955449482895784,70.00795544948289,7.159904534606206,1.9093078758949882,0.9375,TEN,-2
619,RE,Matt,Gentry,Matt Gentry,TEN,True,0,0,466,0,6,18,23,1,8,1,0,0,0,0,0,0,0,29,4,0,5,0,14,3,Matt,Gentry,MattGentry_30220,2733.0,2731.0,2.0,23.0,29.0,Signed,Star,70.0,0.0,0.0,TEN,tier_5,30.042918454935624,35.407725321888414,0.0,19.313304721030043,62.231759656652365,0.0,0.2145922746781116,0.07142857142857142,TEN,-1
661,ROLB,Tyree,Kelley,Tyree Kelley,MIN,True,0,0,466,0,1,4,6,0,8,1,0,0,0,0,0,0,0,30,0,0,0,0,16,0,Tyree,Kelley,TyreeKelley_31319,922.0,920.0,1.0,23.0,30.0,Signed,Normal,70.0,0.0,0.0,MIN,tier_5,0.0,0.0,0.0,0.0,15.021459227467812,0.0,0.2145922746781116,0.0625,MIN,-9
744,ROLB,Sammy,Brown,Sammy Brown,HOU,True,0,0,1239,0,25,80,119,1,8,53,0,0,0,0,0,0,0,31,4,0,2,0,15,15,Sammy,Brown,,203.0,201.0,5.0,26.0,31.0,Signed,Normal,80.0,0.0,0.0,HOU,tier_3,6.45682001614205,7.263922518159807,0.0,4.842615012106537,116.2227602905569,0.0,4.277643260694108,3.533333333333333,HOU,-1
775,SS,Ramon,Waynes,Ramon Waynes,TEN,True,17,14,607,1,10,20,31,1,8,12,14,0,1,0,0,3,0,29,3,1,1,0,16,1,Ramon,Waynes,RamonWaynes_30415,45.0,43.0,2.0,25.0,29.0,Signed,Normal,70.0,0.0,0.0,TEN,tier_5,8.237232289950576,9.060955518945633,4.942339373970346,11.532125205930807,67.54530477759472,4.942339373970346,1.9769357495881383,0.5625,TEN,5
