Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,GAMESSTARTED,OLINEPANCAKES,OLINESACKSALLOWED,DOWNSPLAYED,STAT_KEEP,GAMESPLAYED,YEARBYYEARTEAMINDEX,GAMERATING,SEAS_YEAR,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,SacksPer1000Snaps,TeamName_y,SkillPointOL
29,LG,Junior,Hines,Junior Hines,TEN,15,50,6,1154,False,15,29,0,8,Junior,Hines,JuniorHines_31129,2205.0,2203.0,1.0,23.0,29.0,Signed,Normal,73.0,0.0,0.0,TEN,tier_5,5.199306759098787,TEN,0
31,RG,Quinn,Meinerz,Quinn Meinerz,TEN,12,22,3,843,False,16,29,0,8,Quinn,Meinerz,MeinerzQuinn_21842,1913.0,1911.0,11.0,33.0,29.0,Signed,Star,67.0,0.0,0.0,TEN,tier_6,3.558718861209964,TEN,1
71,LG,Mario,Nash Jr,Mario Nash Jr,KC,14,32,1,967,False,14,8,0,8,Mario,Nash Jr,MarioNash Jr_29431,2136.0,2134.0,3.0,26.0,8.0,Signed,Normal,80.0,0.0,0.0,KC,tier_3,1.0341261633919339,KC,4
73,LG,Ty'quan,Maye,Ty'quan Maye,KC,16,26,5,1090,False,16,8,0,8,Ty'quan,Maye,Ty'quanMaye_30533,673.0,671.0,2.0,25.0,8.0,Signed,Normal,78.0,0.0,0.0,KC,tier_4,4.587155963302752,KC,-1
171,RG,Darius,Woodbury,Darius Woodbury,LV,16,24,2,1223,False,16,22,0,8,Darius,Woodbury,DariusWoodbury_31123,689.0,687.0,1.0,22.0,22.0,Signed,Superstar,97.0,0.0,0.0,LV,tier_0,1.635322976287817,LV,-1
173,C,James,Skillin,James Skillin,LV,14,126,6,827,False,14,22,0,8,James,Skillin,JamesSkillin_31427,1822.0,1820.0,1.0,23.0,22.0,Signed,Normal,75.0,0.0,0.0,LV,tier_4,7.255139056831923,LV,-4
206,C,Tyler,Linderbaum,Tyler Linderbaum,BAL,14,159,6,1045,False,14,24,0,8,Tyler,Linderbaum,LinderbaumTyler_22274,1729.0,1727.0,10.0,32.0,24.0,Signed,Star,76.0,0.0,0.0,BAL,tier_4,5.741626794258373,BAL,-1
217,RT,Glen,Rodriguez,Glen Rodriguez,WAS,7,12,6,582,False,15,25,0,8,Glen,Rodriguez,GlenRodriguez_3163389,2986.0,2984.0,1.0,23.0,25.0,Signed,Normal,67.0,0.0,0.0,WAS,tier_6,10.309278350515465,WAS,-2
272,C,Donte,Harris,Donte Harris,SEA,14,96,8,955,False,14,27,0,8,Donte,Harris,DonteHarris_30337,339.0,337.0,2.0,24.0,27.0,Signed,Normal,77.0,0.0,0.0,SEA,tier_4,8.376963350785342,SEA,-7
273,RG,Mike,Milner,Mike Milner,SEA,16,23,2,1109,False,16,27,0,8,Mike,Milner,MikeMilner_31317,2803.0,2801.0,1.0,22.0,27.0,Signed,Normal,75.0,0.0,0.0,SEA,tier_4,1.8034265103697023,SEA,5
