Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,STAT_KEEP,DLINEFUMBLERECOVERYYARDS,DSECINTRETURNYARDS,DOWNSPLAYED,DLINEFUMBLERECOVERIES,ASSDEFTACKLES,BIGHITS,DEFTACKLES,DLINEHALFSACK,SEAS_YEAR,CTHALLOWED,DSECINTLONGESTRETURN,DLINESAFETIES,DSECINTS,DSECINTTDS,GAMERATING,DEFPASSDEFLECTIONS,DLINEBLOCKS,YEARBYYEARTEAMINDEX,DEFTACKLESFORLOSS,DLINEFORCEDFUMBLES,DLINESACKS,DLINEFUMBLETDS,GAMESPLAYED,GAMESSTARTED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,DLSacksAndTFLPer1000Snaps,DTSacksAndTFLPer1000Snaps,TotalTurnoversPer1000Snaps,LBSacksTFLPassDeflPer1000Snaps,TacklesPer1000Snaps,CBPassDeflPer1000Snaps,CBCatchAllowPer100Snaps,SafetiesCatchAllowMinusPDPerGame,TeamName_y,SkillPointDef
17,ROLB,Chris,Peralta,Chris Peralta,LV,True,15,0,848,1,17,36,59,0,9,30,0,0,0,0,0,4,0,22,1,1,2,0,16,16,Chris,Peralta,ChrisPeralta_33516,3505.0,3503.0,0.0,22.0,5.0,22.0,Signed,Normal,71.0,0.0,0.0,LV,tier_5,5.89622641509434,7.0754716981132075,2.3584905660377355,8.254716981132075,89.62264150943396,4.716981132075471,3.5377358490566038,1.625,LV,4
70,LOLB,Tevarua,Tafiti,Tevarua Tafiti,LV,True,0,0,313,0,1,3,5,1,9,0,0,0,0,0,0,0,0,22,0,0,0,0,12,0,Tevarua,Tafiti,,3038.0,3036.0,6.0,29.0,7.0,22.0,Signed,Normal,67.0,0.0,0.0,LV,tier_6,0.0,0.0,0.0,0.0,19.169329073482427,0.0,0.0,0.0,LV,-5
129,DT,Josh,Sherman,Josh Sherman,HOU,True,0,0,471,0,7,14,20,1,9,0,0,0,0,0,0,0,0,31,6,0,6,0,16,0,Josh,Sherman,JoshSherman_30224,2009.0,2007.0,3.0,26.0,2.0,31.0,Signed,Normal,70.0,0.0,0.0,HOU,tier_5,38.216560509554135,44.58598726114649,0.0,25.477707006369428,57.32484076433121,0.0,0.0,0.0,HOU,-3
160,CB,Daylen,Everette,Daylen Everette,ATL,True,0,47,1089,0,8,29,38,1,9,32,26,0,3,0,0,12,0,13,0,1,0,0,16,16,Daylen,Everette,,340.0,338.0,8.0,29.0,2.0,13.0,Signed,Superstar,83.0,0.0,0.0,ATL,tier_3,0.0,0.0,3.6730945821854912,11.019283746556475,42.24058769513315,11.019283746556475,2.938475665748393,1.25,ATL,2
260,LE,Cam,Aldridge,Cam Aldridge,NYG,True,12,0,588,1,17,28,34,0,9,0,0,0,0,0,0,0,0,15,9,1,9,1,14,14,Cam,Aldridge,CamAldridge_32330,1112.0,1110.0,1.0,23.0,3.0,15.0,Signed,Normal,79.0,0.0,0.0,NYG,tier_4,45.91836734693878,53.57142857142857,5.1020408163265305,30.612244897959183,86.73469387755102,0.0,0.0,0.0,NYG,5
303,LE,Marcelis,Foster,Marcelis Foster,WAS,True,0,0,325,0,1,8,13,0,9,0,0,0,0,0,0,0,0,25,3,1,3,0,11,0,Marcelis,Foster,MarcelisFoster_3274,1772.0,1770.0,1.0,23.0,7.0,25.0,Signed,Normal,70.0,0.0,0.0,WAS,tier_5,27.692307692307693,32.30769230769231,3.076923076923077,18.461538461538463,43.07692307692307,0.0,0.0,0.0,WAS,2
309,DT,Deone,Walker,Deone Walker,ATL,True,16,0,416,1,10,13,21,0,9,0,0,0,0,0,0,0,0,13,13,1,2,0,16,0,Deone,Walker,,998.0,996.0,8.0,29.0,1.0,13.0,Signed,Star,73.0,0.0,0.0,ATL,tier_5,40.86538461538461,43.26923076923077,4.807692307692308,36.05769230769231,74.51923076923077,0.0,0.0,0.0,ATL,0
346,SS,Trent,Porter,Trent Porter,CHI,True,0,32,583,0,5,30,57,1,9,32,32,0,1,0,0,8,0,0,0,0,0,0,13,0,Trent,Porter,TrentPorter_33533,1138.0,1136.0,0.0,24.0,5.0,0.0,Signed,Normal,68.0,0.0,0.0,CHI,tier_6,0.0,0.0,1.7152658662092624,13.722126929674099,106.34648370497426,13.722126929674099,5.4888507718696395,1.8461538461538463,CHI,13
409,DT,Matthew,Adkins,Matthew Adkins,CLE,True,0,0,576,0,9,22,28,0,9,0,0,0,0,0,0,0,0,4,10,0,1,0,13,7,Matthew,Adkins,MatthewAdkins_30213,1016.0,1014.0,3.0,25.0,2.0,4.0,Signed,Normal,75.0,0.0,0.0,CLE,tier_4,20.833333333333332,21.70138888888889,0.0,19.097222222222225,64.2361111111111,0.0,0.0,0.0,CLE,-7
420,RE,Reid,Kitchens,Reid Kitchens,PHI,True,14,0,723,1,11,21,35,0,9,2,0,0,0,0,0,0,0,12,18,2,2,0,16,4,Reid,Kitchens,ReidKitchens_3059,3511.0,3509.0,3.0,25.0,5.0,12.0,Signed,Normal,73.0,0.0,0.0,PHI,tier_5,30.428769017980635,31.8118948824343,4.149377593360996,27.662517289073303,63.6237897648686,0.0,0.2766251728907331,0.125,PHI,3
430,FS,Jaylin,Simpson,Jaylin Simpson,SEA,True,0,42,979,0,18,47,68,0,9,27,21,0,3,0,0,11,0,27,0,0,0,0,14,14,Jaylin,Simpson,SimpsonJaylin_14965,3583.0,3581.0,9.0,32.0,6.0,27.0,Signed,Star,81.0,0.0,0.0,SEA,tier_3,0.0,0.0,3.0643513789581203,11.235955056179774,87.84473953013278,11.235955056179774,2.7579162410623086,1.1428571428571428,SEA,5
441,MLB,Delarrin,Aguayo,Delarrin Aguayo,LAR,True,39,0,992,2,26,83,109,0,9,50,0,0,0,0,0,6,0,23,4,2,2,0,16,16,Delarrin,Aguayo,DelarrinAguayo_32319,1079.0,1077.0,1.0,22.0,3.0,23.0,Signed,Star,76.0,0.0,0.0,LAR,tier_4,8.064516129032258,9.072580645161292,4.032258064516129,12.096774193548386,136.08870967741933,6.048387096774193,5.040322580645161,2.75,LAR,8
444,LOLB,Quincy,Thurman,Quincy Thurman,NE,True,31,0,541,2,6,16,27,0,9,5,0,0,0,0,0,0,0,21,6,2,6,1,16,16,Quincy,Thurman,QuincyThurman_30537,2730.0,2728.0,3.0,27.0,5.0,21.0,Signed,Normal,77.0,0.0,0.0,NE,tier_4,33.271719038817004,38.817005545286506,9.24214417744917,22.181146025878004,60.99815157116451,0.0,0.9242144177449169,0.3125,NE,9
460,LOLB,Christian,Jones,Christian Jones,PHI,True,21,31,1214,1,12,62,81,1,9,27,31,0,1,0,0,4,0,12,2,1,1,0,16,16,Christian,Jones,ChristianJones_29336,1208.0,1206.0,4.0,27.0,3.0,12.0,Signed,Star,78.0,0.0,0.0,PHI,tier_4,3.2948929159802307,3.7067545304777596,2.471169686985173,5.766062602965404,76.60626029654036,3.2948929159802307,2.224052718286656,1.4375,PHI,-2
491,LE,Jordan,Carter,Jordan Carter,CIN,True,0,0,738,0,12,21,25,0,9,1,0,0,0,0,0,0,0,1,11,1,2,0,16,16,Jordan,Carter,JordanCarter_2925,3453.0,3451.0,4.0,25.0,2.0,1.0,Signed,Normal,79.0,0.0,0.0,CIN,tier_4,20.32520325203252,21.680216802168022,1.3550135501355014,17.615176151761517,50.13550135501355,0.0,0.13550135501355012,0.0625,CIN,-4
509,ROLB,Zach,Stern,Zach Stern,CLE,True,0,0,337,0,7,1,9,0,9,1,0,0,0,0,0,0,0,4,1,1,0,0,15,15,Zach,Stern,ZachStern_32736,2692.0,2690.0,1.0,23.0,7.0,4.0,Signed,Normal,61.0,0.0,0.0,CLE,tier_6,2.967359050445104,2.967359050445104,2.967359050445104,2.967359050445104,47.47774480712167,0.0,0.2967359050445104,0.06666666666666667,CLE,2
520,CB,Will,Johnson,Will Johnson,TEN,True,17,123,1076,1,10,46,56,0,9,32,30,0,5,0,0,16,0,29,1,1,0,0,16,16,Will,Johnson,,1553.0,1551.0,8.0,30.0,1.0,29.0,Signed,Star,84.0,0.0,0.0,TEN,tier_3,0.929368029739777,0.929368029739777,6.5055762081784385,15.799256505576206,61.33828996282528,14.869888475836431,2.973977695167286,1.0,TEN,4
530,SS,Jarrid,McBride,Jarrid McBride,ATL,True,17,0,538,1,10,19,29,0,9,12,0,0,0,0,0,2,0,13,0,1,0,0,14,5,Jarrid,McBride,JarridMcBride_3263341,2542.0,2540.0,1.0,23.0,63.0,13.0,Signed,Normal,69.0,0.0,0.0,ATL,tier_6,0.0,0.0,3.717472118959108,3.717472118959108,72.4907063197026,3.717472118959108,2.2304832713754648,0.7142857142857143,ATL,0
542,DT,Nasir,Johnson,Nasir Johnson,GB,True,17,0,515,1,8,22,34,1,9,0,0,0,0,0,0,0,0,19,19,1,4,0,12,12,Nasir,Johnson,,2808.0,2806.0,5.0,27.0,1.0,19.0,Signed,Star,75.0,0.0,0.0,GB,tier_4,52.42718446601942,56.310679611650485,3.883495145631068,44.66019417475728,81.55339805825243,0.0,0.0,0.0,GB,4
593,CB,Jaylen,Mbakwe,Jaylen Mbakwe,BUF,True,0,18,1129,0,9,23,30,0,9,21,18,0,1,0,0,11,0,2,0,0,0,0,16,16,Jaylen,Mbakwe,,861.0,859.0,5.0,28.0,2.0,2.0,Signed,Normal,80.0,0.0,0.0,BUF,tier_3,0.0,0.0,0.8857395925597874,9.743135518157661,34.54384410983171,9.743135518157661,1.8600531443755535,0.625,BUF,-3
611,SS,Koi,Perich,Koi Perich,LAC,True,0,140,1242,0,33,40,65,0,9,28,35,0,5,2,0,9,0,7,0,0,0,0,16,16,Koi,Perich,,1957.0,1955.0,5.0,27.0,3.0,7.0,Signed,Superstar,90.0,0.0,0.0,LAC,tier_1,0.0,0.0,5.636070853462158,7.246376811594203,78.90499194847021,7.246376811594203,2.254428341384863,1.1875,LAC,1
644,DT,Jack,Patterson,Jack Patterson,DET,True,14,0,464,1,12,18,30,0,9,0,0,0,0,0,0,0,0,18,10,1,6,0,14,1,Jack,Patterson,JackPatterson_3359,662.0,660.0,0.0,22.0,5.0,18.0,Signed,Normal,70.0,0.0,0.0,DET,tier_5,47.41379310344827,53.87931034482758,4.310344827586206,34.48275862068965,90.51724137931035,0.0,0.0,0.0,DET,1
727,LE,LT,Overton,LT Overton,ATL,True,16,0,506,1,6,30,37,1,9,0,0,0,0,0,0,0,0,13,12,1,9,0,11,11,LT,Overton,,183.0,181.0,8.0,29.0,1.0,13.0,Signed,Superstar,86.0,0.0,0.0,ATL,tier_2,59.28853754940711,68.18181818181817,3.952569169960474,41.501976284584984,84.98023715415019,0.0,0.0,0.0,ATL,3
752,MLB,Brandon,Wright,Brandon Wright,KC,True,0,0,375,0,5,4,7,1,9,2,0,0,0,0,0,0,1,8,0,0,0,0,16,6,Brandon,Wright,BrandonWright_31717,1787.0,1785.0,2.0,24.0,7.0,8.0,Signed,Normal,66.0,0.0,0.0,KC,tier_6,0.0,0.0,2.6666666666666665,0.0,32.0,0.0,0.5333333333333333,0.125,KC,0
772,RE,Jamal,Lincoln-Pettis,Jamal Lincoln-Pettis,BAL,True,0,0,446,0,7,7,17,1,9,0,0,0,0,0,0,0,0,24,4,0,1,0,15,10,Jamal,Lincoln-Pettis,,914.0,912.0,2.0,24.0,5.0,24.0,Signed,Normal,69.0,0.0,0.0,BAL,tier_6,13.45291479820628,14.573991031390134,0.0,11.210762331838565,53.81165919282512,0.0,0.0,0.0,BAL,-3
872,MLB,Jaylan,Ford,Jaylan Ford,CLE,True,0,42,1087,0,23,63,86,0,9,34,42,0,1,1,0,15,0,4,3,0,2,0,16,16,Jaylan,Ford,FordJaylan_14912,3267.0,3265.0,9.0,31.0,2.0,4.0,Signed,Superstar,87.0,0.0,0.0,CLE,tier_2,6.439742410303588,7.359705611775529,1.8399264029438822,18.39926402943882,100.27598896044158,13.799448022079117,3.1278748850046,1.1875,CLE,2
971,CB,Eli,Brockers,Eli Brockers,ARI,True,37,40,1305,2,14,44,66,0,9,34,24,0,2,0,0,13,0,6,1,2,0,0,16,2,Eli,Brockers,EliBrockers_32427,1022.0,1020.0,1.0,23.0,4.0,6.0,Signed,Normal,74.0,0.0,0.0,ARI,tier_5,0.7662835249042146,0.7662835249042146,4.597701149425287,10.727969348659004,61.30268199233716,9.96168582375479,2.6053639846743293,1.3125,ARI,2
978,DT,James,Carrington,James Carrington,ARI,True,0,0,719,0,6,30,40,1,9,0,0,0,0,0,0,0,0,6,12,0,8,0,16,15,James,Carrington,JamesCarrington_29221,764.0,762.0,4.0,25.0,2.0,6.0,Signed,Star,80.0,0.0,0.0,ARI,tier_3,38.94297635605007,44.50625869262865,0.0,27.81641168289291,63.97774687065369,0.0,0.0,0.0,ARI,-5
999,MLB,Greg,Denney,Greg Denney,LAC,True,17,0,379,1,2,6,6,0,9,3,0,0,0,0,0,0,0,7,0,1,0,0,16,2,Greg,Denney,GregDenney_3063325,2690.0,2688.0,3.0,25.0,63.0,7.0,Signed,Normal,69.0,0.0,0.0,LAC,tier_6,0.0,0.0,5.277044854881266,0.0,21.108179419525065,0.0,0.79155672823219,0.1875,LAC,0
1001,CB,Fabian,Spence,Fabian Spence,NO,True,0,35,878,0,3,19,24,0,9,19,35,0,1,0,0,6,0,26,0,0,0,0,12,12,Fabian,Spence,FabianSpence_32417,1038.0,1036.0,1.0,23.0,4.0,26.0,Signed,Normal,79.0,0.0,0.0,NO,tier_4,0.0,0.0,1.1389521640091116,6.83371298405467,30.751708428246015,6.83371298405467,2.164009111617312,1.0833333333333333,NO,-1
1002,LOLB,Chris,Durant,Chris Durant,NO,True,0,0,501,0,5,11,19,1,9,9,0,0,0,0,0,0,0,26,1,0,0,0,16,9,Chris,Durant,ChrisDurant_32229,974.0,972.0,1.0,23.0,2.0,26.0,Signed,Normal,69.0,0.0,0.0,NO,tier_6,1.996007984031936,1.996007984031936,0.0,1.996007984031936,47.90419161676647,0.0,1.7964071856287425,0.5625,NO,-2
