Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,KICKEPBLOCKED,PUNTNETYARDS,PUNTYARDS,KICKFGBLOCKED,PUNTATTEMPTS,PUNTIN20,DOWNSPLAYED,KICKEPATTEMPTS,PUNTLONGEST,SEAS_YEAR,KICKNUMKICKOFFS,STAT_KEEP,GAMERATING,PUNTTOUCHBACKS,KICKFGATTEMPTS,KICKEPMADE,GAMEWINFGSMADE,KICKFGATTEMPTS50ORMORE,KICKFGATTEMPTS40TO49,KICKFGATTEMPTS30TO39,KICKFGATTEMPTS29ORLESS,GAMEWINFGATTEMPTS,KICKFGMADE30TO39,KICKFGMADE29ORLESS,KICKFGMADE,KICKFGLONGEST,GAMESSTARTED,YEARBYYEARTEAMINDEX,KICKTOUCHBACKS,KICKFGMADE50ORMORE,KICKFGMADE40TO49,PUNTBLOCKED,GAMESPLAYED,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,FGPercentage,EPPercentage,Over40YardPercentage,PuntTBPerIn20,YardsPerPunt,NetYardsToPuntYards,TeamName_y,SkillPointKick
1,K,Ryan,Fitzgerald,Ryan Fitzgerald,CAR,0,0,0,0,0,0,119,27,0,0,65,True,0,0,27,24,0,4,9,8,6,0,7,6,23,57,15,20,10,2,8,0,15,Ryan,Fitzgerald,FitzgeraldRyan_15369,824.0,822.0,0.0,25.0,63.0,20.0,Signed,Normal,75.0,0.0,0.0,CAR,tier_4,0.8518518518518519,0.8888888888888888,0.7692307692307693,,,,CAR,-7.0
2,P,Sam,Martin,Sam Martin,CAR,0,2022,2362,0,50,24,52,0,68,0,2,True,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,20,0,0,0,0,15,Sam,Martin,MartinSam_11938,1680.0,1678.0,12.0,35.0,5.0,20.0,Signed,Normal,72.0,0.0,0.0,CAR,tier_5,,,,0.08333333333333333,47.24,0.8560541913632514,CAR,0.0
3,P,Michael,Dickson,Michael Dickson,SEA,0,2069,2424,0,49,19,49,0,60,0,0,True,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,27,0,0,0,0,15,Michael,Dickson,DicksonMichael_13391,656.0,654.0,7.0,29.0,5.0,27.0,Signed,College_Impact,84.0,0.0,0.0,SEA,tier_3,,,,0.15789473684210525,49.46938775510204,0.8535478547854786,SEA,-1.0
4,K,Jason,Myers,Jason Myers,SEA,0,0,0,0,0,0,179,44,0,0,93,True,0,0,42,44,0,12,12,13,5,0,12,5,37,57,15,27,16,9,11,0,15,Jason,Myers,MyersJason_2772,1922.0,1920.0,10.0,34.0,63.0,27.0,Signed,Normal,77.0,0.0,0.0,SEA,tier_4,0.8809523809523809,1.0,0.8333333333333334,,,,SEA,1.0
5,P,A.J.,Cole,A.J. Cole,LV,0,2497,2901,0,62,21,62,0,64,0,0,True,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,22,0,0,0,2,15,A.J.,Cole,ColeIIIAJ_20821,497.0,495.0,6.0,29.0,63.0,22.0,Signed,Normal,77.0,0.0,0.0,LV,tier_4,,,,0.19047619047619047,46.79032258064516,0.8607376766632195,LV,-4.0
6,K,Daniel,Carlson,Daniel Carlson,LV,0,30,30,0,1,0,98,21,30,0,54,True,0,0,22,20,0,6,7,5,4,0,5,4,17,54,15,22,5,3,5,0,15,Daniel,Carlson,CarlsonDaniel_13382,424.0,422.0,7.0,30.0,5.0,22.0,Signed,Normal,73.0,0.0,0.0,LV,tier_5,0.7727272727272727,0.9523809523809523,0.6153846153846154,,30.0,1.0,LV,-4.0
7,K,Will,Reichard,Will Reichard,MIN,0,0,0,0,0,0,129,28,0,0,72,True,0,0,29,28,0,11,5,8,5,0,8,5,27,62,15,30,11,9,5,0,15,Will,Reichard,ReichardWill_15004,2211.0,2209.0,1.0,24.0,6.0,30.0,Signed,Normal,81.0,0.0,0.0,MIN,tier_3,0.9310344827586207,1.0,0.875,,,,MIN,0.0
8,P,Tory,Taylor,Tory Taylor,CHI,0,2134,2516,0,53,20,55,0,69,0,2,True,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,Tory,Taylor,TaylorTory_15008,2603.0,2601.0,1.0,28.0,4.0,0.0,Signed,Normal,72.0,0.0,0.0,CHI,tier_5,,,,0.3,47.471698113207545,0.8481717011128775,CHI,-5.0
9,K,Chad,Ryland,Chad Ryland,AZ,0,0,0,0,0,0,137,32,0,0,74,True,0,0,31,32,0,9,9,8,5,0,7,5,23,57,15,6,18,5,6,0,15,,,,,,,,,,,,,,,,,0.7419354838709677,1.0,0.6111111111111112,,,,,
11,P,Jack,Fox,Jack Fox,DET,0,2181,2359,0,51,25,51,0,66,0,0,True,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,18,0,0,0,0,15,Jack,Fox,FoxJack_20716,859.0,857.0,7.0,29.0,63.0,18.0,Signed,Normal,74.0,0.0,0.0,DET,tier_5,,,,0.04,46.254901960784316,0.9245442984315387,DET,3.0
