Row,Position,FirstName_x,LastName_x,FullName,TeamPrefixName,RUSHYARDS,PASSYARDS,RECEIVEDROPS,RUSHYARDSAFTER1STHIT,RECEIVEYARDS,RECEIVELONGEST,DOWNSPLAYED,RECEIVEYARDSAFTER,STAT_KEEP,PASSCOMPLETED,RUSHATTEMPTS,PASSATTEMPTS,PASSINTS,RECEIVECATCHES,FIRSTDOWNS,RUSH20YARDRUNS,SEAS_YEAR,RUSHLONGEST,PASSLONGEST,RUSHBROKENTACKLES,4QCOMEBACKS,GAMERATING,PASSSACKED,PASSTDS,RECEIVETDS,GAMESPLAYED,GAMESSTARTED,RUSHFUMBLES,YEARBYYEARTEAMINDEX,RUSHTDS,FirstName_y,LastName_y,PLYR_ASSETNAME,Row Excel,Row Editor,YearsPro,Age,PLYR_DRAFTROUND,TeamIndex,ContractStatus,TraitDevelopment,OverallRating,SkillPoints,RegressionPoints,TeamName_x,RatingTier,ScrimmageYardsPer1000DownsPlayed,RBScrimmageYardsPer300Touches,RBScrimmageTDsPerGame,TDsPer1000DownsPlayed,WRPercentageofTeamPassYards,TeamName_y,SkillPointOff
26,QB,Mason,Rudolph,Mason Rudolph,JAX,1,178,0,0,0,0,134,0,True,15,3,21,1,0,0,0,1,1,45,0,0,0,4,2,0,14,1,1,16,0,Mason,Rudolph,RudolphMason_13088,2312.0,2310.0,8.0,31.0,3.0,16.0,Signed,Normal,65.0,0.0,0.0,JAX,tier_6,7.462686567164179,100.0,0.0,0.0,0.0,,
77,QB,Zach,Wilson,Zach Wilson,LAC,0,0,0,0,0,0,22,0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,7,0,Zach,Wilson,WilsonZach_21559,2950.0,2948.0,5.0,27.0,1.0,7.0,Signed,Normal,63.0,0.0,0.0,LAC,tier_6,0.0,,0.0,0.0,0.0,,
92,TE,Foster,Moreau,Foster Moreau,NYJ,0,0,0,0,285,36,618,92,True,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,4,15,6,0,17,0,Foster,Moreau,MoreauFoster_20393,1871.0,1869.0,7.0,29.0,4.0,17.0,Signed,Normal,68.0,0.0,0.0,NYJ,tier_6,461.16504854368935,1781.25,0.26666666666666666,6.472491909385114,0.13391376451077944,NYJ,11.0
122,QB,Stetson,Bennett IV,Stetson Bennett IV,LAR,0,0,0,0,0,0,66,0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,23,0,Stetson,Bennett IV,BennettIVStetson_22714,201.0,199.0,3.0,28.0,4.0,23.0,Signed,Normal,61.0,0.0,0.0,LAR,tier_6,0.0,,0.0,0.0,0.0,,
158,WR,Tre',Harris,Tre' Harris,LAC,0,0,0,0,236,77,258,90,True,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,4,17,2,1,7,0,Tre',Harris,HarrisTre_15058,1078.0,1076.0,1.0,24.0,2.0,7.0,Signed,Normal,71.0,0.0,0.0,LAC,tier_5,914.7286821705426,1770.0,0.23529411764705882,15.503875968992247,0.053930530164533814,LAC,7.0
268,WR,Puka,Nacua,Puka Nacua,LAR,5,0,1,0,1291,50,1038,254,True,0,2,0,0,95,0,0,1,3,0,0,0,0,0,0,7,16,16,0,23,0,Puka,Nacua,NacuaPuka_22811,1925.0,1923.0,3.0,25.0,5.0,23.0,Signed,College_Elite,99.0,0.0,0.0,LAR,tier_0,1248.5549132947976,2011.8556701030927,0.4375,6.74373795761079,0.33480290456431533,LAR,-2.0
269,QB,Sawyer,Robertson,Sawyer Robertson,PIT,3,38,0,0,0,0,79,0,True,3,1,13,1,0,0,0,1,3,17,0,0,0,2,1,0,13,0,0,28,0,Sawyer,Robertson,SawyerRobertson_26435,3449.0,3447.0,0.0,23.0,4.0,28.0,Signed,Normal,66.0,0.0,0.0,PIT,tier_6,37.9746835443038,900.0,0.0,0.0,0.0,,
293,TE,Oronde,Gadsden,Oronde Gadsden,LAC,0,0,1,0,765,48,865,275,True,0,0,0,0,60,0,0,1,0,0,4,0,0,0,0,2,15,15,0,7,0,Oronde,Gadsden,GadsdenIIOronde_15122,889.0,887.0,1.0,23.0,5.0,7.0,Signed,College_Impact,86.0,0.0,0.0,LAC,tier_2,884.393063583815,1912.5,0.13333333333333333,2.3121387283236996,0.19812614259597805,LAC,1.0
365,WR,Tetairoa,McMillan,Tetairoa McMillan,CAR,8,0,3,0,1267,50,933,211,True,0,3,0,0,83,0,0,1,4,0,1,0,0,0,0,10,15,15,0,20,0,Tetairoa,McMillan,McMillanTetairoa_15097,1778.0,1776.0,1.0,23.0,1.0,20.0,Signed,College_Impact,84.0,0.0,0.0,CAR,tier_3,1366.5594855305465,2237.790697674419,0.6666666666666666,10.718113612004288,0.366122726500085,CAR,10.0
389,QB,Diego,Pavia,Diego Pavia,IND,9,170,0,2,0,0,150,0,True,14,7,25,2,0,0,0,1,4,32,1,0,0,3,0,0,13,0,0,9,1,Diego,Pavia,DiegoPavia_26713,3536.0,3534.0,0.0,24.0,7.0,9.0,Signed,Normal,60.0,0.0,0.0,IND,tier_6,60.0,385.7142857142857,0.07692307692307693,6.666666666666667,0.0,,
406,QB,Dorian,Thompson-Robinson,Dorian Thompson-Robinson,PHI,0,0,0,0,0,0,8,0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,12,0,Dorian,Thompson-Robinson,ThompsonRobinsonDorian_22727,2654.0,2652.0,3.0,26.0,5.0,12.0,Signed,Normal,56.0,0.0,0.0,PHI,tier_6,0.0,,0.0,0.0,0.0,,
416,QB,Justin,Herbert,Justin Herbert,LAC,343,4376,0,203,0,0,1162,0,True,372,68,545,8,0,0,7,1,53,79,26,0,0,21,37,0,17,17,3,7,3,Justin,Herbert,HerbertJustin_21034,1137.0,1135.0,6.0,28.0,1.0,7.0,Signed,College_Elite,88.0,0.0,0.0,LAC,tier_2,295.1807228915663,1513.235294117647,0.17647058823529413,2.581755593803787,0.0,,
438,QB,Adrian,Martinez,Adrian Martinez,DEN,0,0,0,0,0,0,14,0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3,0,Adrian,Martinez,MartinezAdrian_22720,3171.0,3169.0,1.0,26.0,63.0,3.0,Signed,Normal,59.0,0.0,0.0,DEN,tier_6,0.0,,0.0,0.0,0.0,,
467,QB,Sam,Hartman,Sam Hartman,NYJ,0,0,0,0,0,0,11,0,True,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,17,0,Sam,Hartman,HartmanSam_14615,1088.0,1086.0,2.0,27.0,63.0,17.0,Signed,Normal,57.0,0.0,0.0,NYJ,tier_6,0.0,,0.0,0.0,0.0,,
471,WR,Matthew,Golden,Matthew Golden,GB,0,0,4,0,399,42,403,138,True,0,0,0,0,24,0,0,1,0,0,2,0,0,0,0,3,17,2,1,19,0,Matthew,Golden,GoldenMatthew_15096,950.0,948.0,1.0,23.0,1.0,19.0,Signed,Normal,73.0,0.0,0.0,GB,tier_5,990.0744416873449,2493.75,0.17647058823529413,7.444168734491315,0.10783783783783783,GB,4.0
