FullName,Position,TeamName,SkillPoint
A.J. Cole III,P,PHI,-10
Adam Williams,P,ATL,3
Aldrick Rosas,K,GB,8
Andre Szmyt,K,DET,-1
Arryn Siposs,P,NYG,1
Austin McNamara,P,KC,0
Austin Seibert,K,SEA,1
Blake Mazza,K,MIN,4
Braden Mann,P,JAX,1
Bradley Pinion,P,SF,-7
Brandon Wright,P,CAR,6
Brett Kern,P,LV,0
Brian Johnson,K,ARI,-6
Cade York,K,CAR,0
Cairo Santos,K,JAX,5
Camden Lewis,K,CHI,0
Cameron Dicker,K,NYJ,-8
Chris Blewitt,K,TB,-5
Chris Naggar,K,HOU,-1
Cody Parkey,K,LV,-1
Colby Wadman,P,NE,0
Dom Maggio,P,GB,1
Eddy Pineiro,K,LAR,-6
Gabe Brkic,K,CLE,5
Graham Gano,K,NYG,2
Greg Zuerlein,K,NE,-3
Harrison Butker,K,KC,-2
Hunter Niswander,P,CLE,3
Issac Power,P,CHI,-2
J.K. Scott,P,CIN,-1
Jack Fox,P,IND,-1
Jake Camarda,P,MIN,2
Jake Elliott,K,PHI,0
Jamie Gillan,P,NYJ,0
Jason Sanders,K,MIA,-3
Joey Slye,K,LAC,0
Johnny Hekker,P,LAR,0
Justin Rohrwasser,K,PIT,1
Justin Tucker,K,BAL,-1
Kaare Vedvik,K,TEN,5
Matthew Wright,K,ATL,6
Michael Dickson,P,SEA,-3
Michael Turk,P,BAL,4
Mitch Wishnowsky,P,ARI,0
Nick Sciba,K,BUF,4
Pressley Harvin III,P,PIT,0
Quinn Nordin,K,WAS,-6
Rigoberto Sanchez,P,MIA,3
Ryan Bujcevski,P,NO,2
Ryan Santoso,K,DEN,3
Ryan Succop,K,SF,-5
Ryan Winslow,P,HOU,0
Sam Martin,P,DEN,1
Sam Sloman,K,DAL,6
Sterling Hofrichter,P,BUF,0
Thomas Morstead,P,DAL,1
Tom Hutton,P,TEN,2
Tommy Townsend,P,TB,1
Tress Way,P,WAS,2
Tristan Vizcaino,K,IND,7
Tucker Day,P,DET,5
Tyler Newsome,P,LAC,0
Wil Lutz,K,NO,0
Younghoe Koo,K,CIN,0
