FullName,Position,TeamName,SkillPoint
Alec Lindstrom,C,TEN,-4
Alex Cappa,RG,TB,-6
Alex Leatherwood,RG,LV,-4
Ali Marpet,LG,TB,-2
Alijah Vera-Tucker,LG,NYJ,1
Andre Dillard,LT,SF,0
Andrew Norwell,LG,JAX,2
Andrew Thomas,LT,NYG,3
Andrew Wylie,RG,LAC,0
Andrus Peat,LG,NO,-4
Austin Corbett,RG,LAR,2
Austin Jackson,LG,MIA,4
Austin Reiter,C,CHI,0
Ben Bartch,LG,JAX,8
Ben Brown,C,SEA,7
Ben Cleveland,RG,BAL,0
Ben Powers,LG,WAS,3
Bobby Evans Jr,RG,CAR,4
Bobby Lawrence,RT,SEA,4
Braden Smith,RT,IND,0
Bradley Bozeman,C,BAL,-4
Brandon Brooks,RG,PHI,0
Brandon Linder,C,JAX,2
Brandon Parker,RT,GB,4
Brandon Scherff,RG,WAS,1
Brian Allen,C,SF,10
Brian O'Neill,RT,MIN,2
Bryan Bulaga,RT,CIN,10
Caleb Benenoch,RT,DEN,-2
Cam Robinson,LT,SEA,5
Cameron Clark,RG,NYJ,-2
Cesar Ruiz,RG,NO,-2
Charles Cross,LT,LV,0
Charles Leno Jr,LT,WAS,3
Chase Roullier,C,WAS,2
Chris Lindstrom,RG,ATL,-2
Christian Darrisaw,LT,MIN,-1
Chukwuma Okorafor,LT,ATL,3
Chuma Edoga,RT,NYJ,1
Cody Ford,LG,BUF,3
Cody Whitehair,LG,CHI,-1
Connor McGovern,C,NYJ,-3
Connor McGovern,LG,LV,3
Connor Williams,LG,CIN,4
Corey Linsley,C,LAC,1
Creed Humphrey,C,KC,6
Curtis Dunlap Jr.,LG,HOU,4
D.J. Fluker,RT,MIA,-5
D.J. Humphries,LT,ARI,2
Dalton Risner,LG,DEN,-2
Damien Lewis,LG,SEA,-1
Dan Becker,LT,TEN,4
Dan Feeney,LG,TEN,-2
Dan Moore Jr,LT,PIT,1
Darian Kinnard,LG,LAC,0
David Andrews,C,NE,-5
David Bakhtiari,LT,GB,-2
David Edwards,LG,LAR,-2
Deonte Brown,RG,CAR,-4
Dillon Radunz,RG,TEN,0
Dion Dawkins,LT,BUF,1
Dylan Parham,RG,SF,5
Elgton Jenkins,LG,GB,-4
Elijah Wilkinson,LT,NO,-2
Emil Ekiyor Jr.,RG,MIN,3
Erik McCoy,C,NO,-7
Ethan Pocic,C,MIA,0
Evan Neal,RT,NYG,5
Ezra Cleveland,LG,MIN,2
Frank Ragnow,C,DET,0
Gabe Jackson,RG,SEA,-3
Garett Bolles,LT,DEN,-1
Garrett Bradbury,C,MIN,2
Germain Ifedi,RT,LV,12
Greg Little,LT,MIA,3
Harry Miller,LG,CLE,1
Ike Boettger,RG,ARI,4
Isaiah Wilson,RT,CHI,-3
Isaiah Wynn,LT,NE,-3
JC Tretter,C,CLE,-4
Ja'Wuan James,RT,PHI,0
Jack Conklin,RT,CLE,2
Jackson Carman,RG,CIN,-3
Jalen Mayfield,LG,ATL,-5
James Daniels,RG,CHI,2
Jarrett Horst,RT,LAC,1
Jason Kelce,C,PHI,6
Jaxson Kirkland,LT,CAR,-3
Jedrick Wills Jr,LT,CLE,-2
Joe Thuney,LG,KC,1
Jonah Jackson,LG,DET,3
Jordan Mailata,LT,PHI,1
Jordan McFadden,RG,IND,-1
Josh Myers,C,GB,-5
Justin Skule,LT,LAR,-2
Kendrick Green,C,PIT,3
Kenyon Green,RG,NYG,-5
Kevin Dotson,LG,PIT,-4
La'el Collins,RT,DAL,2
Lachavious Simmons,RT,ARI,-4
Laken Tomlinson,LG,SF,-4
Lamont Gaillard,C,LAR,-5
Landon Dickerson,LG,PHI,5
Laremy Tunsil,LT,HOU,0
Liam Eichenberg,LT,MIA,4
Lloyd Cushenberry III,C,DEN,-4
Logan Brown,LT,BAL,7
Lucas Niang,RT,KC,3
Luke Matthews,C,CAR,5
Mark Glowinski,RG,DET,0
Matt Hennessy,C,ATL,-5
Mekhi Becton,LT,NYJ,-4
Michael Deiter,C,NYG,-4
Mike McGlinchey,RT,SF,-2
Mike Onwenu,LG,NE,-2
Mitch Morse,C,BUF,-4
Nate Davis,RG,TEN,-7
Netane Muti,LG,HOU,-1
Nicholas Petit-Frere,RT,HOU,-3
Nick Gates,C,CIN,3
Nick Martin,C,HOU,-2
Orlando Brown,LT,KC,1
Paris Johnson Jr.,LT,ATL,-4
Penei Sewell,RT,DET,-7
Quenton Nelson,LG,IND,-2
Quinn Meinerz,RG,DEN,-4
Rob Havenstein,RT,LAR,5
Robert Hunt,RG,MIA,2
Rodney Hudson,C,LV,4
Ronnie Stanley,LT,BAL,2
Royce Newman,RG,GB,-3
Ryan Jensen,C,TB,0
Ryan Kelly,C,IND,-2
Ryan Ramczyk,RT,NO,-1
Sam Cosmi,RT,WAS,0
Sean Rhyan,LT,IND,1
Shaq Mason,RG,NE,6
Spencer Brown,LT,BUF,4
Steven Jones,RT,TB,4
Taylor Lewan,LT,TEN,-3
Taylor Moton,RT,CAR,0
Terron Armstead,LT,LAC,-2
Teven Jenkins,LT,CHI,-1
Trai Turner,RG,PIT,2
Trent Brown,RT,NE,0
