FullName,Position,TeamName,RatingTier,StatCheck,value
Juwan Johnson,TE,CIN,tier_5,ScrimmmageYardsPerGame,10.0
Diontae Johnson,WR,PIT,tier_2,ScrimmmageYardsPerGame,61.0
Austin Stonger,TE,NYJ,tier_6,ScrimmmageYardsPerGame,1.0
Kyler Murray,QB,ARI,tier_3,ScrimmmageYardsPerGame,25.0
Michael Mayer,TE,BUF,tier_5,ScrimmmageYardsPerGame,6.0
P.J. Walker,QB,PHI,tier_6,ScrimmmageYardsPerGame,0.0
JuJu Smith-Schuster,WR,HOU,tier_2,ScrimmmageYardsPerGame,58.0
Gabe Nabers,FB,CIN,tier_6,ScrimmmageYardsPerGame,1.0
Jeremy Ruckert,TE,ARI,tier_6,ScrimmmageYardsPerGame,5.0
Anthony McFarland,HB,PIT,tier_5,ScrimmmageYardsPerGame,22.0
Antonio Gandy-Golden,WR,CIN,tier_5,ScrimmmageYardsPerGame,0.0
Tyree Jackson,TE,LV,tier_6,ScrimmmageYardsPerGame,1.0
Dallas Goedert,TE,PHI,tier_3,ScrimmmageYardsPerGame,37.0
Keaontay Ingram,HB,LV,tier_5,ScrimmmageYardsPerGame,0.0
Jakobi Meyers,WR,LV,tier_4,ScrimmmageYardsPerGame,54.0
Desmond Ridder,QB,CIN,tier_6,ScrimmmageYardsPerGame,0.0
Teddy Bridgewater,QB,DEN,tier_6,ScrimmmageYardsPerGame,12.0
Tyler Hudson,WR,BAL,tier_6,ScrimmmageYardsPerGame,1.0
Ben Mason,FB,NYG,tier_5,ScrimmmageYardsPerGame,0.0
DeAndre Hopkins,WR,ARI,tier_1,ScrimmmageYardsPerGame,70.0
Ja'Marr Chase,WR,CIN,tier_2,ScrimmmageYardsPerGame,69.0
Eric Ebron,TE,PIT,tier_5,ScrimmmageYardsPerGame,8.0
Odell Beckham Jr,WR,BUF,tier_3,ScrimmmageYardsPerGame,58.0
Racey McMath,WR,TEN,tier_6,ScrimmmageYardsPerGame,13.0
Brock Purdy,QB,BUF,tier_6,ScrimmmageYardsPerGame,0.0
Andrew Beck,FB,BUF,tier_5,ScrimmmageYardsPerGame,10.0
Josh Jacobs,HB,LV,tier_0,ScrimmmageYardsPerGame,93.0
Foster Moreau,TE,CIN,tier_5,ScrimmmageYardsPerGame,48.0
Bailey Zappe,QB,CAR,tier_6,ScrimmmageYardsPerGame,1.0
Hunter Renfrow,WR,LV,tier_3,ScrimmmageYardsPerGame,56.0
Davante Adams,WR,NYJ,tier_1,ScrimmmageYardsPerGame,59.0
Parris Campbell,WR,ARI,tier_4,ScrimmmageYardsPerGame,49.0
Quez Watkins,WR,PHI,tier_5,ScrimmmageYardsPerGame,27.0
David Njoku,TE,ARI,tier_4,ScrimmmageYardsPerGame,43.0
Derek Carr,QB,LAR,tier_4,ScrimmmageYardsPerGame,11.0
Julian Fleming,WR,CAR,tier_4,ScrimmmageYardsPerGame,39.0
Jared Pinkney,TE,CAR,tier_6,ScrimmmageYardsPerGame,3.0
Seth Williams,WR,LAR,tier_6,ScrimmmageYardsPerGame,6.0
Thomas Fletcher,TE,CAR,tier_6,ScrimmmageYardsPerGame,0.0
Terrace Marshall Jr,WR,CAR,tier_5,ScrimmmageYardsPerGame,54.0
Will Dissly,TE,SEA,tier_3,ScrimmmageYardsPerGame,38.0
Colby Parkinson,TE,SEA,tier_6,ScrimmmageYardsPerGame,0.0
Allen Lazard,WR,ATL,tier_4,ScrimmmageYardsPerGame,54.0
Josh Allen,QB,BUF,tier_2,ScrimmmageYardsPerGame,19.0
Devin Singletary,HB,BUF,tier_2,ScrimmmageYardsPerGame,79.0
Dawson Knox,TE,BUF,tier_1,ScrimmmageYardsPerGame,48.0
Tyler Conklin,TE,MIN,tier_5,ScrimmmageYardsPerGame,10.0
Alec Ingold,FB,MIN,tier_3,ScrimmmageYardsPerGame,23.0
Tommy Tremble,TE,CAR,tier_4,ScrimmmageYardsPerGame,39.0
Bru McCoy,WR,LV,tier_5,ScrimmmageYardsPerGame,1.0
D.J. Uiagalelei,QB,LV,tier_6,ScrimmmageYardsPerGame,3.0
Luke Ford,TE,LV,tier_6,ScrimmmageYardsPerGame,5.0
Jonnu Smith,TE,NE,tier_4,ScrimmmageYardsPerGame,18.0
Hunter Henry,TE,NE,tier_2,ScrimmmageYardsPerGame,55.0
Rhamondre Stevenson,HB,NE,tier_5,ScrimmmageYardsPerGame,42.0
Mac Jones,QB,NE,tier_4,ScrimmmageYardsPerGame,5.0
Nate McCrary,HB,LAR,tier_6,ScrimmmageYardsPerGame,24.0
Drew Sample,TE,LAR,tier_5,ScrimmmageYardsPerGame,20.0
Darren Waller,TE,LV,tier_2,ScrimmmageYardsPerGame,44.0
Jacob Harris,TE,LAR,tier_6,ScrimmmageYardsPerGame,1.0
Benny Snell,HB,ARI,tier_4,ScrimmmageYardsPerGame,51.0
Austin Ekeler,HB,ARI,tier_4,ScrimmmageYardsPerGame,42.0
Tyler Shough,QB,ARI,tier_6,ScrimmmageYardsPerGame,1.0
Sam Darnold,QB,BAL,tier_6,ScrimmmageYardsPerGame,6.0
Jimmy Garoppolo,QB,NYG,tier_5,ScrimmmageYardsPerGame,1.0
Bryce Young,QB,NYG,tier_5,ScrimmmageYardsPerGame,21.0
Kendall Milton,HB,NYG,tier_4,ScrimmmageYardsPerGame,34.0
Russell Wilson,QB,SEA,tier_1,ScrimmmageYardsPerGame,24.0
Chris Carson,HB,SEA,tier_4,ScrimmmageYardsPerGame,18.0
Dominique Dafney,TE,NYG,tier_6,ScrimmmageYardsPerGame,2.0
Collin Johnson,WR,NYG,tier_5,ScrimmmageYardsPerGame,10.0
Zonovan Knight,HB,NYG,tier_3,ScrimmmageYardsPerGame,80.0
Zach Davidson,TE,NYG,tier_6,ScrimmmageYardsPerGame,3.0
Kadarius Toney,WR,NYG,tier_3,ScrimmmageYardsPerGame,56.0
Sterling Shepard,WR,NYG,tier_4,ScrimmmageYardsPerGame,62.0
Evan Engram,TE,NYG,tier_3,ScrimmmageYardsPerGame,50.0
Jadon Haselwood,WR,CLE,tier_5,ScrimmmageYardsPerGame,46.0
Grayson McCall,QB,CLE,tier_5,ScrimmmageYardsPerGame,11.0
Harrison Bryant,TE,CLE,tier_5,ScrimmmageYardsPerGame,13.0
N'Keal Harry,WR,ATL,tier_5,ScrimmmageYardsPerGame,35.0
Zamir White,HB,ATL,tier_3,ScrimmmageYardsPerGame,111.0
Kenny Pickett,QB,ATL,tier_5,ScrimmmageYardsPerGame,9.0
Jacob Breeland,TE,ATL,tier_6,ScrimmmageYardsPerGame,2.0
Feleipe Franks,QB,ATL,tier_6,ScrimmmageYardsPerGame,0.0
Emanuel Hall,WR,PHI,tier_6,ScrimmmageYardsPerGame,5.0
